Nvariedades;Fonte;Data;Especie
39;Duputie et al, 2009;2007;Mandioca
29;Duputie et al, 2009;2007;Mandioca
27;Duputie et al, 2009;2007;Mandioca
25;Duputie et al, 2009;2007;Mandioca
24;Duputie et al, 2009;2007;Mandioca
23;Duputie et al, 2009;2007;Mandioca
23;Duputie et al, 2009;2007;Mandioca
22;Duputie et al, 2009;2007;Mandioca
11;Duputie et al, 2009;2007;Mandioca
11;Duputie et al, 2009;2007;Mandioca
17;Marchetti et al, 2013. 1992;1992;Mandioca
14;Marchetti et al, 2013. 1992;1992;Mandioca
14;Marchetti et al, 2013. 1992;1992;Mandioca
14;Marchetti et al, 2013. 1992;1992;Mandioca
14;Marchetti et al, 2013. 1992;1992;Mandioca
14;Marchetti et al, 2013. 1992;1992;Mandioca
11;Marchetti et al, 2013. 1992;1992;Mandioca
11;Marchetti et al, 2013. 1992;1992;Mandioca
11;Marchetti et al, 2013. 1992;1992;Mandioca
8;Marchetti et al, 2013. 1992;1992;Mandioca
8;Marchetti et al, 2013. 1992;1992;Mandioca
8;Marchetti et al, 2013. 1992;1992;Mandioca
8;Marchetti et al, 2013. 1992;1992;Mandioca
8;Marchetti et al, 2013. 1992;1992;Mandioca
8;Marchetti et al, 2013. 1992;1992;Mandioca
8;Marchetti et al, 2013. 1992;1992;Mandioca
8;Marchetti et al, 2013. 1992;1992;Mandioca
5;Marchetti et al, 2013. 1992;1992;Mandioca
5;Marchetti et al, 2013. 1992;1992;Mandioca
5;Marchetti et al, 2013. 1992;1992;Mandioca
5;Marchetti et al, 2013. 1992;1992;Mandioca
5;Marchetti et al, 2013. 1992;1992;Mandioca
5;Marchetti et al, 2013. 1992;1992;Mandioca
5;Marchetti et al, 2013. 1992;1992;Mandioca
5;Marchetti et al, 2013. 1992;1992;Mandioca
5;Marchetti et al, 2013. 1992;1992;Mandioca
5;Marchetti et al, 2013. 1992;1992;Mandioca
17;Marchetti et al, 2013. 2011;2011;Mandioca
14;Marchetti et al, 2013. 2011;2011;Mandioca
11;Marchetti et al, 2013. 2011;2011;Mandioca
8;Marchetti et al, 2013. 2011;2011;Mandioca
8;Marchetti et al, 2013. 2011;2011;Mandioca
8;Marchetti et al, 2013. 2011;2011;Mandioca
8;Marchetti et al, 2013. 2011;2011;Mandioca
5;Marchetti et al, 2013. 2011;2011;Mandioca
5;Marchetti et al, 2013. 2011;2011;Mandioca
5;Marchetti et al, 2013. 2011;2011;Mandioca
5;Marchetti et al, 2013. 2011;2011;Mandioca
5;Marchetti et al, 2013. 2011;2011;Mandioca
5;Marchetti et al, 2013. 2011;2011;Mandioca
5;Marchetti et al, 2013. 2011;2011;Mandioca
5;Marchetti et al, 2013. 2011;2011;Mandioca
5;Marchetti et al, 2013. 2011;2011;Mandioca
5;Marchetti et al, 2013. 2011;2011;Mandioca
5;Marchetti et al, 2013. 2011;2011;Mandioca
5;Marchetti et al, 2013. 2011;2011;Mandioca
5;Marchetti et al, 2013. 2011;2011;Mandioca
2;Marchetti et al, 2013. 2011;2011;Mandioca
2;Marchetti et al, 2013. 2011;2011;Mandioca
2;Marchetti et al, 2013. 2011;2011;Mandioca
2;Marchetti et al, 2013. 2011;2011;Mandioca
2;Marchetti et al, 2013. 2011;2011;Mandioca
2;Marchetti et al, 2013. 2011;2011;Mandioca
2;Marchetti et al, 2013. 2011;2011;Mandioca
2;Marchetti et al, 2013. 2011;2011;Mandioca
2;Marchetti et al, 2013. 2011;2011;Mandioca
2;Marchetti et al, 2013. 2011;2011;Mandioca
28;Elias et al, 2000;1997;Mandioca
28;Elias et al, 2000;1997;Mandioca
27;Elias et al, 2000;1997;Mandioca
23;Elias et al, 2000;1997;Mandioca
23;Elias et al, 2000;1997;Mandioca
22;Elias et al, 2000;1997;Mandioca
21;Elias et al, 2000;1997;Mandioca
20;Elias et al, 2000;1997;Mandioca
20;Elias et al, 2000;1997;Mandioca
19;Elias et al, 2000;1997;Mandioca
16;Elias et al, 2000;1997;Mandioca
15;Elias et al, 2000;1997;Mandioca
14;Elias et al, 2000;1997;Mandioca
12;Elias et al, 2000;1997;Mandioca
12;Elias et al, 2000;1997;Mandioca
11;Elias et al, 2000;1997;Mandioca
11;Elias et al, 2000;1997;Mandioca
11;Elias et al, 2000;1997;Mandioca
10;Elias et al, 2000;1997;Mandioca
10;Elias et al, 2000;1997;Mandioca
9;Elias et al, 2000;1997;Mandioca
7;Elias et al, 2000;1997;Mandioca
6;Elias et al, 2000;1997;Mandioca
6;Elias et al, 2000;1997;Mandioca
7;Fraser et al, 2012. Água Azul;2006;Mandioca
6;Fraser et al, 2012. Água Azul;2006;Mandioca
6;Fraser et al, 2012. Água Azul;2006;Mandioca
5;Fraser et al, 2012. Água Azul;2006;Mandioca
5;Fraser et al, 2012. Água Azul;2006;Mandioca
4;Fraser et al, 2012. Água Azul;2006;Mandioca
4;Fraser et al, 2012. Água Azul;2006;Mandioca
4;Fraser et al, 2012. Água Azul;2006;Mandioca
4;Fraser et al, 2012. Água Azul;2006;Mandioca
3;Fraser et al, 2012. Água Azul;2006;Mandioca
3;Fraser et al, 2012. Água Azul;2006;Mandioca
3;Fraser et al, 2012. Água Azul;2006;Mandioca
3;Fraser et al, 2012. Água Azul;2006;Mandioca
3;Fraser et al, 2012. Água Azul;2006;Mandioca
2;Fraser et al, 2012. Água Azul;2006;Mandioca
2;Fraser et al, 2012. Água Azul;2006;Mandioca
2;Fraser et al, 2012. Água Azul;2006;Mandioca
