Nvariety;Reference;Data;Specie
39;Duputie et al, 2009;2007;Manioc
29;Duputie et al, 2009;2007;Manioc
27;Duputie et al, 2009;2007;Manioc
25;Duputie et al, 2009;2007;Manioc
24;Duputie et al, 2009;2007;Manioc
23;Duputie et al, 2009;2007;Manioc
23;Duputie et al, 2009;2007;Manioc
22;Duputie et al, 2009;2007;Manioc
11;Duputie et al, 2009;2007;Manioc
11;Duputie et al, 2009;2007;Manioc
17;Marchetti et al, 2013. 1992;1992;Manioc
14;Marchetti et al, 2013. 1992;1992;Manioc
14;Marchetti et al, 2013. 1992;1992;Manioc
14;Marchetti et al, 2013. 1992;1992;Manioc
14;Marchetti et al, 2013. 1992;1992;Manioc
14;Marchetti et al, 2013. 1992;1992;Manioc
11;Marchetti et al, 2013. 1992;1992;Manioc
11;Marchetti et al, 2013. 1992;1992;Manioc
11;Marchetti et al, 2013. 1992;1992;Manioc
8;Marchetti et al, 2013. 1992;1992;Manioc
8;Marchetti et al, 2013. 1992;1992;Manioc
8;Marchetti et al, 2013. 1992;1992;Manioc
8;Marchetti et al, 2013. 1992;1992;Manioc
8;Marchetti et al, 2013. 1992;1992;Manioc
8;Marchetti et al, 2013. 1992;1992;Manioc
8;Marchetti et al, 2013. 1992;1992;Manioc
8;Marchetti et al, 2013. 1992;1992;Manioc
5;Marchetti et al, 2013. 1992;1992;Manioc
5;Marchetti et al, 2013. 1992;1992;Manioc
5;Marchetti et al, 2013. 1992;1992;Manioc
5;Marchetti et al, 2013. 1992;1992;Manioc
5;Marchetti et al, 2013. 1992;1992;Manioc
5;Marchetti et al, 2013. 1992;1992;Manioc
5;Marchetti et al, 2013. 1992;1992;Manioc
5;Marchetti et al, 2013. 1992;1992;Manioc
5;Marchetti et al, 2013. 1992;1992;Manioc
5;Marchetti et al, 2013. 1992;1992;Manioc
17;Marchetti et al, 2013. 2011;2011;Manioc
14;Marchetti et al, 2013. 2011;2011;Manioc
11;Marchetti et al, 2013. 2011;2011;Manioc
8;Marchetti et al, 2013. 2011;2011;Manioc
8;Marchetti et al, 2013. 2011;2011;Manioc
8;Marchetti et al, 2013. 2011;2011;Manioc
8;Marchetti et al, 2013. 2011;2011;Manioc
5;Marchetti et al, 2013. 2011;2011;Manioc
5;Marchetti et al, 2013. 2011;2011;Manioc
5;Marchetti et al, 2013. 2011;2011;Manioc
5;Marchetti et al, 2013. 2011;2011;Manioc
5;Marchetti et al, 2013. 2011;2011;Manioc
5;Marchetti et al, 2013. 2011;2011;Manioc
5;Marchetti et al, 2013. 2011;2011;Manioc
5;Marchetti et al, 2013. 2011;2011;Manioc
5;Marchetti et al, 2013. 2011;2011;Manioc
5;Marchetti et al, 2013. 2011;2011;Manioc
5;Marchetti et al, 2013. 2011;2011;Manioc
5;Marchetti et al, 2013. 2011;2011;Manioc
5;Marchetti et al, 2013. 2011;2011;Manioc
2;Marchetti et al, 2013. 2011;2011;Manioc
2;Marchetti et al, 2013. 2011;2011;Manioc
