### PARAMETERS VALUE ###
### LATTICESIZE = 50, NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0, NRESOURCEDIST = 10, MAXTIME = 10000, TIMEINTERVAL = 100, NRUN = 1 ###

time; nSpecie
0; 100
100; 73
200; 59
300; 43
400; 33
500; 30
600; 25
700; 23
800; 20
900; 14
1000; 11
1100; 9
1200; 9
1300; 9
1400; 8
1500; 7
1600; 7
1700; 6
1800; 5
1900; 5
2000; 5
2100; 5
2200; 5
2300; 4
2400; 4
2500; 4
2600; 4
2700; 4
2800; 4
2900; 4
3000; 4
3100; 4
3200; 4
3300; 4
3400; 4
3500; 4
3600; 4
3700; 4
3800; 4
3900; 4
4000; 4
4100; 3
4200; 3
4300; 3
4400; 3
4500; 3
4600; 3
4700; 3
4800; 3
4900; 3
5000; 3
5100; 3
5200; 3
5300; 3
5400; 3
5500; 3
5600; 3
5700; 3
5800; 3
5900; 3
6000; 3
6100; 3
6200; 3
6300; 3
6400; 3
6500; 3
6600; 3
6700; 3
6800; 3
6900; 3
7000; 3
7100; 3
7200; 3
7300; 3
7400; 3
7500; 3
7600; 3
7700; 3
7800; 3
7900; 3
8000; 3
8100; 3
8200; 3
8300; 3
8400; 3
8500; 3
8600; 3
8700; 3
8800; 3
8900; 3
9000; 3
9100; 3
9200; 3
9300; 3
9400; 3
9500; 3
9600; 3
9700; 3
9800; 3
9900; 3
