### PARAMETERS VALUE ###
### LATTICESIZE = 500, NSPECIE = 1000, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0, NRESOURCEDIST = 1, MAXTIME = 1000000, TIMEINTERVAL = 10000, NRUN = 10 ###

time; nSpecie
0; 1000
10000; 894
20000; 831
30000; 753
40000; 671
50000; 594
60000; 530
70000; 476
80000; 425
90000; 378
100000; 337
110000; 303
120000; 272
130000; 247
140000; 226
150000; 205
160000; 189
170000; 173
180000; 159
190000; 149
200000; 136
210000; 126
220000; 117
230000; 109
240000; 101
250000; 93
260000; 88
270000; 82
280000; 76
290000; 73
300000; 68
310000; 64
320000; 60
330000; 55
340000; 53
350000; 51
360000; 48
370000; 46
380000; 44
390000; 42
400000; 40
410000; 37
420000; 36
430000; 34
440000; 33
450000; 31
460000; 30
470000; 29
480000; 28
490000; 27
500000; 26
510000; 25
520000; 25
530000; 23
540000; 22
550000; 22
560000; 21
570000; 20
580000; 20
590000; 19
600000; 18
610000; 17
620000; 17
630000; 16
640000; 16
650000; 15
660000; 15
670000; 15
680000; 14
690000; 14
700000; 13
710000; 13
720000; 13
730000; 13
740000; 12
750000; 12
760000; 12
770000; 12
780000; 11
790000; 11
800000; 11
810000; 10
820000; 10
830000; 10
840000; 10
850000; 10
860000; 10
870000; 9
880000; 9
890000; 9
900000; 9
910000; 8
920000; 8
930000; 8
940000; 8
950000; 7
960000; 7
970000; 7
980000; 7
990000; 7
