### PARAMETERS VALUE ###
### LATTICESIZE = 500, NSPECIE = 1000, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0, NRESOURCEDIST = 250000, MAXTIME = 1000000, TIMEINTERVAL = 10000, NRUN = 50 ###

time; nSpecie
0; 1000
10000; 999
20000; 987
30000; 945
40000; 889
50000; 825
60000; 762
70000; 703
80000; 650
90000; 598
100000; 552
110000; 510
120000; 471
130000; 436
140000; 403
150000; 374
160000; 348
170000; 324
180000; 301
190000; 281
200000; 262
210000; 246
220000; 230
230000; 217
240000; 204
250000; 193
260000; 182
270000; 172
280000; 162
290000; 153
300000; 145
310000; 137
320000; 130
330000; 124
340000; 117
350000; 111
360000; 106
370000; 102
380000; 96
390000; 92
400000; 88
410000; 85
420000; 81
430000; 77
440000; 75
450000; 71
460000; 68
470000; 65
480000; 63
490000; 60
500000; 58
510000; 56
520000; 54
530000; 52
540000; 50
550000; 49
560000; 47
570000; 46
580000; 44
590000; 43
600000; 42
610000; 40
620000; 39
630000; 38
640000; 37
650000; 35
660000; 34
670000; 33
680000; 33
690000; 32
700000; 31
710000; 30
720000; 29
730000; 29
740000; 28
750000; 27
760000; 26
770000; 26
780000; 25
790000; 24
800000; 24
810000; 23
820000; 23
830000; 22
840000; 22
850000; 21
860000; 21
870000; 20
880000; 20
890000; 19
900000; 19
910000; 19
920000; 18
930000; 18
940000; 17
950000; 17
960000; 17
970000; 16
980000; 16
990000; 15
