### PARAMETERS VALUE ###
### LATTICESIZE = 100, NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0, NRESOURCEDIST = 10000, MAXTIME = 20000, TIMEINTERVAL = 100, NRUN = 10 ###

time; nSpecie; param
0; 60; 10
100; 6; 10
200; 3; 10
300; 2; 10
400; 2; 10
500; 2; 10
600; 1; 10
700; 1; 10
800; 1; 10
900; 1; 10
1000; 1; 10
1100; 1; 10
1200; 1; 10
1300; 1; 10
1400; 1; 10
1500; 1; 10
1600; 1; 10
1700; 1; 10
1800; 1; 10
1900; 1; 10
2000; 1; 10
2100; 1; 10
2200; 1; 10
2300; 1; 10
2400; 1; 10
2500; 1; 10
2600; 1; 10
2700; 1; 10
2800; 1; 10
2900; 1; 10
3000; 1; 10
3100; 1; 10
3200; 1; 10
3300; 1; 10
3400; 1; 10
3500; 1; 10
3600; 1; 10
3700; 1; 10
3800; 1; 10
3900; 1; 10
4000; 1; 10
4100; 1; 10
4200; 1; 10
4300; 1; 10
4400; 1; 10
4500; 1; 10
4600; 1; 10
4700; 1; 10
4800; 1; 10
4900; 1; 10
5000; 1; 10
5100; 1; 10
5200; 1; 10
5300; 1; 10
5400; 1; 10
5500; 1; 10
5600; 1; 10
5700; 1; 10
5800; 1; 10
5900; 1; 10
6000; 1; 10
6100; 1; 10
6200; 1; 10
6300; 1; 10
6400; 1; 10
6500; 1; 10
6600; 1; 10
6700; 1; 10
6800; 1; 10
6900; 1; 10
7000; 1; 10
7100; 1; 10
7200; 1; 10
7300; 1; 10
7400; 1; 10
7500; 1; 10
7600; 1; 10
7700; 1; 10
7800; 1; 10
7900; 1; 10
8000; 1; 10
8100; 1; 10
8200; 1; 10
8300; 1; 10
8400; 1; 10
8500; 1; 10
8600; 1; 10
8700; 1; 10
8800; 1; 10
8900; 1; 10
9000; 1; 10
9100; 1; 10
9200; 1; 10
9300; 1; 10
9400; 1; 10
9500; 1; 10
9600; 1; 10
9700; 1; 10
9800; 1; 10
9900; 1; 10
10000; 1; 10
10100; 1; 10
10200; 1; 10
10300; 1; 10
10400; 1; 10
10500; 1; 10
10600; 1; 10
10700; 1; 10
10800; 1; 10
10900; 1; 10
11000; 1; 10
11100; 1; 10
11200; 1; 10
11300; 1; 10
11400; 1; 10
11500; 1; 10
11600; 1; 10
11700; 1; 10
11800; 1; 10
11900; 1; 10
12000; 1; 10
12100; 1; 10
12200; 1; 10
12300; 1; 10
12400; 1; 10
12500; 1; 10
12600; 1; 10
12700; 1; 10
12800; 1; 10
12900; 1; 10
13000; 1; 10
13100; 1; 10
13200; 1; 10
13300; 1; 10
13400; 1; 10
13500; 1; 10
13600; 1; 10
13700; 1; 10
13800; 1; 10
13900; 1; 10
14000; 1; 10
14100; 1; 10
14200; 1; 10
14300; 1; 10
14400; 1; 10
14500; 1; 10
14600; 1; 10
14700; 1; 10
14800; 1; 10
14900; 1; 10
15000; 1; 10
15100; 1; 10
15200; 1; 10
15300; 1; 10
15400; 1; 10
15500; 1; 10
15600; 1; 10
15700; 1; 10
15800; 1; 10
15900; 1; 10
16000; 1; 10
16100; 1; 10
16200; 1; 10
16300; 1; 10
16400; 1; 10
16500; 1; 10
16600; 1; 10
16700; 1; 10
16800; 1; 10
16900; 1; 10
17000; 1; 10
17100; 1; 10
17200; 1; 10
17300; 1; 10
17400; 1; 10
17500; 1; 10
17600; 1; 10
17700; 1; 10
17800; 1; 10
17900; 1; 10
18000; 1; 10
18100; 1; 10
18200; 1; 10
18300; 1; 10
18400; 1; 10
18500; 1; 10
18600; 1; 10
18700; 1; 10
18800; 1; 10
18900; 1; 10
19000; 1; 10
19100; 1; 10
19200; 1; 10
19300; 1; 10
19400; 1; 10
19500; 1; 10
19600; 1; 10
19700; 1; 10
19800; 1; 10
19900; 1; 10
0; 99; 30
100; 45; 30
200; 29; 30
300; 21; 30
400; 16; 30
500; 13; 30
600; 12; 30
700; 10; 30
800; 10; 30
900; 8; 30
1000; 7; 30
1100; 7; 30
1200; 6; 30
1300; 6; 30
1400; 5; 30
1500; 5; 30
1600; 4; 30
1700; 4; 30
1800; 4; 30
1900; 4; 30
2000; 3; 30
2100; 3; 30
