### PARAMETERS VALUE ###
### NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0, NRESOURCEDIST = 10, MAXTIME = 100000, TIMEINTERVAL = 1000, NRUN = 10 ###

time; nSpecie; param
0; 61; 10
1000; 1; 10
2000; 1; 10
3000; 1; 10
4000; 1; 10
5000; 0; 10
6000; 0; 10
7000; 0; 10
8000; 0; 10
9000; 0; 10
10000; 0; 10
11000; 0; 10
12000; 0; 10
13000; 0; 10
14000; 0; 10
15000; 0; 10
16000; 0; 10
17000; 0; 10
18000; 0; 10
19000; 0; 10
20000; 0; 10
21000; 0; 10
22000; 0; 10
23000; 0; 10
24000; 0; 10
25000; 0; 10
26000; 0; 10
27000; 0; 10
28000; 0; 10
29000; 0; 10
30000; 0; 10
31000; 0; 10
32000; 0; 10
33000; 0; 10
34000; 0; 10
35000; 0; 10
36000; 0; 10
37000; 0; 10
38000; 0; 10
39000; 0; 10
40000; 0; 10
41000; 0; 10
42000; 0; 10
43000; 0; 10
44000; 0; 10
45000; 0; 10
46000; 0; 10
47000; 0; 10
48000; 0; 10
49000; 0; 10
50000; 0; 10
51000; 0; 10
52000; 0; 10
53000; 0; 10
54000; 0; 10
55000; 0; 10
56000; 0; 10
57000; 0; 10
58000; 0; 10
59000; 0; 10
60000; 0; 10
61000; 0; 10
62000; 0; 10
63000; 0; 10
64000; 0; 10
65000; 0; 10
66000; 0; 10
67000; 0; 10
68000; 0; 10
69000; 0; 10
70000; 0; 10
71000; 0; 10
72000; 0; 10
73000; 0; 10
74000; 0; 10
75000; 0; 10
76000; 0; 10
77000; 0; 10
78000; 0; 10
79000; 0; 10
80000; 0; 10
81000; 0; 10
82000; 0; 10
83000; 0; 10
84000; 0; 10
85000; 0; 10
86000; 0; 10
87000; 0; 10
88000; 0; 10
89000; 0; 10
90000; 0; 10
91000; 0; 10
92000; 0; 10
93000; 0; 10
94000; 0; 10
95000; 0; 10
96000; 0; 10
97000; 0; 10
98000; 0; 10
99000; 0; 10
0; 100; 30
1000; 26; 30
2000; 17; 30
3000; 11; 30
4000; 8; 30
5000; 6; 30
6000; 5; 30
7000; 5; 30
8000; 4; 30
9000; 4; 30
10000; 4; 30
11000; 3; 30
12000; 3; 30
13000; 3; 30
14000; 3; 30
15000; 3; 30
16000; 3; 30
17000; 2; 30
18000; 2; 30
19000; 2; 30
20000; 2; 30
21000; 2; 30
22000; 2; 30
23000; 2; 30
24000; 2; 30
25000; 2; 30
26000; 2; 30
27000; 2; 30
28000; 2; 30
29000; 2; 30
30000; 2; 30
31000; 2; 30
32000; 2; 30
33000; 2; 30
34000; 1; 30
35000; 1; 30
36000; 1; 30
37000; 1; 30
38000; 1; 30
39000; 1; 30
40000; 1; 30
41000; 1; 30
42000; 1; 30
43000; 1; 30
44000; 1; 30
45000; 1; 30
46000; 1; 30
47000; 1; 30
48000; 1; 30
49000; 1; 30
50000; 1; 30
51000; 1; 30
52000; 1; 30
53000; 1; 30
54000; 1; 30
55000; 1; 30
56000; 1; 30
57000; 1; 30
58000; 1; 30
59000; 1; 30
60000; 1; 30
61000; 1; 30
62000; 1; 30
63000; 1; 30
64000; 1; 30
65000; 1; 30
66000; 1; 30
67000; 1; 30
68000; 1; 30
69000; 1; 30
70000; 1; 30
71000; 1; 30
72000; 1; 30
73000; 1; 30
74000; 1; 30
75000; 1; 30
76000; 1; 30
77000; 1; 30
78000; 1; 30
79000; 1; 30
80000; 1; 30
81000; 1; 30
82000; 1; 30
83000; 1; 30
84000; 1; 30
85000; 1; 30
86000; 1; 30
87000; 1; 30
88000; 1; 30
89000; 1; 30
90000; 1; 30
91000; 1; 30
92000; 1; 30
93000; 1; 30
94000; 1; 30
95000; 1; 30
96000; 1; 30
97000; 1; 30
98000; 1; 30
99000; 1; 30
0; 100; 50
1000; 65; 50
2000; 44; 50
3000; 33; 50
4000; 26; 50
5000; 22; 50
