### PARAMETERS VALUE ###
### LATTICESIZE = 50, NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0.01, NRESOURCEDIST = 2500, MAXTIME = 20000, TIMEINTERVAL = 100, NRUN = 10 ###

time; nSpecie; param
0; 100; 0
100; 83; 0
200; 61; 0
300; 49; 0
400; 40; 0
500; 35; 0
600; 30; 0
700; 27; 0
800; 23; 0
900; 20; 0
1000; 18; 0
1100; 17; 0
1200; 16; 0
1300; 15; 0
1400; 13; 0
1500; 12; 0
1600; 12; 0
1700; 11; 0
1800; 10; 0
1900; 10; 0
2000; 9; 0
2100; 9; 0
2200; 8; 0
2300; 8; 0
2400; 7; 0
2500; 6; 0
2600; 6; 0
2700; 5; 0
2800; 5; 0
2900; 4; 0
3000; 4; 0
3100; 4; 0
3200; 4; 0
3300; 4; 0
3400; 4; 0
3500; 3; 0
3600; 3; 0
3700; 3; 0
3800; 3; 0
3900; 3; 0
4000; 3; 0
4100; 3; 0
4200; 3; 0
4300; 3; 0
4400; 3; 0
4500; 3; 0
4600; 3; 0
4700; 3; 0
4800; 3; 0
4900; 2; 0
5000; 2; 0
5100; 2; 0
5200; 2; 0
5300; 2; 0
5400; 2; 0
5500; 2; 0
5600; 2; 0
5700; 2; 0
5800; 2; 0
5900; 2; 0
6000; 2; 0
6100; 2; 0
6200; 2; 0
6300; 2; 0
6400; 2; 0
6500; 2; 0
6600; 2; 0
6700; 1; 0
6800; 1; 0
6900; 1; 0
7000; 1; 0
7100; 1; 0
7200; 1; 0
7300; 1; 0
7400; 1; 0
7500; 1; 0
7600; 1; 0
7700; 1; 0
7800; 1; 0
7900; 1; 0
8000; 1; 0
8100; 1; 0
8200; 1; 0
8300; 1; 0
8400; 1; 0
8500; 1; 0
8600; 1; 0
8700; 1; 0
8800; 1; 0
8900; 1; 0
9000; 1; 0
9100; 1; 0
9200; 1; 0
9300; 1; 0
9400; 1; 0
9500; 1; 0
9600; 1; 0
9700; 1; 0
9800; 1; 0
9900; 1; 0
10000; 1; 0
10100; 1; 0
10200; 1; 0
10300; 1; 0
10400; 1; 0
10500; 1; 0
10600; 1; 0
10700; 1; 0
10800; 1; 0
10900; 1; 0
11000; 1; 0
11100; 1; 0
11200; 1; 0
11300; 1; 0
11400; 1; 0
11500; 1; 0
11600; 1; 0
11700; 1; 0
11800; 1; 0
11900; 1; 0
12000; 1; 0
12100; 1; 0
12200; 1; 0
12300; 1; 0
12400; 1; 0
12500; 1; 0
12600; 1; 0
12700; 1; 0
12800; 1; 0
12900; 1; 0
13000; 1; 0
13100; 1; 0
13200; 1; 0
13300; 1; 0
13400; 1; 0
13500; 1; 0
13600; 1; 0
13700; 1; 0
13800; 1; 0
13900; 1; 0
14000; 1; 0
14100; 1; 0
14200; 1; 0
14300; 1; 0
14400; 1; 0
14500; 1; 0
14600; 1; 0
14700; 1; 0
14800; 1; 0
14900; 1; 0
15000; 1; 0
15100; 1; 0
15200; 1; 0
15300; 1; 0
15400; 1; 0
15500; 1; 0
15600; 1; 0
15700; 1; 0
15800; 1; 0
15900; 1; 0
16000; 1; 0
16100; 1; 0
16200; 1; 0
16300; 1; 0
16400; 1; 0
16500; 1; 0
16600; 1; 0
16700; 1; 0
16800; 1; 0
16900; 1; 0
17000; 1; 0
17100; 1; 0
17200; 1; 0
17300; 1; 0
17400; 1; 0
17500; 1; 0
17600; 1; 0
17700; 1; 0
17800; 1; 0
17900; 1; 0
18000; 1; 0
18100; 1; 0
18200; 1; 0
18300; 1; 0
18400; 1; 0
18500; 1; 0
18600; 1; 0
18700; 1; 0
18800; 1; 0
18900; 1; 0
19000; 1; 0
19100; 1; 0
19200; 1; 0
19300; 1; 0
19400; 1; 0
19500; 1; 0
19600; 1; 0
19700; 1; 0
19800; 1; 0
19900; 1; 0
0; 100; 0.00025
100; 80; 0.00025
200; 61; 0.00025
300; 50; 0.00025
400; 42; 0.00025
500; 37; 0.00025
600; 32; 0.00025
700; 30; 0.00025
800; 27; 0.00025
900; 23; 0.00025
1000; 21; 0.00025
1100; 19; 0.00025
1200; 18; 0.00025
1300; 17; 0.00025
1400; 14; 0.00025
1500; 14; 0.00025
1600; 13; 0.00025
1700; 12; 0.00025
1800; 12; 0.00025
1900; 11; 0.00025
2000; 11; 0.00025
2100; 10; 0.00025
2200; 10; 0.00025
2300; 9; 0.00025
2400; 9; 0.00025
2500; 8; 0.00025
2600; 7; 0.00025
2700; 8; 0.00025
2800; 7; 0.00025
2900; 7; 0.00025
3000; 7; 0.00025
3100; 7; 0.00025
3200; 6; 0.00025
3300; 6; 0.00025
3400; 5; 0.00025
3500; 5; 0.00025
3600; 4; 0.00025
3700; 5; 0.00025
3800; 5; 0.00025
3900; 5; 0.00025
4000; 5; 0.00025
4100; 5; 0.00025
4200; 5; 0.00025
4300; 5; 0.00025
4400; 4; 0.00025
4500; 4; 0.00025
4600; 3; 0.00025
4700; 4; 0.00025
4800; 4; 0.00025
4900; 4; 0.00025
5000; 4; 0.00025
5100; 4; 0.00025
5200; 4; 0.00025
5300; 3; 0.00025
5400; 3; 0.00025
5500; 3; 0.00025
5600; 3; 0.00025
5700; 3; 0.00025
5800; 3; 0.00025
5900; 3; 0.00025
6000; 2; 0.00025
6100; 3; 0.00025
6200; 3; 0.00025
6300; 3; 0.00025
6400; 3; 0.00025
6500; 3; 0.00025
6600; 3; 0.00025
6700; 3; 0.00025
6800; 3; 0.00025
6900; 2; 0.00025
7000; 3; 0.00025
7100; 2; 0.00025
7200; 3; 0.00025
7300; 3; 0.00025
7400; 3; 0.00025
7500; 3; 0.00025
7600; 3; 0.00025
7700; 3; 0.00025
7800; 3; 0.00025
7900; 4; 0.00025
8000; 3; 0.00025
8100; 3; 0.00025
8200; 2; 0.00025
8300; 3; 0.00025
8400; 3; 0.00025
8500; 2; 0.00025
8600; 3; 0.00025
8700; 3; 0.00025
8800; 3; 0.00025
8900; 3; 0.00025
9000; 3; 0.00025
9100; 2; 0.00025
9200; 3; 0.00025
9300; 3; 0.00025
9400; 4; 0.00025
9500; 4; 0.00025
9600; 3; 0.00025
9700; 3; 0.00025
9800; 3; 0.00025
9900; 3; 0.00025
10000; 3; 0.00025
10100; 3; 0.00025
10200; 3; 0.00025
10300; 3; 0.00025
10400; 3; 0.00025
10500; 3; 0.00025
10600; 3; 0.00025
10700; 2; 0.00025
10800; 2; 0.00025
10900; 2; 0.00025
11000; 2; 0.00025
11100; 3; 0.00025
11200; 2; 0.00025
11300; 2; 0.00025
11400; 3; 0.00025
11500; 3; 0.00025
11600; 3; 0.00025
11700; 3; 0.00025
11800; 2; 0.00025
11900; 3; 0.00025
12000; 2; 0.00025
12100; 2; 0.00025
12200; 3; 0.00025
12300; 3; 0.00025
12400; 2; 0.00025
12500; 2; 0.00025
12600; 2; 0.00025
12700; 2; 0.00025
12800; 2; 0.00025
12900; 2; 0.00025
13000; 2; 0.00025
13100; 2; 0.00025
13200; 2; 0.00025
13300; 2; 0.00025
13400; 2; 0.00025
13500; 3; 0.00025
13600; 2; 0.00025
13700; 2; 0.00025
13800; 2; 0.00025
13900; 2; 0.00025
14000; 2; 0.00025
14100; 2; 0.00025
14200; 2; 0.00025
14300; 2; 0.00025
14400; 2; 0.00025
14500; 3; 0.00025
14600; 2; 0.00025
14700; 2; 0.00025
14800; 3; 0.00025
14900; 2; 0.00025
15000; 2; 0.00025
15100; 2; 0.00025
15200; 2; 0.00025
15300; 3; 0.00025
15400; 2; 0.00025
15500; 2; 0.00025
15600; 2; 0.00025
15700; 2; 0.00025
15800; 3; 0.00025
15900; 2; 0.00025
16000; 3; 0.00025
16100; 3; 0.00025
16200; 2; 0.00025
16300; 2; 0.00025
16400; 2; 0.00025
