### PARAMETERS VALUE ###
### LATTICESIZE = 50, NSPECIE = 125, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0, NRESOURCEDIST = 2500, MAXTIME = 20000, TIMEINTERVAL = 100, NRUN = 10 ###

time; nSpecie; param
0; 100; 50
100; 82; 50
200; 60; 50
300; 48; 50
400; 40; 50
500; 35; 50
600; 30; 50
700; 27; 50
800; 25; 50
900; 22; 50
1000; 19; 50
1100; 18; 50
1200; 16; 50
1300; 15; 50
1400; 14; 50
1500; 13; 50
1600; 12; 50
1700; 11; 50
1800; 11; 50
1900; 10; 50
2000; 10; 50
2100; 9; 50
2200; 8; 50
2300; 8; 50
2400; 7; 50
2500; 7; 50
2600; 7; 50
2700; 6; 50
2800; 6; 50
2900; 6; 50
3000; 6; 50
3100; 5; 50
3200; 5; 50
3300; 5; 50
3400; 5; 50
3500; 5; 50
3600; 5; 50
3700; 5; 50
3800; 4; 50
3900; 4; 50
4000; 4; 50
4100; 4; 50
4200; 3; 50
4300; 3; 50
4400; 3; 50
4500; 3; 50
4600; 3; 50
4700; 3; 50
4800; 3; 50
4900; 3; 50
5000; 3; 50
5100; 3; 50
5200; 2; 50
5300; 2; 50
5400; 2; 50
5500; 2; 50
5600; 2; 50
5700; 2; 50
5800; 2; 50
5900; 2; 50
6000; 2; 50
6100; 2; 50
6200; 2; 50
6300; 2; 50
6400; 1; 50
6500; 1; 50
6600; 1; 50
6700; 1; 50
6800; 1; 50
6900; 1; 50
7000; 1; 50
7100; 1; 50
7200; 1; 50
7300; 1; 50
7400; 1; 50
7500; 1; 50
7600; 1; 50
7700; 1; 50
7800; 1; 50
7900; 1; 50
8000; 1; 50
8100; 1; 50
8200; 1; 50
8300; 1; 50
8400; 1; 50
8500; 1; 50
8600; 1; 50
8700; 1; 50
8800; 1; 50
8900; 1; 50
9000; 1; 50
9100; 1; 50
9200; 1; 50
9300; 1; 50
9400; 1; 50
9500; 1; 50
9600; 1; 50
9700; 1; 50
9800; 1; 50
9900; 1; 50
10000; 1; 50
10100; 1; 50
10200; 1; 50
10300; 1; 50
10400; 1; 50
10500; 1; 50
10600; 1; 50
10700; 1; 50
10800; 1; 50
10900; 1; 50
11000; 1; 50
11100; 1; 50
11200; 1; 50
11300; 1; 50
11400; 1; 50
11500; 1; 50
11600; 1; 50
11700; 1; 50
11800; 1; 50
11900; 1; 50
12000; 1; 50
12100; 1; 50
12200; 1; 50
12300; 1; 50
12400; 1; 50
12500; 1; 50
12600; 1; 50
12700; 1; 50
12800; 1; 50
12900; 1; 50
13000; 1; 50
13100; 1; 50
13200; 1; 50
13300; 1; 50
13400; 1; 50
13500; 1; 50
13600; 1; 50
13700; 1; 50
13800; 1; 50
13900; 1; 50
14000; 1; 50
14100; 1; 50
14200; 1; 50
14300; 1; 50
14400; 1; 50
14500; 1; 50
14600; 1; 50
14700; 1; 50
14800; 1; 50
14900; 1; 50
15000; 1; 50
15100; 1; 50
15200; 1; 50
15300; 1; 50
15400; 1; 50
15500; 1; 50
15600; 1; 50
15700; 1; 50
15800; 1; 50
15900; 1; 50
16000; 1; 50
16100; 1; 50
16200; 1; 50
16300; 1; 50
16400; 1; 50
16500; 1; 50
16600; 1; 50
16700; 1; 50
16800; 1; 50
16900; 1; 50
17000; 1; 50
17100; 1; 50
17200; 1; 50
17300; 1; 50
17400; 1; 50
17500; 1; 50
17600; 1; 50
17700; 1; 50
17800; 1; 50
17900; 1; 50
18000; 1; 50
18100; 1; 50
18200; 1; 50
18300; 1; 50
18400; 1; 50
18500; 1; 50
18600; 1; 50
18700; 1; 50
18800; 1; 50
18900; 1; 50
19000; 1; 50
19100; 1; 50
19200; 1; 50
19300; 1; 50
19400; 1; 50
19500; 1; 50
19600; 1; 50
19700; 1; 50
19800; 1; 50
19900; 1; 50
0; 100; 75
100; 83; 75
200; 62; 75
300; 51; 75
400; 43; 75
500; 36; 75
600; 32; 75
700; 29; 75
800; 25; 75
900; 22; 75
1000; 21; 75
1100; 19; 75
1200; 18; 75
1300; 16; 75
1400; 16; 75
1500; 14; 75
1600; 13; 75
1700; 12; 75
1800; 11; 75
1900; 10; 75
2000; 9; 75
2100; 9; 75
2200; 8; 75
2300; 8; 75
2400; 7; 75
2500; 7; 75
2600; 6; 75
2700; 6; 75
2800; 6; 75
2900; 5; 75
3000; 5; 75
3100; 5; 75
3200; 5; 75
3300; 4; 75
3400; 4; 75
3500; 4; 75
3600; 4; 75
3700; 4; 75
3800; 4; 75
3900; 4; 75
4000; 4; 75
4100; 4; 75
4200; 4; 75
4300; 3; 75
4400; 3; 75
4500; 3; 75
4600; 3; 75
4700; 3; 75
4800; 3; 75
4900; 3; 75
5000; 2; 75
5100; 2; 75
5200; 2; 75
5300; 2; 75
5400; 2; 75
5500; 2; 75
5600; 2; 75
5700; 2; 75
5800; 2; 75
5900; 2; 75
6000; 2; 75
6100; 2; 75
6200; 2; 75
6300; 2; 75
6400; 2; 75
6500; 2; 75
6600; 2; 75
6700; 2; 75
6800; 2; 75
6900; 2; 75
7000; 2; 75
7100; 2; 75
7200; 2; 75
7300; 2; 75
7400; 2; 75
7500; 2; 75
7600; 1; 75
7700; 1; 75
7800; 1; 75
7900; 1; 75
8000; 1; 75
8100; 1; 75
8200; 1; 75
8300; 1; 75
8400; 1; 75
8500; 1; 75
8600; 1; 75
8700; 1; 75
8800; 1; 75
8900; 1; 75
9000; 1; 75
9100; 1; 75
9200; 1; 75
9300; 1; 75
9400; 1; 75
9500; 1; 75
9600; 1; 75
9700; 1; 75
9800; 1; 75
9900; 1; 75
10000; 1; 75
10100; 1; 75
10200; 1; 75
10300; 1; 75
10400; 1; 75
10500; 1; 75
10600; 1; 75
10700; 1; 75
10800; 1; 75
10900; 1; 75
11000; 1; 75
11100; 1; 75
11200; 1; 75
11300; 1; 75
11400; 1; 75
11500; 1; 75
11600; 1; 75
11700; 1; 75
11800; 1; 75
11900; 1; 75
12000; 1; 75
12100; 1; 75
12200; 1; 75
12300; 1; 75
12400; 1; 75
12500; 1; 75
12600; 1; 75
12700; 1; 75
12800; 1; 75
12900; 1; 75
13000; 1; 75
13100; 1; 75
13200; 1; 75
13300; 1; 75
13400; 1; 75
13500; 1; 75
13600; 1; 75
13700; 1; 75
13800; 1; 75
13900; 1; 75
14000; 1; 75
14100; 1; 75
14200; 1; 75
14300; 1; 75
14400; 1; 75
14500; 1; 75
14600; 1; 75
14700; 1; 75
14800; 1; 75
14900; 1; 75
15000; 1; 75
15100; 1; 75
15200; 1; 75
15300; 1; 75
15400; 1; 75
15500; 1; 75
15600; 1; 75
15700; 1; 75
15800; 1; 75
15900; 1; 75
16000; 1; 75
16100; 1; 75
16200; 1; 75
16300; 1; 75
16400; 1; 75
16500; 1; 75
16600; 1; 75
16700; 1; 75
16800; 1; 75
16900; 1; 75
17000; 1; 75
17100; 1; 75
17200; 1; 75
17300; 1; 75
17400; 1; 75
17500; 1; 75
17600; 1; 75
17700; 1; 75
17800; 1; 75
17900; 1; 75
18000; 1; 75
18100; 1; 75
18200; 1; 75
18300; 1; 75
18400; 1; 75
18500; 1; 75
18600; 1; 75
18700; 1; 75
18800; 1; 75
18900; 1; 75
19000; 1; 75
19100; 1; 75
19200; 1; 75
19300; 1; 75
19400; 1; 75
19500; 1; 75
19600; 1; 75
19700; 1; 75
19800; 1; 75
19900; 1; 75
0; 100; 100
100; 82; 100
200; 62; 100
300; 50; 100
400; 42; 100
500; 36; 100
600; 31; 100
700; 27; 100
800; 24; 100
900; 22; 100
1000; 20; 100
1100; 17; 100
1200; 15; 100
1300; 14; 100
1400; 13; 100
1500; 12; 100
1600; 11; 100
1700; 10; 100
1800; 10; 100
1900; 10; 100
2000; 9; 100
2100; 9; 100
2200; 8; 100
2300; 8; 100
2400; 7; 100
2500; 7; 100
2600; 7; 100
2700; 6; 100
2800; 6; 100
2900; 6; 100
3000; 5; 100
3100; 5; 100
3200; 5; 100
3300; 4; 100
3400; 4; 100
3500; 4; 100
3600; 4; 100
3700; 4; 100
3800; 4; 100
3900; 4; 100
4000; 4; 100
4100; 4; 100
4200; 4; 100
4300; 4; 100
4400; 4; 100
4500; 3; 100
4600; 3; 100
4700; 3; 100
4800; 3; 100
4900; 3; 100
5000; 3; 100
5100; 3; 100
5200; 3; 100
5300; 3; 100
5400; 3; 100
5500; 3; 100
5600; 3; 100
5700; 3; 100
5800; 3; 100
5900; 3; 100
6000; 3; 100
6100; 3; 100
6200; 3; 100
6300; 3; 100
6400; 3; 100
6500; 3; 100
6600; 3; 100
6700; 3; 100
6800; 3; 100
6900; 3; 100
7000; 2; 100
7100; 2; 100
7200; 2; 100
7300; 2; 100
7400; 2; 100
7500; 2; 100
7600; 2; 100
7700; 2; 100
7800; 2; 100
7900; 2; 100
8000; 2; 100
8100; 2; 100
8200; 2; 100
8300; 2; 100
8400; 2; 100
8500; 2; 100
8600; 2; 100
8700; 2; 100
8800; 2; 100
8900; 2; 100
9000; 2; 100
9100; 2; 100
9200; 2; 100
9300; 2; 100
9400; 2; 100
9500; 2; 100
9600; 2; 100
9700; 2; 100
9800; 2; 100
9900; 2; 100
10000; 2; 100
10100; 2; 100
10200; 2; 100
10300; 2; 100
10400; 2; 100
10500; 2; 100
10600; 2; 100
10700; 2; 100
10800; 2; 100
10900; 2; 100
11000; 2; 100
11100; 2; 100
11200; 2; 100
11300; 2; 100
11400; 2; 100
11500; 2; 100
11600; 2; 100
11700; 2; 100
11800; 1; 100
11900; 1; 100
12000; 1; 100
12100; 1; 100
12200; 1; 100
12300; 1; 100
12400; 1; 100
12500; 1; 100
12600; 1; 100
12700; 1; 100
12800; 1; 100
12900; 1; 100
13000; 1; 100
13100; 1; 100
13200; 1; 100
13300; 1; 100
13400; 1; 100
13500; 1; 100
13600; 1; 100
13700; 1; 100
13800; 1; 100
13900; 1; 100
14000; 1; 100
14100; 1; 100
14200; 1; 100
14300; 1; 100
14400; 1; 100
14500; 1; 100
14600; 1; 100
14700; 1; 100
14800; 1; 100
14900; 1; 100
15000; 1; 100
15100; 1; 100
15200; 1; 100
15300; 1; 100
15400; 1; 100
15500; 1; 100
15600; 1; 100
15700; 1; 100
15800; 1; 100
15900; 1; 100
16000; 1; 100
16100; 1; 100
16200; 1; 100
16300; 1; 100
16400; 1; 100
16500; 1; 100
16600; 1; 100
16700; 1; 100
16800; 1; 100
16900; 1; 100
17000; 1; 100
17100; 1; 100
17200; 1; 100
17300; 1; 100
17400; 1; 100
17500; 1; 100
17600; 1; 100
17700; 1; 100
17800; 1; 100
17900; 1; 100
18000; 1; 100
18100; 1; 100
18200; 1; 100
18300; 1; 100
18400; 1; 100
18500; 1; 100
18600; 1; 100
18700; 1; 100
18800; 1; 100
18900; 1; 100
19000; 1; 100
19100; 1; 100
19200; 1; 100
19300; 1; 100
19400; 1; 100
19500; 1; 100
19600; 1; 100
19700; 1; 100
19800; 1; 100
19900; 1; 100
0; 100; 125
100; 80; 125
200; 61; 125
300; 50; 125
400; 41; 125
500; 35; 125
600; 32; 125
700; 27; 125
800; 25; 125
900; 22; 125
1000; 21; 125
1100; 18; 125
1200; 16; 125
1300; 15; 125
1400; 13; 125
1500; 12; 125
1600; 11; 125
1700; 10; 125
1800; 10; 125
1900; 9; 125
2000; 9; 125
2100; 9; 125
2200; 8; 125
2300; 8; 125
2400; 7; 125
2500; 7; 125
2600; 6; 125
2700; 6; 125
2800; 6; 125
2900; 6; 125
3000; 5; 125
3100; 5; 125
3200; 5; 125
3300; 5; 125
3400; 4; 125
3500; 4; 125
3600; 4; 125
3700; 4; 125
3800; 4; 125
3900; 4; 125
4000; 4; 125
4100; 4; 125
4200; 3; 125
4300; 3; 125
4400; 3; 125
4500; 3; 125
4600; 3; 125
4700; 3; 125
4800; 3; 125
4900; 3; 125
5000; 3; 125
5100; 3; 125
5200; 3; 125
5300; 3; 125
5400; 3; 125
5500; 3; 125
5600; 3; 125
5700; 3; 125
5800; 3; 125
5900; 2; 125
6000; 2; 125
6100; 2; 125
6200; 2; 125
6300; 2; 125
6400; 2; 125
6500; 2; 125
6600; 2; 125
6700; 2; 125
6800; 2; 125
6900; 2; 125
7000; 2; 125
7100; 2; 125
7200; 2; 125
7300; 2; 125
7400; 2; 125
7500; 2; 125
7600; 2; 125
7700; 2; 125
7800; 2; 125
7900; 2; 125
8000; 2; 125
8100; 2; 125
8200; 2; 125
8300; 2; 125
8400; 2; 125
8500; 2; 125
8600; 2; 125
8700; 2; 125
8800; 2; 125
8900; 2; 125
9000; 2; 125
9100; 1; 125
9200; 1; 125
9300; 1; 125
9400; 1; 125
9500; 1; 125
9600; 1; 125
9700; 1; 125
9800; 1; 125
9900; 1; 125
10000; 1; 125
10100; 1; 125
10200; 1; 125
10300; 1; 125
10400; 1; 125
10500; 1; 125
10600; 1; 125
10700; 1; 125
10800; 1; 125
10900; 1; 125
11000; 1; 125
11100; 1; 125
11200; 1; 125
11300; 1; 125
11400; 1; 125
11500; 1; 125
11600; 1; 125
11700; 1; 125
11800; 1; 125
11900; 1; 125
12000; 1; 125
12100; 1; 125
12200; 1; 125
12300; 1; 125
12400; 1; 125
12500; 1; 125
12600; 1; 125
12700; 1; 125
12800; 1; 125
12900; 1; 125
13000; 1; 125
13100; 1; 125
13200; 1; 125
13300; 1; 125
13400; 1; 125
13500; 1; 125
13600; 1; 125
13700; 1; 125
13800; 1; 125
13900; 1; 125
14000; 1; 125
14100; 1; 125
14200; 1; 125
14300; 1; 125
14400; 1; 125
14500; 1; 125
14600; 1; 125
14700; 1; 125
14800; 1; 125
14900; 1; 125
15000; 1; 125
15100; 1; 125
15200; 1; 125
15300; 1; 125
15400; 1; 125
15500; 1; 125
15600; 1; 125
15700; 1; 125
15800; 1; 125
15900; 1; 125
16000; 1; 125
16100; 1; 125
16200; 1; 125
16300; 1; 125
16400; 1; 125
16500; 1; 125
16600; 1; 125
16700; 1; 125
16800; 1; 125
16900; 1; 125
17000; 1; 125
17100; 1; 125
17200; 1; 125
17300; 1; 125
17400; 1; 125
17500; 1; 125
17600; 1; 125
17700; 1; 125
17800; 1; 125
17900; 1; 125
18000; 1; 125
