### PARAMETERS VALUE ###
### LATTICESIZE = 50, NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0, MAXTIME = 100000, TIMEINTERVAL = 1000, NRUN = 10 ###

time; nSpecie; param
0; 100; 1
1000; 34; 1
2000; 22; 1
3000; 15; 1
4000; 11; 1
5000; 8; 1
6000; 6; 1
7000; 5; 1
8000; 4; 1
9000; 4; 1
10000; 3; 1
11000; 3; 1
12000; 2; 1
13000; 2; 1
14000; 2; 1
15000; 2; 1
16000; 2; 1
17000; 2; 1
18000; 1; 1
19000; 1; 1
20000; 1; 1
21000; 1; 1
22000; 1; 1
23000; 1; 1
24000; 1; 1
25000; 1; 1
26000; 1; 1
27000; 1; 1
28000; 1; 1
29000; 1; 1
30000; 1; 1
31000; 1; 1
32000; 1; 1
33000; 1; 1
34000; 1; 1
35000; 1; 1
36000; 0; 1
37000; 0; 1
38000; 0; 1
39000; 0; 1
40000; 0; 1
41000; 0; 1
42000; 0; 1
43000; 0; 1
44000; 0; 1
45000; 0; 1
46000; 0; 1
47000; 0; 1
48000; 0; 1
49000; 0; 1
50000; 0; 1
51000; 0; 1
52000; 0; 1
53000; 0; 1
54000; 0; 1
55000; 0; 1
56000; 0; 1
57000; 0; 1
58000; 0; 1
59000; 0; 1
60000; 0; 1
61000; 0; 1
62000; 0; 1
63000; 0; 1
64000; 0; 1
65000; 0; 1
66000; 0; 1
67000; 0; 1
68000; 0; 1
69000; 0; 1
70000; 0; 1
71000; 0; 1
72000; 0; 1
73000; 0; 1
74000; 0; 1
75000; 0; 1
76000; 0; 1
77000; 0; 1
78000; 0; 1
79000; 0; 1
80000; 0; 1
81000; 0; 1
82000; 0; 1
83000; 0; 1
84000; 0; 1
85000; 0; 1
86000; 0; 1
87000; 0; 1
88000; 0; 1
89000; 0; 1
90000; 0; 1
91000; 0; 1
92000; 0; 1
93000; 0; 1
94000; 0; 1
95000; 0; 1
96000; 0; 1
97000; 0; 1
98000; 0; 1
99000; 0; 1
0; 100; 2
1000; 40; 2
2000; 25; 2
3000; 19; 2
4000; 15; 2
5000; 11; 2
6000; 9; 2
7000; 7; 2
8000; 6; 2
9000; 6; 2
10000; 5; 2
11000; 5; 2
12000; 4; 2
13000; 4; 2
14000; 4; 2
15000; 4; 2
16000; 3; 2
17000; 3; 2
18000; 3; 2
19000; 3; 2
20000; 3; 2
21000; 3; 2
22000; 2; 2
23000; 2; 2
24000; 2; 2
25000; 2; 2
26000; 2; 2
27000; 2; 2
28000; 2; 2
29000; 2; 2
30000; 2; 2
31000; 2; 2
32000; 2; 2
33000; 1; 2
34000; 1; 2
35000; 1; 2
36000; 1; 2
37000; 1; 2
38000; 1; 2
39000; 1; 2
40000; 1; 2
41000; 1; 2
42000; 1; 2
43000; 1; 2
44000; 1; 2
45000; 1; 2
46000; 1; 2
47000; 1; 2
48000; 1; 2
49000; 1; 2
50000; 1; 2
51000; 1; 2
52000; 1; 2
53000; 1; 2
54000; 1; 2
55000; 1; 2
56000; 1; 2
57000; 1; 2
58000; 1; 2
59000; 1; 2
60000; 1; 2
61000; 1; 2
62000; 1; 2
63000; 1; 2
64000; 1; 2
65000; 1; 2
66000; 1; 2
67000; 1; 2
68000; 1; 2
69000; 1; 2
70000; 1; 2
71000; 1; 2
72000; 1; 2
73000; 1; 2
74000; 1; 2
75000; 1; 2
76000; 1; 2
77000; 1; 2
78000; 1; 2
79000; 1; 2
80000; 1; 2
81000; 1; 2
82000; 1; 2
83000; 1; 2
84000; 1; 2
85000; 1; 2
86000; 1; 2
87000; 1; 2
88000; 1; 2
89000; 1; 2
90000; 1; 2
91000; 1; 2
92000; 1; 2
93000; 1; 2
94000; 1; 2
95000; 1; 2
96000; 1; 2
97000; 1; 2
98000; 1; 2
99000; 1; 2
0; 100; 5
1000; 66; 5
2000; 44; 5
3000; 32; 5
4000; 24; 5
5000; 19; 5
6000; 15; 5
7000; 13; 5
8000; 12; 5
9000; 10; 5
10000; 9; 5
11000; 9; 5
12000; 9; 5
13000; 8; 5
14000; 8; 5
15000; 7; 5
16000; 6; 5
17000; 6; 5
18000; 6; 5
19000; 5; 5
20000; 5; 5
21000; 5; 5
22000; 5; 5
23000; 5; 5
24000; 5; 5
25000; 5; 5
26000; 4; 5
27000; 4; 5
28000; 4; 5
29000; 4; 5
30000; 4; 5
31000; 4; 5
32000; 4; 5
33000; 4; 5
34000; 4; 5
35000; 3; 5
36000; 3; 5
37000; 3; 5
38000; 3; 5
39000; 3; 5
40000; 3; 5
41000; 3; 5
42000; 3; 5
43000; 3; 5
44000; 3; 5
45000; 3; 5
46000; 3; 5
47000; 3; 5
48000; 3; 5
49000; 3; 5
50000; 3; 5
51000; 3; 5
52000; 3; 5
53000; 3; 5
54000; 3; 5
55000; 3; 5
56000; 3; 5
57000; 3; 5
58000; 3; 5
59000; 3; 5
60000; 3; 5
61000; 3; 5
62000; 3; 5
63000; 3; 5
64000; 3; 5
65000; 3; 5
66000; 3; 5
67000; 3; 5
68000; 2; 5
69000; 2; 5
70000; 2; 5
71000; 2; 5
72000; 2; 5
73000; 2; 5
74000; 2; 5
75000; 2; 5
76000; 2; 5
77000; 2; 5
78000; 2; 5
79000; 2; 5
80000; 2; 5
81000; 2; 5
82000; 2; 5
83000; 2; 5
84000; 2; 5
85000; 2; 5
86000; 2; 5
87000; 2; 5
88000; 2; 5
89000; 2; 5
90000; 2; 5
91000; 2; 5
92000; 2; 5
93000; 2; 5
94000; 2; 5
95000; 2; 5
96000; 2; 5
97000; 2; 5
98000; 2; 5
99000; 2; 5
0; 100; 10
1000; 67; 10
2000; 45; 10
3000; 34; 10
4000; 27; 10
5000; 23; 10
6000; 19; 10
7000; 17; 10
8000; 16; 10
9000; 14; 10
10000; 12; 10
11000; 12; 10
12000; 11; 10
13000; 10; 10
14000; 10; 10
15000; 9; 10
16000; 8; 10
17000; 8; 10
18000; 7; 10
19000; 7; 10
20000; 7; 10
21000; 6; 10
22000; 6; 10
23000; 6; 10
24000; 6; 10
25000; 5; 10
26000; 5; 10
27000; 5; 10
28000; 5; 10
29000; 4; 10
30000; 4; 10
31000; 4; 10
32000; 4; 10
33000; 4; 10
34000; 4; 10
35000; 4; 10
36000; 4; 10
37000; 4; 10
38000; 4; 10
39000; 4; 10
40000; 4; 10
41000; 4; 10
42000; 4; 10
43000; 4; 10
44000; 3; 10
45000; 3; 10
46000; 3; 10
47000; 3; 10
48000; 3; 10
49000; 3; 10
50000; 3; 10
51000; 3; 10
52000; 3; 10
53000; 3; 10
54000; 3; 10
55000; 3; 10
56000; 3; 10
57000; 3; 10
58000; 3; 10
59000; 3; 10
60000; 3; 10
61000; 3; 10
62000; 3; 10
63000; 3; 10
64000; 3; 10
65000; 3; 10
66000; 3; 10
67000; 2; 10
68000; 2; 10
69000; 2; 10
70000; 2; 10
71000; 2; 10
72000; 2; 10
73000; 2; 10
74000; 2; 10
75000; 2; 10
76000; 2; 10
77000; 2; 10
78000; 2; 10
79000; 2; 10
80000; 2; 10
81000; 2; 10
82000; 2; 10
83000; 2; 10
84000; 2; 10
85000; 2; 10
86000; 2; 10
87000; 2; 10
88000; 2; 10
89000; 2; 10
90000; 2; 10
91000; 2; 10
92000; 2; 10
93000; 2; 10
94000; 2; 10
95000; 2; 10
96000; 2; 10
97000; 2; 10
98000; 2; 10
99000; 2; 10
0; 100; 25
1000; 67; 25
2000; 45; 25
3000; 33; 25
4000; 28; 25
5000; 23; 25
6000; 20; 25
7000; 18; 25
8000; 16; 25
9000; 14; 25
10000; 13; 25
11000; 13; 25
12000; 11; 25
13000; 10; 25
14000; 10; 25
15000; 9; 25
16000; 9; 25
17000; 9; 25
18000; 9; 25
19000; 8; 25
20000; 8; 25
21000; 8; 25
22000; 7; 25
23000; 7; 25
24000; 7; 25
25000; 6; 25
26000; 6; 25
27000; 6; 25
28000; 5; 25
29000; 5; 25
30000; 5; 25
31000; 5; 25
32000; 5; 25
33000; 4; 25
34000; 4; 25
35000; 4; 25
36000; 4; 25
37000; 4; 25
38000; 4; 25
39000; 3; 25
40000; 3; 25
41000; 3; 25
42000; 3; 25
43000; 3; 25
44000; 3; 25
45000; 3; 25
46000; 3; 25
47000; 3; 25
48000; 3; 25
49000; 3; 25
50000; 3; 25
51000; 3; 25
52000; 3; 25
