### PARAMETERS VALUE ###
### LATTICESIZE = 50, NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.25, MUTATIONPROB = 0, NRESOURCEDIST = 2500, MAXTIME = 20000, TIMEINTERVAL = 100, NRUN = 10 ###

time; nSpecie; param
0; 100; 0.025
100; 100; 0.025
200; 98; 0.025
300; 94; 0.025
400; 90; 0.025
500; 85; 0.025
600; 81; 0.025
700; 77; 0.025
800; 74; 0.025
900; 71; 0.025
1000; 68; 0.025
1100; 66; 0.025
1200; 64; 0.025
1300; 61; 0.025
1400; 59; 0.025
1500; 58; 0.025
1600; 56; 0.025
1700; 54; 0.025
1800; 52; 0.025
1900; 50; 0.025
2000; 48; 0.025
2100; 47; 0.025
2200; 45; 0.025
2300; 44; 0.025
2400; 42; 0.025
2500; 41; 0.025
2600; 40; 0.025
2700; 39; 0.025
2800; 38; 0.025
2900; 37; 0.025
3000; 36; 0.025
3100; 35; 0.025
3200; 34; 0.025
3300; 33; 0.025
3400; 32; 0.025
3500; 31; 0.025
3600; 31; 0.025
3700; 30; 0.025
3800; 29; 0.025
3900; 28; 0.025
4000; 28; 0.025
4100; 28; 0.025
4200; 27; 0.025
4300; 26; 0.025
4400; 26; 0.025
4500; 25; 0.025
4600; 25; 0.025
4700; 25; 0.025
4800; 24; 0.025
4900; 24; 0.025
5000; 24; 0.025
5100; 23; 0.025
5200; 23; 0.025
5300; 22; 0.025
5400; 22; 0.025
5500; 21; 0.025
5600; 20; 0.025
5700; 20; 0.025
5800; 20; 0.025
5900; 19; 0.025
6000; 19; 0.025
6100; 19; 0.025
6200; 18; 0.025
6300; 18; 0.025
6400; 18; 0.025
6500; 18; 0.025
6600; 17; 0.025
6700; 17; 0.025
6800; 17; 0.025
6900; 16; 0.025
7000; 16; 0.025
7100; 16; 0.025
7200; 16; 0.025
7300; 15; 0.025
7400; 15; 0.025
7500; 14; 0.025
7600; 14; 0.025
7700; 14; 0.025
7800; 14; 0.025
7900; 14; 0.025
8000; 14; 0.025
8100; 13; 0.025
8200; 13; 0.025
8300; 13; 0.025
8400; 13; 0.025
8500; 12; 0.025
8600; 12; 0.025
8700; 12; 0.025
8800; 12; 0.025
8900; 12; 0.025
9000; 11; 0.025
9100; 11; 0.025
9200; 11; 0.025
9300; 11; 0.025
9400; 11; 0.025
9500; 11; 0.025
9600; 10; 0.025
9700; 10; 0.025
9800; 10; 0.025
9900; 10; 0.025
10000; 10; 0.025
10100; 9; 0.025
10200; 9; 0.025
10300; 9; 0.025
10400; 9; 0.025
10500; 9; 0.025
10600; 9; 0.025
10700; 9; 0.025
10800; 9; 0.025
10900; 8; 0.025
11000; 8; 0.025
11100; 8; 0.025
11200; 8; 0.025
11300; 8; 0.025
11400; 8; 0.025
11500; 8; 0.025
11600; 8; 0.025
11700; 8; 0.025
11800; 7; 0.025
11900; 7; 0.025
12000; 7; 0.025
12100; 7; 0.025
12200; 7; 0.025
12300; 7; 0.025
12400; 7; 0.025
12500; 7; 0.025
12600; 6; 0.025
12700; 6; 0.025
12800; 6; 0.025
