### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0737346; 0.0503499; 0
0.075; 0.0782123; 0.0514028; 0
0.125; 0.0807976; 0.0525265; 0
0.175; 0.0788527; 0.0531904; 0
0.225; 0.0842663; 0.0489497; 0
0.275; 0.0854183; 0.0485882; 0
0.325; 0.0888044; 0.0489588; 0
0.375; 0.0817674; 0.0480134; 0
0.425; 0.0792893; 0.0505249; 0
0.475; 0.0830802; 0.0480517; 0
0.525; 0.0728228; 0.0517785; 0
0.575; 0.056159; 0.0473187; 0
0.625; 0.033446; 0.0533637; 0
0.675; 0.0154394; 0.0469905; 0
0.725; 0.00688547; 0.0518593; 0
0.775; 0.000736361; 0.0476311; 0
0.825; 0.000124115; 0.0501908; 0
0.875; 0.000162433; 0.0506873; 0
0.925; 0; 0.0502; 0
0.975; 0; 0.0494253; 0
0.025; 0.02434; 0.0532053; 0.25
0.075; 0.0350336; 0.0486764; 0.25
0.125; 0.0318658; 0.0514861; 0.25
0.175; 0.0386063; 0.0486706; 0.25
0.225; 0.0457642; 0.0509671; 0.25
0.275; 0.0510661; 0.0510646; 0.25
0.325; 0.0588345; 0.0478584; 0.25
0.375; 0.077216; 0.0521208; 0.25
0.425; 0.0891884; 0.0474944; 0.25
0.475; 0.11224; 0.0513945; 0.25
0.525; 0.126753; 0.0500284; 0.25
0.575; 0.121995; 0.0467697; 0.25
0.625; 0.0935589; 0.0543624; 0.25
0.675; 0.0532418; 0.0451087; 0.25
0.725; 0.0260683; 0.0495369; 0.25
0.775; 0.0129329; 0.0524615; 0.25
0.825; 0.000514787; 0.0491437; 0.25
0.875; 0.000777172; 0.0531754; 0.25
0.925; 0; 0.0489338; 0.25
0.975; 0; 0.0475419; 0.25
0.025; 0.0250773; 0.0545165; 0.5
0.075; 0.0168596; 0.0499909; 0.5
0.125; 0.0136001; 0.0495727; 0.5
0.175; 0.0129362; 0.0455885; 0.5
0.225; 0.0212519; 0.0567022; 0.5
0.275; 0.0245413; 0.0423307; 0.5
0.325; 0.0402256; 0.0566664; 0.5
0.375; 0.0468345; 0.044848; 0.5
0.425; 0.0664272; 0.0527122; 0.5
0.475; 0.09175; 0.0502066; 0.5
0.525; 0.11678; 0.0534927; 0.5
0.575; 0.140794; 0.0504848; 0.5
0.625; 0.148878; 0.0444981; 0.5
0.675; 0.130775; 0.0491546; 0.5
0.725; 0.0637124; 0.0550229; 0.5
0.775; 0.0276651; 0.0482507; 0.5
0.825; 0.00801164; 0.0513994; 0.5
0.875; 0.00188171; 0.047287; 0.5
0.925; 0.00199588; 0.0473744; 0.5
0.975; 0; 0.0499009; 0.5
0.025; 0.0179187; 0.063082; 0.75
0.075; 0.0097526; 0.0468988; 0.75
0.125; 0.0165739; 0.0508055; 0.75
0.175; 0.0149505; 0.03992; 0.75
0.225; 0.0212298; 0.0378801; 0.75
0.275; 0.0261769; 0.0488955; 0.75
0.325; 0.023438; 0.0423207; 0.75
0.375; 0.0402619; 0.0457643; 0.75
0.425; 0.0547425; 0.0474444; 0.75
0.475; 0.0771699; 0.0584981; 0.75
0.525; 0.100171; 0.0627422; 0.75
0.575; 0.136915; 0.0529904; 0.75
0.625; 0.156415; 0.0494452; 0.75
0.675; 0.130003; 0.0551837; 0.75
0.725; 0.105233; 0.0455285; 0.75
0.775; 0.0476047; 0.0527589; 0.75
0.825; 0.00859155; 0.0627255; 0.75
0.875; 0.0108615; 0.0321183; 0.75
0.925; 0; 0.0537842; 0.75
0.975; 0.00200005; 0.0512137; 0.75
0.025; 0.0301411; 0.0565839; 1
0.075; 0.011396; 0.0475027; 1
0.125; 0.00361932; 0.0429863; 1
0.175; 0.00406751; 0.0483007; 1
0.225; 0.0103809; 0.0409238; 1
0.275; 0.0204136; 0.0566114; 1
0.325; 0.0164843; 0.0370496; 1
0.375; 0.0373337; 0.0466114; 1
0.425; 0.0561671; 0.0441241; 1
0.475; 0.0601239; 0.05408; 1
0.525; 0.0753737; 0.0648355; 1
0.575; 0.120541; 0.0446006; 1
0.625; 0.164114; 0.0654769; 1
0.675; 0.173728; 0.0428572; 1
0.725; 0.138585; 0.0469363; 1
0.775; 0.0535523; 0.0561883; 1
0.825; 0.0180004; 0.0543299; 1
0.875; 0.00600014; 0.0582124; 1
0.925; 0; 0.054469; 1
0.975; 0; 0.0373203; 1
