### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; varDist; param
1; 0.799347; 0
2; 0.158245; 0
3; 0.0260409; 0
4; 0.0102857; 0
5; 0.004; 0
6; 0.00138775; 0
7; 0.000367347; 0
8; 0.000204082; 0
9; 8.16327e-05; 0
10; 4.08163e-05; 0
11; 0; 0
12; 0; 0
13; 0; 0
14; 0; 0
15; 0; 0
16; 0; 0
17; 0; 0
18; 0; 0
19; 0; 0
20; 0; 0
21; 0; 0
22; 0; 0
23; 0; 0
24; 0; 0
25; 0; 0
26; 0; 0
27; 0; 0
28; 0; 0
29; 0; 0
30; 0; 0
31; 0; 0
32; 0; 0
33; 0; 0
34; 0; 0
35; 0; 0
36; 0; 0
37; 0; 0
38; 0; 0
39; 0; 0
40; 0; 0
41; 0; 0
42; 0; 0
43; 0; 0
44; 0; 0
45; 0; 0
46; 0; 0
47; 0; 0
48; 0; 0
49; 0; 0
1; 0.697592; 0.25
2; 0.246367; 0.25
3; 0.0289388; 0.25
4; 0.012898; 0.25
5; 0.00608163; 0.25
6; 0.0035102; 0.25
7; 0.00142857; 0.25
8; 0.000938775; 0.25
9; 0.000571429; 0.25
10; 0.000489796; 0.25
11; 0.000204082; 0.25
12; 0.000285714; 0.25
13; 0.000204082; 0.25
14; 0.000285714; 0.25
15; 8.16327e-05; 0.25
16; 8.16327e-05; 0.25
17; 4.08163e-05; 0.25
18; 0; 0.25
19; 0; 0.25
20; 0; 0.25
21; 0; 0.25
22; 0; 0.25
23; 0; 0.25
24; 0; 0.25
25; 0; 0.25
26; 0; 0.25
27; 0; 0.25
28; 0; 0.25
29; 0; 0.25
30; 0; 0.25
31; 0; 0.25
32; 0; 0.25
33; 0; 0.25
34; 0; 0.25
35; 0; 0.25
36; 0; 0.25
37; 0; 0.25
38; 0; 0.25
39; 0; 0.25
40; 0; 0.25
41; 0; 0.25
42; 0; 0.25
43; 0; 0.25
44; 0; 0.25
45; 0; 0.25
46; 0; 0.25
47; 0; 0.25
48; 0; 0.25
49; 0; 0.25
1; 0.712367; 0.5
2; 0.252408; 0.5
3; 0.0196327; 0.5
4; 0.0082449; 0.5
5; 0.00391837; 0.5
6; 0.00195918; 0.5
7; 0.000857143; 0.5
8; 0.000285714; 0.5
9; 4.08163e-05; 0.5
10; 8.16327e-05; 0.5
11; 4.08163e-05; 0.5
12; 0.000163265; 0.5
13; 0; 0.5
14; 0; 0.5
15; 0; 0.5
16; 0; 0.5
17; 0; 0.5
18; 0; 0.5
19; 0; 0.5
20; 0; 0.5
21; 0; 0.5
22; 0; 0.5
23; 0; 0.5
24; 0; 0.5
25; 0; 0.5
26; 0; 0.5
27; 0; 0.5
28; 0; 0.5
29; 0; 0.5
30; 0; 0.5
31; 0; 0.5
32; 0; 0.5
33; 0; 0.5
34; 0; 0.5
35; 0; 0.5
36; 0; 0.5
37; 0; 0.5
38; 0; 0.5
39; 0; 0.5
40; 0; 0.5
41; 0; 0.5
42; 0; 0.5
43; 0; 0.5
44; 0; 0.5
45; 0; 0.5
46; 0; 0.5
47; 0; 0.5
48; 0; 0.5
49; 0; 0.5
1; 0.832122; 0.75
2; 0.152612; 0.75
3; 0.00959183; 0.75
4; 0.00342857; 0.75
5; 0.00142857; 0.75
6; 0.000367347; 0.75
7; 0.000367347; 0.75
8; 8.16327e-05; 0.75
9; 0; 0.75
10; 0; 0.75
11; 0; 0.75
12; 0; 0.75
13; 0; 0.75
14; 0; 0.75
15; 0; 0.75
16; 0; 0.75
17; 0; 0.75
18; 0; 0.75
19; 0; 0.75
20; 0; 0.75
21; 0; 0.75
22; 0; 0.75
23; 0; 0.75
24; 0; 0.75
25; 0; 0.75
26; 0; 0.75
27; 0; 0.75
28; 0; 0.75
29; 0; 0.75
30; 0; 0.75
31; 0; 0.75
32; 0; 0.75
33; 0; 0.75
34; 0; 0.75
35; 0; 0.75
36; 0; 0.75
37; 0; 0.75
38; 0; 0.75
39; 0; 0.75
40; 0; 0.75
41; 0; 0.75
42; 0; 0.75
43; 0; 0.75
44; 0; 0.75
45; 0; 0.75
46; 0; 0.75
47; 0; 0.75
48; 0; 0.75
49; 0; 0.75
1; 0.932449; 1
2; 0.0180408; 1
3; 0.0015102; 1
4; 0.000244898; 1
5; 8.16327e-05; 1
6; 8.16327e-05; 1
7; 0.000204082; 1
8; 0.000285714; 1
9; 0.000122449; 1
10; 0.000367347; 1
11; 0.000367347; 1
12; 0.000367347; 1
13; 0.000285714; 1
14; 0.000285714; 1
15; 0.000285714; 1
16; 0.000408163; 1
17; 0.000897959; 1
18; 0.000938775; 1
19; 0.000693878; 1
20; 0.000979592; 1
21; 0.00155102; 1
22; 0.00179592; 1
23; 0.00204082; 1
24; 0.00273469; 1
25; 0.00314286; 1
26; 0.00297959; 1
27; 0.00285714; 1
28; 0.00371428; 1
29; 0.00436735; 1
30; 0.00395918; 1
31; 0.00391837; 1
32; 0.00302041; 1
33; 0.00285714; 1
34; 0.00122449; 1
35; 0.000571429; 1
36; 0.000163265; 1
37; 0.000163265; 1
38; 0; 1
39; 4.08163e-05; 1
40; 0; 1
41; 0; 1
42; 0; 1
43; 0; 1
44; 0; 1
45; 0; 1
46; 0; 1
47; 0; 1
48; 0; 1
49; 0; 1
