### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0309809; 0.0483823; 1
0.075; 0.0130195; 0.0477643; 1
0.125; 0.0165389; 0.0538059; 1
0.175; 0.0266605; 0.0540008; 1
0.225; 0.0314043; 0.0513045; 1
0.275; 0.0380907; 0.0485723; 1
0.325; 0.0399482; 0.0502641; 1
0.375; 0.0658132; 0.0437218; 1
0.425; 0.0733266; 0.0513603; 1
0.475; 0.0923513; 0.0521241; 1
0.525; 0.116821; 0.0489421; 1
0.575; 0.129394; 0.0551287; 1
0.625; 0.133132; 0.0528663; 1
0.675; 0.107934; 0.0554486; 1
0.725; 0.0590469; 0.0463324; 1
0.775; 0.0207105; 0.046329; 1
0.825; 0.00348352; 0.0423382; 1
0.875; 0.00134193; 0.0517701; 1
0.925; 0; 0.0431096; 1
0.975; 0; 0.0564348; 1
0.025; 0.0295627; 0.0527214; 7
0.075; 0.02008; 0.0442274; 7
0.125; 0.0180483; 0.0544481; 7
0.175; 0.0226756; 0.0458634; 7
0.225; 0.0276818; 0.050973; 7
0.275; 0.0335469; 0.0507314; 7
0.325; 0.04223; 0.0512295; 7
0.375; 0.0583757; 0.0518426; 7
0.425; 0.0733695; 0.0494061; 7
0.475; 0.088449; 0.0470696; 7
0.525; 0.122361; 0.0500158; 7
0.575; 0.13912; 0.0488172; 7
0.625; 0.132759; 0.0524373; 7
0.675; 0.100274; 0.05404; 7
0.725; 0.0555311; 0.0518067; 7
0.775; 0.0263082; 0.0500067; 7
0.825; 0.00762016; 0.0451995; 7
0.875; 0.00200666; 0.0489996; 7
0.925; 0; 0.048723; 7
0.975; 0; 0.0514419; 7
0.025; 0.0470147; 0.0494827; 49
0.075; 0.0431804; 0.0501574; 49
0.125; 0.04421; 0.0482316; 49
0.175; 0.0489263; 0.0517484; 49
0.225; 0.0520767; 0.0485423; 49
0.275; 0.0603308; 0.0539942; 49
0.325; 0.0683233; 0.0525456; 49
0.375; 0.0791556; 0.04603; 49
0.425; 0.0894629; 0.0494552; 49
0.475; 0.0957761; 0.0514194; 49
0.525; 0.101254; 0.0511612; 49
0.575; 0.0942209; 0.049147; 49
0.625; 0.0771929; 0.0507597; 49
0.675; 0.0509789; 0.0443115; 49
0.725; 0.0294928; 0.0526697; 49
0.775; 0.0134361; 0.054035; 49
0.825; 0.00413328; 0.0480558; 49
0.875; 0.000829656; 0.0497993; 49
0.925; 6.66389e-06; 0.0510404; 49
0.975; 0; 0.0474136; 49
0.025; 0.045432; 0.0493494; 2401
0.075; 0.0484615; 0.048065; 2401
0.125; 0.0517127; 0.0550487; 2401
0.175; 0.055951; 0.0472045; 2401
0.225; 0.0604108; 0.0535644; 2401
0.275; 0.0661884; 0.0516527; 2401
0.325; 0.0727865; 0.0487139; 2401
0.375; 0.0800893; 0.0524831; 2401
0.425; 0.0863659; 0.0486289; 2401
0.475; 0.0913147; 0.0499375; 2401
0.525; 0.0921702; 0.0506397; 2401
0.575; 0.0858086; 0.0458417; 2401
0.625; 0.0685657; 0.0503898; 2401
0.675; 0.0467048; 0.0493461; 2401
0.725; 0.0260667; 0.0512203; 2401
0.775; 0.0130529; 0.0504573; 2401
0.825; 0.00633987; 0.05212; 2401
0.875; 0.00235819; 0.0460775; 2401
0.925; 0.000222407; 0.0490721; 2401
0.975; 0; 0.0501874; 2401
