### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

time; nVar; meanDU; param
0; 50; 31.4164; 1
5; 50.004; 29.1638; 1
10; 50.022; 26.7902; 1
15; 50.034; 24.4578; 1
20; 50.05; 22.1633; 1
25; 50.07; 19.9144; 1
30; 50.086; 17.6784; 1
35; 50.098; 15.4816; 1
40; 50.08; 13.3017; 1
45; 49.942; 11.122; 1
50; 49.372; 8.94269; 1
55; 47.634; 6.79665; 1
60; 43.74; 4.84951; 1
65; 37.53; 3.37318; 1
70; 30.518; 2.48886; 1
75; 24.912; 2.03575; 1
80; 21.352; 1.8222; 1
85; 19.308; 1.69237; 1
90; 18.05; 1.6251; 1
95; 17.138; 1.56457; 1
100; 16.52; 1.53996; 1
105; 16.046; 1.50041; 1
110; 15.618; 1.47776; 1
115; 15.148; 1.43347; 1
120; 14.714; 1.41694; 1
125; 14.346; 1.39057; 1
130; 14.142; 1.39298; 1
135; 14.012; 1.37567; 1
140; 13.924; 1.38069; 1
145; 13.83; 1.36486; 1
150; 13.754; 1.37; 1
155; 13.692; 1.354; 1
160; 13.618; 1.35943; 1
165; 13.55; 1.34433; 1
170; 13.49; 1.35367; 1
175; 13.466; 1.34212; 1
180; 13.464; 1.35233; 1
185; 13.46; 1.34114; 1
190; 13.456; 1.35216; 1
195; 13.454; 1.34049; 1
0; 50; 31.4197; 7
5; 50.006; 29.1194; 7
10; 50.024; 26.6254; 7
15; 50.036; 24.2003; 7
20; 50.05; 21.8523; 7
25; 50.058; 19.581; 7
30; 50.068; 17.4112; 7
35; 50.078; 15.3596; 7
40; 50.092; 13.4089; 7
45; 50.076; 11.5733; 7
50; 50.044; 9.84252; 7
55; 49.942; 8.22404; 7
60; 49.594; 6.71502; 7
65; 48.756; 5.42898; 7
70; 47.422; 4.40384; 7
75; 45.332; 3.66894; 7
80; 42.734; 3.12731; 7
85; 39.894; 2.72098; 7
90; 36.674; 2.362; 7
95; 33.356; 2.08363; 7
100; 30.616; 1.92678; 7
105; 28.71; 1.82869; 7
110; 27.216; 1.73551; 7
115; 26.026; 1.68747; 7
120; 25.176; 1.62841; 7
125; 24.426; 1.60857; 7
130; 23.924; 1.57135; 7
135; 23.536; 1.56449; 7
140; 23.286; 1.54012; 7
145; 23.12; 1.54327; 7
150; 23.024; 1.5251; 7
155; 22.922; 1.53135; 7
160; 22.86; 1.51669; 7
165; 22.814; 1.52494; 7
170; 22.77; 1.51045; 7
175; 22.736; 1.51988; 7
180; 22.714; 1.50596; 7
185; 22.678; 1.51637; 7
190; 22.644; 1.5031; 7
195; 22.622; 1.51388; 7
0; 50; 31.4238; 49
5; 50.006; 29.0792; 49
10; 50.02; 26.9834; 49
15; 50.04; 25.0166; 49
20; 50.05; 23.1022; 49
25; 50.072; 21.2485; 49
30; 50.074; 19.4595; 49
35; 50.076; 17.7557; 49
40; 50.082; 16.1702; 49
45; 50.088; 14.7171; 49
50; 50.086; 13.3966; 49
55; 50.092; 12.2318; 49
60; 50.092; 11.2044; 49
65; 50.088; 10.3275; 49
70; 50.046; 9.60388; 49
75; 50.014; 9.00661; 49
80; 49.946; 8.51551; 49
85; 49.892; 8.12698; 49
90; 49.822; 7.81739; 49
95; 49.744; 7.55723; 49
100; 49.662; 7.35396; 49
105; 49.598; 7.18453; 49
110; 49.542; 7.05253; 49
115; 49.48; 6.93339; 49
120; 49.418; 6.84906; 49
125; 49.368; 6.76008; 49
130; 49.308; 6.7002; 49
135; 49.244; 6.64923; 49
140; 49.218; 6.606; 49
145; 49.2; 6.57216; 49
150; 49.17; 6.54147; 49
155; 49.146; 6.51277; 49
160; 49.122; 6.49233; 49
165; 49.104; 6.476; 49
170; 49.08; 6.46032; 49
175; 49.094; 6.4469; 49
180; 49.092; 6.44176; 49
185; 49.094; 6.42881; 49
190; 49.092; 6.42367; 49
195; 49.09; 6.41763; 49
0; 50; 31.4387; 2401
5; 50.002; 29.1256; 2401
10; 50.018; 27.1557; 2401
15; 50.036; 25.3251; 2401
20; 50.05; 23.5611; 2401
25; 50.07; 21.8366; 2401
30; 50.082; 20.1504; 2401
35; 50.09; 18.4938; 2401
40; 50.088; 16.9102; 2401
45; 50.098; 15.4106; 2401
50; 50.104; 14.0406; 2401
55; 50.096; 12.8213; 2401
60; 50.102; 11.7422; 2401
