### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0515008; 0.0468755; 10
0.075; 0.0570238; 0.0552003; 10
0.125; 0.0424321; 0.0494327; 10
0.175; 0.037096; 0.0409721; 10
0.225; 0.0533418; 0.0497459; 10
0.275; 0.0628453; 0.059521; 10
0.325; 0.0648969; 0.050783; 10
0.375; 0.0687954; 0.0543699; 10
0.425; 0.0680922; 0.0460108; 10
0.475; 0.102318; 0.0475877; 10
0.525; 0.119387; 0.0470437; 10
0.575; 0.105715; 0.0505198; 10
0.625; 0.0898758; 0.0498017; 10
0.675; 0.053442; 0.0411612; 10
0.725; 0.0118534; 0.0523965; 10
0.775; 0.00930031; 0.0532578; 10
0.825; 0.00208329; 0.0470845; 10
0.875; 0; 0.0555768; 10
0.925; 0; 0.055701; 10
0.975; 0; 0.0469579; 10
0.025; 0.0599108; 0.0442832; 25
0.075; 0.0286913; 0.0447405; 25
0.125; 0.0221874; 0.0500142; 25
0.175; 0.0218033; 0.0567789; 25
0.225; 0.0312044; 0.0412495; 25
0.275; 0.0367654; 0.0558251; 25
0.325; 0.0438408; 0.064893; 25
0.375; 0.0589096; 0.0415935; 25
0.425; 0.0762397; 0.0542766; 25
0.475; 0.0939372; 0.0446764; 25
0.525; 0.119557; 0.050868; 25
0.575; 0.131135; 0.0534236; 25
0.625; 0.109535; 0.0469155; 25
0.675; 0.0879374; 0.0438659; 25
0.725; 0.050244; 0.0506189; 25
0.775; 0.0157817; 0.0509221; 25
0.825; 0.00750855; 0.0522599; 25
0.875; 0.00329779; 0.0609404; 25
0.925; 0.00151272; 0.0465739; 25
0.975; 0; 0.0452811; 25
0.025; 0.0310341; 0.0501025; 50
0.075; 0.0188812; 0.0565265; 50
0.125; 0.0188071; 0.0437651; 50
0.175; 0.0185822; 0.055591; 50
0.225; 0.022399; 0.0485281; 50
0.275; 0.0331044; 0.0487522; 50
0.325; 0.0390145; 0.0562916; 50
0.375; 0.0636717; 0.0457026; 50
0.425; 0.0783413; 0.0531454; 50
0.475; 0.0961146; 0.0553669; 50
0.525; 0.122503; 0.0493162; 50
0.575; 0.146884; 0.0495244; 50
0.625; 0.121476; 0.052733; 50
0.675; 0.099545; 0.0470421; 50
0.725; 0.0604588; 0.0455386; 50
0.775; 0.0204081; 0.049357; 50
0.825; 0.00613082; 0.0459767; 50
0.875; 0.00264221; 0.0545248; 50
0.925; 0; 0.0483707; 50
0.975; 0; 0.0438451; 50
0.025; 0.0276622; 0.0530529; 75
0.075; 0.0160483; 0.0475227; 75
0.125; 0.0173044; 0.0585673; 75
0.175; 0.0156126; 0.0445881; 75
0.225; 0.0211944; 0.0473528; 75
0.275; 0.0252919; 0.0504515; 75
0.325; 0.0320124; 0.0555285; 75
0.375; 0.0463672; 0.0483857; 75
0.425; 0.0662964; 0.0430679; 75
0.475; 0.0828994; 0.0526348; 75
0.525; 0.118136; 0.0562515; 75
0.575; 0.14809; 0.0483274; 75
0.625; 0.14039; 0.0473028; 75
0.675; 0.120057; 0.0511687; 75
0.725; 0.0678083; 0.0483215; 75
0.775; 0.0418508; 0.0423574; 75
0.825; 0.00608243; 0.0559492; 75
0.875; 0.00574596; 0.0431612; 75
0.925; 0.00114702; 0.0549971; 75
0.975; 0; 0.0510112; 75
0.025; 0.0154812; 0.0491146; 100
0.075; 0.0140774; 0.0538592; 100
0.125; 0.0143698; 0.0428546; 100
0.175; 0.0155959; 0.0604148; 100
0.225; 0.0155851; 0.0477576; 100
0.275; 0.0200241; 0.0533478; 100
0.325; 0.0403572; 0.0452278; 100
0.375; 0.044748; 0.0575369; 100
0.425; 0.0667487; 0.0505806; 100
0.475; 0.0886287; 0.0484765; 100
0.525; 0.111845; 0.0501991; 100
0.575; 0.142467; 0.0490604; 100
0.625; 0.158644; 0.0485623; 100
0.675; 0.129339; 0.0448905; 100
0.725; 0.0770718; 0.0509388; 100
0.775; 0.0320524; 0.0498267; 100
0.825; 0.00876966; 0.0544057; 100
0.875; 0.0017401; 0.0520325; 100
0.925; 0.00245236; 0.0481125; 100
0.975; 0; 0.0428014; 100
