### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.033484; 0.0521208; 0.00025
0.075; 0.0181615; 0.0494286; 0.00025
0.125; 0.0188671; 0.0556268; 0.00025
0.175; 0.0207788; 0.0537735; 0.00025
0.225; 0.01994; 0.0549296; 0.00025
0.275; 0.0283748; 0.0441324; 0.00025
0.325; 0.0371578; 0.0554869; 0.00025
0.375; 0.0513693; 0.0453203; 0.00025
0.425; 0.072991; 0.0422582; 0.00025
0.475; 0.0937549; 0.0529563; 0.00025
0.525; 0.117944; 0.0495452; 0.00025
0.575; 0.143466; 0.0517784; 0.00025
0.625; 0.140506; 0.0561291; 0.00025
0.675; 0.108908; 0.048434; 0.00025
0.725; 0.0615333; 0.0449605; 0.00025
0.775; 0.0219133; 0.0502349; 0.00025
0.825; 0.00602332; 0.0479159; 0.00025
0.875; 0.0048247; 0.049152; 0.00025
0.925; 0; 0.045372; 0.00025
0.975; 0; 0.0504448; 0.00025
0.025; 0.0279812; 0.0507497; 0.0005
0.075; 0.018279; 0.0494244; 0.0005
0.125; 0.0168837; 0.0464773; 0.0005
0.175; 0.0179208; 0.0515969; 0.0005
0.225; 0.0235976; 0.0510304; 0.0005
0.275; 0.0310561; 0.0510671; 0.0005
0.325; 0.043296; 0.0482266; 0.0005
0.375; 0.0525213; 0.0513336; 0.0005
0.425; 0.0612826; 0.0468847; 0.0005
0.475; 0.0997315; 0.0549779; 0.0005
0.525; 0.130219; 0.0557484; 0.0005
0.575; 0.13763; 0.051681; 0.0005
0.625; 0.142382; 0.0456926; 0.0005
0.675; 0.0920913; 0.0509463; 0.0005
0.725; 0.0663521; 0.0522216; 0.0005
0.775; 0.0265246; 0.0462324; 0.0005
0.825; 0.012249; 0.0497276; 0.0005
0.875; 0; 0.0444107; 0.0005
0.925; 0; 0.0541508; 0.0005
0.975; 0; 0.0474202; 0.0005
0.025; 0.0262318; 0.053731; 0.001
0.075; 0.013097; 0.0519026; 0.001
0.125; 0.0167055; 0.0482607; 0.001
0.175; 0.0167305; 0.0478317; 0.001
0.225; 0.0274735; 0.0492911; 0.001
0.275; 0.0286097; 0.0486506; 0.001
0.325; 0.0414842; 0.0578434; 0.001
0.375; 0.0529236; 0.0470221; 0.001
0.425; 0.0677566; 0.0461908; 0.001
0.475; 0.104015; 0.0505056; 0.001
0.525; 0.116518; 0.0554161; 0.001
0.575; 0.147014; 0.0452037; 0.001
0.625; 0.140891; 0.0475602; 0.001
0.675; 0.112917; 0.0559434; 0.001
0.725; 0.0522905; 0.0509546; 0.001
0.775; 0.028548; 0.0578026; 0.001
0.825; 0.00581837; 0.0486722; 0.001
0.875; 0.000972919; 0.0422574; 0.001
0.925; 0; 0.045666; 0.001
0.975; 0; 0.0492945; 0.001
0.025; 0.0250541; 0.0481966; 0.002
0.075; 0.0170795; 0.051566; 0.002
0.125; 0.0176984; 0.047372; 0.002
0.175; 0.0224506; 0.0389588; 0.002
0.225; 0.0274301; 0.0525256; 0.002
0.275; 0.0373818; 0.0554735; 0.002
0.325; 0.0439549; 0.0463749; 0.002
0.375; 0.0524256; 0.0481141; 0.002
0.425; 0.0731494; 0.0514969; 0.002
0.475; 0.0913576; 0.054698; 0.002
0.525; 0.110255; 0.0540125; 0.002
0.575; 0.129938; 0.0481308; 0.002
0.625; 0.140584; 0.0566789; 0.002
0.675; 0.120175; 0.0452312; 0.002
0.725; 0.0514826; 0.0454702; 0.002
0.775; 0.0254601; 0.0493336; 0.002
0.825; 0.0125297; 0.0539484; 0.002
0.875; 0.00159103; 0.0460275; 0.002
0.925; 0; 0.0496901; 0.002
0.975; 0; 0.0567005; 0.002
0.025; 0.071577; 0.0491945; 0.004
0.075; 0.0495916; 0.0506039; 0.004
0.125; 0.0554008; 0.0509779; 0.004
0.175; 0.0600165; 0.0501291; 0.004
0.225; 0.068418; 0.0469721; 0.004
0.275; 0.0730578; 0.0501974; 0.004
0.325; 0.0782257; 0.0528488; 0.004
0.375; 0.0847263; 0.0506989; 0.004
0.425; 0.0904414; 0.050269; 0.004
0.475; 0.0911877; 0.0521325; 0.004
0.525; 0.0879133; 0.0484723; 0.004
0.575; 0.0793826; 0.0464673; 0.004
0.625; 0.0577692; 0.0497693; 0.004
0.675; 0.0314086; 0.0506397; 0.004
0.725; 0.0147539; 0.0504765; 0.004
0.775; 0.0044215; 0.0484123; 0.004
0.825; 0.00154186; 0.0509671; 0.004
0.875; 0; 0.0493503; 0.004
0.925; 0.000165765; 0.0514311; 0.004
0.975; 0; 0.04999; 0.004
