### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

time; nVar; meanDU; param
0; 50; 31.4009; 0.00025
5; 50.004; 29.0676; 0.00025
10; 50.024; 26.5073; 0.00025
15; 50.036; 23.9609; 0.00025
20; 50.05; 21.4256; 0.00025
25; 50.066; 18.9568; 0.00025
30; 50.072; 16.5372; 0.00025
35; 50.062; 14.1608; 0.00025
40; 49.992; 11.8309; 0.00025
45; 49.538; 9.53478; 0.00025
50; 48.132; 7.29955; 0.00025
55; 44.916; 5.26131; 0.00025
60; 39.178; 3.68429; 0.00025
65; 32.61; 2.74012; 0.00025
70; 27.11; 2.26653; 0.00025
75; 23.654; 2.01682; 0.00025
80; 21.632; 1.86922; 0.00025
85; 20.216; 1.76077; 0.00025
90; 19.124; 1.68559; 0.00025
95; 18.246; 1.61441; 0.00025
100; 17.468; 1.56388; 0.00025
105; 16.814; 1.5098; 0.00025
110; 16.176; 1.46502; 0.00025
115; 15.476; 1.42351; 0.00025
120; 14.946; 1.40269; 0.00025
125; 14.598; 1.38278; 0.00025
130; 14.372; 1.37653; 0.00025
135; 14.244; 1.36355; 0.00025
140; 14.092; 1.36155; 0.00025
145; 14.014; 1.35143; 0.00025
150; 13.922; 1.35; 0.00025
155; 13.828; 1.33894; 0.00025
160; 13.746; 1.34065; 0.00025
165; 13.696; 1.33359; 0.00025
170; 13.664; 1.33735; 0.00025
175; 13.646; 1.3322; 0.00025
180; 13.646; 1.3369; 0.00025
185; 13.64; 1.33184; 0.00025
190; 13.64; 1.33678; 0.00025
195; 13.642; 1.33167; 0.00025
0; 50; 31.4254; 0.0005
5; 50.006; 29.1131; 0.0005
10; 50.014; 26.6158; 0.0005
15; 50.028; 24.1299; 0.0005
20; 50.04; 21.6623; 0.0005
25; 50.05; 19.2399; 0.0005
30; 50.052; 16.8426; 0.0005
35; 50.046; 14.5011; 0.0005
40; 50.006; 12.192; 0.0005
45; 49.73; 9.89845; 0.0005
50; 48.578; 7.64367; 0.0005
55; 45.544; 5.528; 0.0005
60; 40.07; 3.81179; 0.0005
65; 32.992; 2.72453; 0.0005
70; 26.886; 2.18584; 0.0005
75; 22.896; 1.928; 0.0005
80; 20.552; 1.78131; 0.0005
85; 19.01; 1.69343; 0.0005
90; 17.996; 1.62318; 0.0005
95; 17.188; 1.57775; 0.0005
100; 16.566; 1.53106; 0.0005
105; 16.042; 1.49424; 0.0005
110; 15.494; 1.44678; 0.0005
115; 14.838; 1.41714; 0.0005
120; 14.35; 1.3911; 0.0005
125; 14.054; 1.38118; 0.0005
130; 13.856; 1.36967; 0.0005
135; 13.73; 1.36694; 0.0005
140; 13.656; 1.35902; 0.0005
145; 13.558; 1.35743; 0.0005
150; 13.484; 1.34796; 0.0005
155; 13.388; 1.34555; 0.0005
160; 13.302; 1.3382; 0.0005
165; 13.244; 1.33976; 0.0005
170; 13.194; 1.33433; 0.0005
175; 13.172; 1.33702; 0.0005
180; 13.156; 1.33278; 0.0005
185; 13.15; 1.33661; 0.0005
190; 13.154; 1.33241; 0.0005
195; 13.146; 1.33633; 0.0005
