### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0180125; 0.0607139; 0.005
0.075; 0.0185914; 0.0478434; 0.005
0.125; 0.0223381; 0.0456018; 0.005
0.175; 0.0227288; 0.0476885; 0.005
0.225; 0.0345122; 0.0483524; 0.005
0.275; 0.0394285; 0.0514111; 0.005
0.325; 0.0485179; 0.0494277; 0.005
0.375; 0.0641731; 0.0448455; 0.005
0.425; 0.0722689; 0.0496385; 0.005
0.475; 0.104945; 0.0512686; 0.005
0.525; 0.121057; 0.0483732; 0.005
0.575; 0.126336; 0.0549988; 0.005
0.625; 0.129265; 0.0480733; 0.005
0.675; 0.0979832; 0.0559392; 0.005
0.725; 0.0520215; 0.0484423; 0.005
0.775; 0.0134818; 0.0509379; 0.005
0.825; 0.00802166; 0.0491887; 0.005
0.875; 0.00318115; 0.0489596; 0.005
0.925; 0.00313374; 0.0442782; 0.005
0.975; 0; 0.0540175; 0.005
0.025; 0.0335723; 0.0447172; 0.01
0.075; 0.0178108; 0.0521533; 0.01
0.125; 0.0202357; 0.0493728; 0.01
0.175; 0.0217467; 0.045162; 0.01
0.225; 0.032523; 0.0511937; 0.01
0.275; 0.0398966; 0.0481174; 0.01
0.325; 0.0496117; 0.0580017; 0.01
0.375; 0.0488919; 0.047676; 0.01
0.425; 0.0698864; 0.0526739; 0.01
0.475; 0.0833226; 0.0495419; 0.01
0.525; 0.129647; 0.0545023; 0.01
0.575; 0.127346; 0.0559325; 0.01
0.625; 0.141478; 0.0457093; 0.01
0.675; 0.0982747; 0.0453103; 0.01
0.725; 0.0524005; 0.0493436; 0.01
0.775; 0.0216159; 0.049217; 0.01
0.825; 0.00908873; 0.0475152; 0.01
0.875; 0.00264892; 0.0532553; 0.01
0.925; 0; 0.0493511; 0.01
0.975; 0; 0.0512536; 0.01
0.025; 0.0393883; 0.0544432; 0.02
0.075; 0.0189795; 0.0536377; 0.02
0.125; 0.0181607; 0.0579267; 0.02
0.175; 0.0224123; 0.0455985; 0.02
0.225; 0.026952; 0.0482974; 0.02
0.275; 0.033291; 0.0492903; 0.02
0.325; 0.046169; 0.0528488; 0.02
0.375; 0.054692; 0.0474311; 0.02
0.425; 0.0696866; 0.0474827; 0.02
0.475; 0.0855958; 0.0446298; 0.02
0.525; 0.10422; 0.0548072; 0.02
0.575; 0.1366; 0.0431654; 0.02
0.625; 0.138733; 0.0549138; 0.02
0.675; 0.105967; 0.0530646; 0.02
0.725; 0.061565; 0.0494952; 0.02
0.775; 0.0279541; 0.0482974; 0.02
0.825; 0.00706785; 0.0454453; 0.02
0.875; 0.00256225; 0.0452895; 0.02
0.925; 0; 0.0534536; 0.02
0.975; 0; 0.0504823; 0.02
0.025; 0.0338846; 0.0506106; 0.04
0.075; 0.0197051; 0.0565215; 0.04
0.125; 0.0197709; 0.0489238; 0.04
0.175; 0.0263881; 0.0552179; 0.04
0.225; 0.0296325; 0.0543582; 0.04
0.275; 0.0359982; 0.0460084; 0.04
0.325; 0.0509661; 0.0496868; 0.04
0.375; 0.0593875; 0.0473028; 0.04
0.425; 0.0731227; 0.0496776; 0.04
0.475; 0.0977706; 0.0462458; 0.04
0.525; 0.129773; 0.0558084; 0.04
0.575; 0.116206; 0.0503232; 0.04
0.625; 0.130395; 0.0522874; 0.04
0.675; 0.0952117; 0.0413761; 0.04
0.725; 0.0482281; 0.0520108; 0.04
0.775; 0.0223664; 0.047277; 0.04
0.825; 0.0101233; 0.0565881; 0.04
0.875; 0.00106705; 0.0483865; 0.04
0.925; 0; 0.0432295; 0.04
0.975; 0; 0.04816; 0.04
0.025; 0.0276912; 0.0547922; 0.08
0.075; 0.0200699; 0.0457643; 0.08
0.125; 0.0161107; 0.0453886; 0.08
0.175; 0.0158375; 0.0528755; 0.08
0.225; 0.0199541; 0.0482158; 0.08
0.275; 0.0277292; 0.0526081; 0.08
0.325; 0.0500532; 0.0481883; 0.08
0.375; 0.0516567; 0.0550837; 0.08
0.425; 0.0714376; 0.0476402; 0.08
0.475; 0.10097; 0.0437326; 0.08
0.525; 0.120719; 0.0453728; 0.08
0.575; 0.14134; 0.054604; 0.08
0.625; 0.136092; 0.0452287; 0.08
0.675; 0.113233; 0.0508572; 0.08
0.725; 0.0544414; 0.0528405; 0.08
0.775; 0.0162581; 0.0551637; 0.08
0.825; 0.0131736; 0.0530338; 0.08
0.875; 0.00322948; 0.050125; 0.08
0.925; 0; 0.0451021; 0.08
0.975; 0; 0.0533836; 0.08
