### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.032247; 0.0456635; 0
0.075; 0.0128204; 0.0530471; 0
0.125; 0.0176876; 0.0466906; 0
0.175; 0.0208904; 0.0548105; 0
0.225; 0.0272269; 0.0493903; 0
0.275; 0.0357867; 0.0517818; 0
0.325; 0.0461448; 0.0512995; 0
0.375; 0.0641989; 0.0533703; 0
0.425; 0.0829485; 0.0530354; 0
0.475; 0.0877716; 0.0493803; 0
0.525; 0.113116; 0.0553753; 0
0.575; 0.136558; 0.05008; 0
0.625; 0.122424; 0.0443474; 0
0.675; 0.105128; 0.0522682; 0
0.725; 0.0623198; 0.0512212; 0
0.775; 0.0205639; 0.0422207; 0
0.825; 0.00695956; 0.054379; 0
0.875; 0.00222241; 0.0469421; 0
0.925; 0.00114452; 0.0466181; 0
0.975; 0.00183927; 0.0480791; 0
0.025; 0.0340804; 0.0499326; 1
0.075; 0.0217025; 0.0497226; 1
0.125; 0.0188354; 0.0515469; 1
0.175; 0.0229295; 0.0480325; 1
0.225; 0.0293086; 0.0452004; 1
0.275; 0.0327879; 0.0516676; 1
0.325; 0.0363398; 0.0502316; 1
0.375; 0.0553535; 0.0513153; 1
0.425; 0.0702882; 0.0510796; 1
0.475; 0.0858024; 0.0479967; 1
0.525; 0.116843; 0.0539975; 1
0.575; 0.129464; 0.0489629; 1
0.625; 0.141757; 0.0495319; 1
0.675; 0.114064; 0.0389321; 1
0.725; 0.0540049; 0.0558967; 1
0.775; 0.0251502; 0.0480708; 1
0.825; 0.00993749; 0.051536; 1
0.875; 0.00134945; 0.0581874; 1
0.925; 0; 0.0541908; 1
0.975; 0; 0.0439683; 1
0.025; 0.0200143; 0.0445306; 2
0.075; 0.0186739; 0.0586131; 2
0.125; 0.0206264; 0.0538584; 2
0.175; 0.0221124; 0.045511; 2
0.225; 0.0285414; 0.050748; 2
0.275; 0.0344239; 0.0564015; 2
0.325; 0.0449445; 0.053217; 2
0.375; 0.0570335; 0.0452895; 2
0.425; 0.0729927; 0.0469988; 2
0.475; 0.0936957; 0.0471054; 2
0.525; 0.124107; 0.0495477; 2
0.575; 0.131119; 0.0528255; 2
0.625; 0.132629; 0.0503357; 2
0.675; 0.11561; 0.0508697; 2
0.725; 0.0538707; 0.0457434; 2
0.775; 0.0190262; 0.0449205; 2
0.825; 0.00980587; 0.0508488; 2
0.875; 0.000770506; 0.0530187; 2
0.925; 0; 0.0498792; 2
0.975; 0; 0.0497376; 2
