### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

time; nVar; meanDU; param
0; 50; 31.4107; 0
5; 50.008; 28.9383; 0
10; 50.024; 26.2194; 0
15; 50.04; 23.5495; 0
20; 50.048; 20.9424; 0
25; 50.054; 18.4155; 0
30; 50.07; 15.9724; 0
35; 50.036; 13.5891; 0
40; 49.898; 11.2775; 0
45; 49.286; 9.0158; 0
50; 47.306; 6.84694; 0
55; 43.246; 5.01016; 0
60; 37.532; 3.75143; 0
65; 31.972; 3.01706; 0
70; 27.698; 2.61441; 0
75; 24.918; 2.35; 0
80; 22.822; 2.16743; 0
85; 21.29; 2.01824; 0
90; 20.074; 1.90388; 0
95; 19.064; 1.80216; 0
100; 18.122; 1.71669; 0
105; 17.146; 1.62886; 0
110; 16.238; 1.56318; 0
115; 15.524; 1.51237; 0
120; 15.012; 1.47425; 0
125; 14.51; 1.44498; 0
130; 14.112; 1.42139; 0
135; 13.794; 1.40282; 0
140; 13.536; 1.39; 0
145; 13.374; 1.3771; 0
150; 13.17; 1.37024; 0
155; 13.046; 1.36318; 0
160; 12.962; 1.36212; 0
165; 12.934; 1.35841; 0
170; 12.906; 1.35857; 0
175; 12.888; 1.35563; 0
180; 12.876; 1.35686; 0
185; 12.862; 1.35306; 0
190; 12.848; 1.35482; 0
195; 12.84; 1.35196; 0
0; 50; 31.4041; 1
5; 50.006; 29.1659; 1
10; 50.034; 26.8058; 1
15; 50.044; 24.4717; 1
20; 50.048; 22.1803; 1
25; 50.052; 19.9216; 1
30; 50.056; 17.7053; 1
35; 50.068; 15.5085; 1
40; 50.04; 13.324; 1
45; 49.888; 11.153; 1
50; 49.286; 8.97551; 1
55; 47.482; 6.83388; 1
60; 43.55; 4.88482; 1
65; 37.384; 3.3971; 1
70; 30.624; 2.49996; 1
75; 25.218; 2.044; 1
80; 21.724; 1.81808; 1
85; 19.734; 1.69629; 1
90; 18.436; 1.62571; 1
95; 17.61; 1.57686; 1
100; 17.028; 1.54216; 1
105; 16.562; 1.51224; 1
110; 16.108; 1.47865; 1
115; 15.644; 1.44743; 1
120; 15.186; 1.41865; 1
125; 14.83; 1.40661; 1
130; 14.61; 1.39212; 1
135; 14.466; 1.39045; 1
140; 14.364; 1.38106; 1
145; 14.282; 1.38078; 1
150; 14.216; 1.37086; 1
155; 14.12; 1.36922; 1
160; 14; 1.35918; 1
165; 13.938; 1.35971; 1
170; 13.882; 1.35241; 1
175; 13.846; 1.35629; 1
180; 13.822; 1.35061; 1
185; 13.818; 1.35592; 1
190; 13.826; 1.35033; 1
195; 13.818; 1.35567; 1
0; 50; 31.4307; 2
5; 50; 29.2498; 2
10; 50.024; 26.7543; 2
15; 50.044; 24.2126; 2
20; 50.062; 21.7087; 2
25; 50.086; 19.2594; 2
30; 50.092; 16.8777; 2
35; 50.076; 14.5578; 2
40; 50.026; 12.2996; 2
45; 49.664; 10.0686; 2
50; 48.53; 7.88686; 2
55; 45.936; 5.85588; 2
60; 41.24; 4.23906; 2
65; 35.622; 3.20878; 2
70; 30.652; 2.62718; 2
75; 27.074; 2.29702; 2
80; 24.466; 2.08682; 2
85; 22.654; 1.93878; 2
90; 21.268; 1.83151; 2
95; 20.196; 1.75457; 2
100; 19.328; 1.69796; 2
105; 18.6; 1.64657; 2
110; 17.994; 1.60347; 2
115; 17.446; 1.57057; 2
120; 17.026; 1.54653; 2
125; 16.746; 1.53257; 2
130; 16.574; 1.51865; 2
135; 16.404; 1.51114; 2
140; 16.258; 1.50073; 2
145; 16.14; 1.49592; 2
150; 16.05; 1.48771; 2
155; 15.956; 1.48465; 2
160; 15.878; 1.47829; 2
165; 15.816; 1.47706; 2
170; 15.776; 1.47396; 2
175; 15.756; 1.47461; 2
180; 15.738; 1.47151; 2
185; 15.726; 1.47265; 2
190; 15.716; 1.47094; 2
195; 15.714; 1.47249; 2
