### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0270091; 0.049182; 2.5e-05
0.075; 0.0192252; 0.0499584; 2.5e-05
0.125; 0.0181299; 0.0540025; 2.5e-05
0.175; 0.0282373; 0.0509388; 2.5e-05
0.225; 0.0278375; 0.0544357; 2.5e-05
0.275; 0.038697; 0.0515277; 2.5e-05
0.325; 0.0454135; 0.0462799; 2.5e-05
0.375; 0.0560298; 0.0442391; 2.5e-05
0.425; 0.0724305; 0.0515968; 2.5e-05
0.475; 0.102854; 0.0478751; 2.5e-05
0.525; 0.113713; 0.0547264; 2.5e-05
0.575; 0.129837; 0.0512095; 2.5e-05
0.625; 0.13013; 0.0467264; 2.5e-05
0.675; 0.0945353; 0.0498717; 2.5e-05
0.725; 0.0552476; 0.0613403; 2.5e-05
0.775; 0.0258425; 0.0507505; 2.5e-05
0.825; 0.00825403; 0.0459184; 2.5e-05
0.875; 0.00657399; 0.0517118; 2.5e-05
0.925; 0; 0.0472928; 2.5e-05
0.975; 0; 0.0404165; 2.5e-05
0.025; 0.0351433; 0.0552062; 5e-05
0.075; 0.0197443; 0.0521383; 5e-05
0.125; 0.0162182; 0.0493278; 5e-05
0.175; 0.0139583; 0.0496327; 5e-05
0.225; 0.0233202; 0.0568022; 5e-05
0.275; 0.0341282; 0.0466022; 5e-05
0.325; 0.0498399; 0.0497176; 5e-05
0.375; 0.055261; 0.0530362; 5e-05
0.425; 0.0734933; 0.0471887; 5e-05
0.475; 0.10176; 0.0545615; 5e-05
0.525; 0.120673; 0.048055; 5e-05
0.575; 0.137566; 0.0491812; 5e-05
0.625; 0.130238; 0.0497901; 5e-05
0.675; 0.107696; 0.0410004; 5e-05
0.725; 0.0483996; 0.0571146; 5e-05
0.775; 0.0233685; 0.0512903; 5e-05
0.825; 0.00717864; 0.0434486; 5e-05
0.875; 0.00139277; 0.049077; 5e-05
0.925; 0.000619738; 0.0485698; 5e-05
0.975; 0; 0.0482599; 5e-05
