### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

time; nVar; meanDU; param
0; 50; 31.4076; 2.5e-05
5; 50.002; 29.1651; 2.5e-05
10; 50.012; 26.7993; 2.5e-05
15; 50.024; 24.4755; 2.5e-05
20; 50.026; 22.1835; 2.5e-05
25; 50.032; 19.9226; 2.5e-05
30; 50.03; 17.7057; 2.5e-05
35; 50.028; 15.5038; 2.5e-05
40; 50.01; 13.3215; 2.5e-05
45; 49.854; 11.1391; 2.5e-05
50; 49.354; 8.94612; 2.5e-05
55; 47.744; 6.80821; 2.5e-05
60; 43.932; 4.86457; 2.5e-05
65; 37.776; 3.39351; 2.5e-05
70; 31.02; 2.50563; 2.5e-05
75; 25.326; 2.06033; 2.5e-05
80; 21.938; 1.84249; 2.5e-05
85; 19.724; 1.7138; 2.5e-05
90; 18.392; 1.64208; 2.5e-05
95; 17.58; 1.59045; 2.5e-05
100; 16.992; 1.558; 2.5e-05
105; 16.468; 1.51976; 2.5e-05
110; 16.022; 1.49094; 2.5e-05
115; 15.526; 1.4498; 2.5e-05
120; 14.972; 1.42478; 2.5e-05
125; 14.586; 1.4042; 2.5e-05
130; 14.38; 1.39926; 2.5e-05
135; 14.244; 1.38845; 2.5e-05
140; 14.17; 1.38726; 2.5e-05
145; 14.086; 1.37767; 2.5e-05
150; 14.012; 1.37759; 2.5e-05
155; 13.938; 1.36714; 2.5e-05
160; 13.852; 1.36727; 2.5e-05
165; 13.79; 1.35853; 2.5e-05
170; 13.728; 1.36073; 2.5e-05
175; 13.704; 1.35494; 2.5e-05
180; 13.7; 1.35853; 2.5e-05
185; 13.686; 1.35376; 2.5e-05
190; 13.678; 1.3578; 2.5e-05
195; 13.676; 1.3531; 2.5e-05
0; 50; 31.4145; 5e-05
5; 50.002; 29.1686; 5e-05
10; 50.01; 26.7966; 5e-05
15; 50.024; 24.4656; 5e-05
20; 50.028; 22.1761; 5e-05
25; 50.026; 19.9312; 5e-05
30; 50.032; 17.7103; 5e-05
35; 50.036; 15.5102; 5e-05
40; 50.014; 13.3273; 5e-05
45; 49.87; 11.1431; 5e-05
50; 49.254; 8.96; 5e-05
55; 47.524; 6.81588; 5e-05
60; 43.768; 4.85392; 5e-05
65; 37.782; 3.36486; 5e-05
70; 30.776; 2.48282; 5e-05
75; 25.164; 2.02041; 5e-05
80; 21.558; 1.80122; 5e-05
85; 19.408; 1.6789; 5e-05
90; 18.152; 1.61433; 5e-05
95; 17.34; 1.56277; 5e-05
100; 16.756; 1.53069; 5e-05
105; 16.32; 1.49992; 5e-05
110; 15.908; 1.47167; 5e-05
115; 15.434; 1.43649; 5e-05
120; 14.982; 1.41608; 5e-05
125; 14.662; 1.39792; 5e-05
130; 14.464; 1.39135; 5e-05
135; 14.322; 1.38277; 5e-05
140; 14.256; 1.38122; 5e-05
145; 14.186; 1.37396; 5e-05
150; 14.106; 1.37143; 5e-05
155; 14.04; 1.36306; 5e-05
160; 13.98; 1.36078; 5e-05
165; 13.892; 1.354; 5e-05
170; 13.826; 1.35494; 5e-05
175; 13.808; 1.35086; 5e-05
180; 13.792; 1.3529; 5e-05
185; 13.784; 1.34975; 5e-05
190; 13.778; 1.35261; 5e-05
195; 13.782; 1.34935; 5e-05
0; 50; 31.402; 0.0001
5; 50.004; 29.1524; 0.0001
10; 50.016; 26.7877; 0.0001
15; 50.038; 24.4631; 0.0001
20; 50.06; 22.1616; 0.0001
25; 50.052; 19.9042; 0.0001
30; 50.068; 17.6815; 0.0001
35; 50.07; 15.4806; 0.0001
40; 50.054; 13.2956; 0.0001
45; 49.896; 11.1087; 0.0001
50; 49.268; 8.92657; 0.0001
55; 47.464; 6.77016; 0.0001
60; 43.602; 4.82347; 0.0001
65; 37.22; 3.33579; 0.0001
70; 30.002; 2.45477; 0.0001
75; 24.492; 2.02522; 0.0001
80; 21.108; 1.81416; 0.0001
85; 19.124; 1.69645; 0.0001
90; 17.91; 1.62841; 0.0001
95; 17.1; 1.57702; 0.0001
100; 16.556; 1.54314; 0.0001
105; 16.1; 1.50543; 0.0001
110; 15.61; 1.47698; 0.0001
115; 15.092; 1.43902; 0.0001
120; 14.63; 1.41747; 0.0001
125; 14.3; 1.39604; 0.0001
130; 14.044; 1.38861; 0.0001
135; 13.892; 1.37747; 0.0001
140; 13.768; 1.37608; 0.0001
145; 13.686; 1.36596; 0.0001
150; 13.588; 1.36551; 0.0001
155; 13.502; 1.35453; 0.0001
