### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0308417; 0.050448; 25
0.075; 0.0179456; 0.0459392; 25
0.125; 0.0164672; 0.0476608; 25
0.175; 0.0188736; 0.0515488; 25
0.225; 0.0225728; 0.0494464; 25
0.275; 0.032912; 0.0460064; 25
0.325; 0.0424128; 0.0540352; 25
0.375; 0.0472256; 0.0449344; 25
0.425; 0.0730048; 0.0521216; 25
0.475; 0.0906432; 0.0433952; 25
0.525; 0.11223; 0.0505216; 25
0.575; 0.150749; 0.0489152; 25
0.625; 0.137498; 0.0456576; 25
0.675; 0.11857; 0.0524384; 25
0.725; 0.052528; 0.0548192; 25
0.775; 0.0282144; 0.0503168; 25
0.825; 0.0026528; 0.045648; 25
0.875; 0.00208; 0.0615808; 25
0.925; 0.00257921; 0.050704; 25
0.975; 0; 0.0538624; 25
0.025; 0.0298054; 0.0559985; 36
0.075; 0.0148457; 0.0530648; 36
0.125; 0.0126991; 0.0444429; 36
0.175; 0.0186528; 0.0574043; 36
0.225; 0.0261575; 0.0463503; 36
0.275; 0.0328797; 0.0473318; 36
0.325; 0.0411405; 0.048963; 36
0.375; 0.0607456; 0.0486775; 36
0.425; 0.0759987; 0.0489197; 36
0.475; 0.105723; 0.0524368; 36
0.525; 0.118292; 0.0441512; 36
0.575; 0.148229; 0.0535201; 36
0.625; 0.124818; 0.0510016; 36
0.675; 0.10013; 0.046037; 36
0.725; 0.0624924; 0.0529522; 36
0.775; 0.0181559; 0.0553195; 36
0.825; 0.0050679; 0.0512469; 36
0.875; 0.00416975; 0.0474167; 36
0.925; 0; 0.0451142; 36
0.975; 0; 0.0496513; 36
0.025; 0.0309799; 0.0545323; 49
0.075; 0.0169904; 0.0566872; 49
0.125; 0.0182165; 0.0493978; 49
0.175; 0.0210961; 0.0492553; 49
0.225; 0.0234226; 0.0469155; 49
0.275; 0.0348229; 0.0479992; 49
0.325; 0.0460207; 0.0508372; 49
0.375; 0.0525363; 0.0478251; 49
0.425; 0.0716308; 0.0476385; 49
0.475; 0.0980738; 0.0496193; 49
0.525; 0.108031; 0.0510054; 49
0.575; 0.132396; 0.0480708; 49
0.625; 0.146045; 0.052359; 49
0.675; 0.11205; 0.0460533; 49
0.725; 0.0604912; 0.0592387; 49
0.775; 0.0209503; 0.0416252; 49
0.825; 0.00346187; 0.052913; 49
0.875; 0.00278217; 0.0482233; 49
0.925; 0; 0.0539092; 49
0.975; 0; 0.0458951; 49
0.025; 0.0243496; 0.0461025; 64
0.075; 0.0194185; 0.0526582; 64
0.125; 0.0174478; 0.048874; 64
0.175; 0.0213394; 0.0479839; 64
0.225; 0.0212949; 0.0518169; 64
0.275; 0.0307046; 0.050936; 64
0.325; 0.0367808; 0.0513916; 64
0.375; 0.0529878; 0.0498638; 64
0.425; 0.0720107; 0.0496348; 64
0.475; 0.0982158; 0.0433721; 64
0.525; 0.107702; 0.0499385; 64
0.575; 0.137564; 0.0557603; 64
0.625; 0.154903; 0.0492207; 64
0.675; 0.100252; 0.0445981; 64
0.725; 0.0700703; 0.0555859; 64
0.775; 0.0233643; 0.0472295; 64
0.825; 0.00880469; 0.0461953; 64
0.875; 0.00122266; 0.0562876; 64
0.925; 0.00156738; 0.0551777; 64
0.975; 0; 0.0473726; 64
0.025; 0.0215677; 0.045836; 81
0.075; 0.0149475; 0.0478601; 81
0.125; 0.0176419; 0.0600235; 81
0.175; 0.0247744; 0.0552178; 81
0.225; 0.0299778; 0.0409889; 81
0.275; 0.0359234; 0.0468612; 81
0.325; 0.0466036; 0.0458299; 81
0.375; 0.056093; 0.0557915; 81
0.425; 0.0807688; 0.0442414; 81
0.475; 0.0958698; 0.0507932; 81
0.525; 0.10974; 0.0500378; 81
0.575; 0.141837; 0.0485962; 81
0.625; 0.141728; 0.0563362; 81
0.675; 0.103884; 0.0491931; 81
0.725; 0.0503667; 0.0448447; 81
0.775; 0.0199641; 0.0542286; 81
0.825; 0.00828934; 0.0540516; 81
0.875; 0; 0.0455129; 81
0.925; 0; 0.0558; 81
0.975; 0; 0.0479555; 81
0.025; 0.0319665; 0.0538784; 100
0.075; 0.0174398; 0.0500038; 100
0.125; 0.0249813; 0.0495276; 100
0.175; 0.0261241; 0.051868; 100
0.225; 0.0326628; 0.0403794; 100
0.275; 0.0362791; 0.0497708; 100
0.325; 0.0478114; 0.056823; 100
0.375; 0.0532123; 0.0554278; 100
0.425; 0.061753; 0.0450168; 100
0.475; 0.0791941; 0.044871; 100
0.525; 0.117982; 0.0500048; 100
0.575; 0.127884; 0.058217; 100
0.625; 0.136322; 0.0546552; 100
0.675; 0.114039; 0.0425406; 100
0.725; 0.0536619; 0.0468846; 100
0.775; 0.0236062; 0.0484094; 100
0.825; 0.00809577; 0.048362; 100
0.875; 0.00614052; 0.0547132; 100
0.925; 0.000832163; 0.0420072; 100
0.975; 0; 0.0566394; 100
