### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

time; nVar; meanDU; param
0; 50; 19.8393; 25
5; 50.01; 17.1499; 25
10; 50.006; 14.2044; 25
15; 49.92; 11.376; 25
20; 49.426; 8.69064; 25
25; 47.4; 6.09832; 25
30; 41.388; 3.8428; 25
35; 30.348; 2.48128; 25
40; 21.364; 1.93112; 25
45; 17.082; 1.70616; 25
50; 14.966; 1.5808; 25
55; 13.672; 1.48832; 25
60; 12.688; 1.41456; 25
65; 11.91; 1.36896; 25
70; 11.484; 1.35008; 25
75; 11.236; 1.33112; 25
80; 11.066; 1.32352; 25
85; 10.966; 1.31336; 25
90; 10.896; 1.314; 25
95; 10.872; 1.30896; 25
100; 10.862; 1.31184; 25
105; 10.854; 1.3068; 25
110; 10.842; 1.3108; 25
115; 10.834; 1.30584; 25
120; 10.838; 1.31048; 25
125; 10.838; 1.3052; 25
130; 10.83; 1.30984; 25
135; 10.826; 1.3052; 25
140; 10.824; 1.30944; 25
145; 10.824; 1.30504; 25
150; 10.824; 1.30928; 25
155; 10.826; 1.30496; 25
160; 10.826; 1.30984; 25
165; 10.826; 1.3052; 25
170; 10.828; 1.3104; 25
175; 10.836; 1.30464; 25
180; 10.836; 1.31048; 25
185; 10.832; 1.30464; 25
190; 10.828; 1.31; 25
195; 10.828; 1.30464; 25
0; 50; 25.8182; 36
5; 50.006; 23.3491; 36
10; 50.026; 20.6791; 36
15; 50.038; 18.0688; 36
20; 50.038; 15.5245; 36
25; 50.042; 13.0577; 36
30; 49.928; 10.6483; 36
35; 49.31; 8.25883; 36
40; 46.984; 5.95827; 36
45; 41.52; 3.99961; 36
50; 33.124; 2.73044; 36
55; 25.674; 2.12805; 36
60; 21.15; 1.85572; 36
65; 18.796; 1.72628; 36
70; 17.318; 1.6245; 36
75; 16.272; 1.57239; 36
80; 15.516; 1.50461; 36
85; 14.732; 1.46094; 36
90; 14.092; 1.41511; 36
95; 13.652; 1.40411; 36
100; 13.386; 1.38105; 36
105; 13.222; 1.38161; 36
110; 13.08; 1.36161; 36
115; 12.958; 1.36433; 36
120; 12.858; 1.34717; 36
125; 12.78; 1.35467; 36
130; 12.718; 1.34322; 36
135; 12.706; 1.35289; 36
140; 12.694; 1.34144; 36
145; 12.686; 1.35233; 36
150; 12.686; 1.34189; 36
155; 12.678; 1.35206; 36
160; 12.666; 1.34083; 36
165; 12.66; 1.35183; 36
170; 12.662; 1.34072; 36
175; 12.656; 1.35144; 36
180; 12.664; 1.34044; 36
185; 12.656; 1.35022; 36
190; 12.658; 1.33978; 36
195; 12.65; 1.35022; 36
0; 50; 31.4245; 49
5; 50; 29.1761; 49
10; 50.014; 26.8056; 49
15; 50.026; 24.4867; 49
20; 50.034; 22.1954; 49
25; 50.05; 19.9532; 49
30; 50.044; 17.7465; 49
35; 50.048; 15.5709; 49
40; 50.032; 13.3898; 49
45; 49.878; 11.214; 49
50; 49.276; 9.03624; 49
55; 47.49; 6.90371; 49
60; 43.714; 4.95041; 49
65; 37.81; 3.4438; 49
70; 31.068; 2.52506; 49
75; 25.526; 2.06665; 49
80; 21.97; 1.83163; 49
85; 19.85; 1.71522; 49
90; 18.506; 1.6331; 49
95; 17.656; 1.58824; 49
100; 17.066; 1.54367; 49
105; 16.54; 1.51857; 49
110; 16.072; 1.48; 49
115; 15.554; 1.45061; 49
120; 15.038; 1.41804; 49
125; 14.652; 1.40518; 49
130; 14.438; 1.39073; 49
135; 14.278; 1.38759; 49
140; 14.16; 1.37878; 49
145; 14.086; 1.37714; 49
150; 14.024; 1.36755; 49
155; 13.9; 1.3649; 49
160; 13.8; 1.35531; 49
165; 13.726; 1.35412; 49
170; 13.652; 1.3491; 49
175; 13.618; 1.35045; 49
180; 13.592; 1.34727; 49
185; 13.574; 1.34906; 49
190; 13.566; 1.34629; 49
195; 13.558; 1.34829; 49
0; 50; 36.2725; 64
5; 50.004; 34.2946; 64
10; 50.036; 32.2223; 64
15; 50.058; 30.1871; 64
20; 50.07; 28.1799; 64
25; 50.092; 26.1918; 64
30; 50.106; 24.2315; 64
35; 50.114; 22.2947; 64
40; 50.128; 20.3703; 64
45; 50.138; 18.4519; 64
50; 50.138; 16.5418; 64
55; 50.106; 14.6351; 64
60; 49.996; 12.7151; 64
65; 49.578; 10.7938; 64
70; 48.556; 8.8535; 64
75; 46.546; 6.95275; 64
80; 43.036; 5.20106; 64
85; 38.198; 3.78312; 64
90; 32.622; 2.8175; 64
95; 27.534; 2.24884; 64
100; 23.588; 1.93678; 64
105; 21.082; 1.76944; 64
110; 19.56; 1.66984; 64
115; 18.474; 1.60822; 64
120; 17.686; 1.56556; 64
125; 17.156; 1.53525; 64
130; 16.75; 1.51013; 64
135; 16.422; 1.49116; 64
140; 16.098; 1.47284; 64
145; 15.808; 1.45438; 64
150; 15.472; 1.43187; 64
155; 15.164; 1.41453; 64
160; 14.876; 1.403; 64
165; 14.702; 1.396; 64
170; 14.562; 1.39; 64
175; 14.468; 1.38656; 64
180; 14.4; 1.38297; 64
185; 14.354; 1.38087; 64
190; 14.3; 1.37669; 64
195; 14.248; 1.37525; 64
0; 50; 40.262; 81
5; 50.014; 38.5389; 81
10; 50.062; 36.734; 81
15; 50.074; 34.9784; 81
20; 50.104; 33.2367; 81
25; 50.12; 31.5118; 81
30; 50.142; 29.7987; 81
35; 50.16; 28.0996; 81
40; 50.2; 26.4187; 81
45; 50.224; 24.7451; 81
50; 50.234; 23.0801; 81
55; 50.24; 21.4137; 81
60; 50.23; 19.7555; 81
65; 50.216; 18.0897; 81
70; 50.204; 16.4241; 81
75; 50.13; 14.7472; 81
80; 49.966; 13.0504; 81
85; 49.548; 11.3423; 81
90; 48.756; 9.61111; 81
95; 47.318; 7.89723; 81
100; 44.94; 6.25642; 81
105; 41.268; 4.79375; 81
110; 36.88; 3.62133; 81
115; 32.052; 2.78709; 81
120; 27.468; 2.2642; 81
125; 23.844; 1.95718; 81
130; 21.394; 1.782; 81
135; 19.726; 1.67501; 81
140; 18.638; 1.60975; 81
145; 17.874; 1.56422; 81
150; 17.284; 1.53459; 81
155; 16.888; 1.51348; 81
160; 16.568; 1.49723; 81
165; 16.324; 1.48548; 81
170; 16.136; 1.47676; 81
175; 15.996; 1.46748; 81
180; 15.826; 1.45894; 81
185; 15.652; 1.44765; 81
190; 15.442; 1.43595; 81
195; 15.226; 1.424; 81
0; 50; 43.3668; 100
5; 50.01; 41.8751; 100
10; 50.052; 40.3161; 100
15; 50.09; 38.7912; 100
20; 50.122; 37.2849; 100
25; 50.164; 35.7968; 100
30; 50.184; 34.3128; 100
35; 50.208; 32.8427; 100
40; 50.244; 31.3831; 100
45; 50.258; 29.9325; 100
50; 50.274; 28.4979; 100
55; 50.286; 27.0697; 100
60; 50.314; 25.6431; 100
65; 50.318; 24.2193; 100
70; 50.318; 22.803; 100
75; 50.322; 21.3733; 100
80; 50.34; 19.9517; 100
85; 50.316; 18.5253; 100
90; 50.272; 17.0864; 100
95; 50.204; 15.6413; 100
100; 50.068; 14.1825; 100
105; 49.766; 12.7171; 100
110; 49.234; 11.2341; 100
115; 48.328; 9.73886; 100
120; 46.96; 8.25752; 100
125; 44.966; 6.82608; 100
130; 42.184; 5.50418; 100
135; 38.726; 4.35912; 100
140; 35.032; 3.45506; 100
145; 31.202; 2.79106; 100
150; 27.83; 2.34148; 100
155; 24.842; 2.0455; 100
160; 22.652; 1.85746; 100
165; 21.074; 1.73858; 100
170; 19.98; 1.6601; 100
175; 19.156; 1.6054; 100
180; 18.508; 1.56918; 100
185; 18.05; 1.53972; 100
190; 17.718; 1.51932; 100
195; 17.416; 1.5016; 100
