### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

param; nVar; meanDU
0.0001; 13.14; 1.31816
0.0005; 13.076; 1.33143
0.001; 14.08; 1.36184
0.0015; 13.49; 1.36575
0.002; 14.458; 1.41404
0.0025; 16.124; 2.09049
0.003; 42.282; 18.8333
0.0035; 50.686; 25.7447
0.004; 50.828; 26.5986
0.0045; 50.726; 26.9391
0.005; 50.79; 27.2982
0.0075; 50.864; 28.4474
0.01; 50.866; 29.0498
