### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 0, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; varDist
1; 0.707183
2; 0.274694
3; 0.00930612
4; 0.00346939
5; 0.00163265
6; 0.00077551
7; 0.000897959
8; 0.000408163
9; 0.000244898
10; 0.000367347
11; 0.000122449
12; 0.000285714
13; 8.16327e-05
14; 8.16327e-05
15; 0
16; 0
17; 4.08163e-05
18; 4.08163e-05
19; 0
20; 0
21; 0
22; 0
23; 0
24; 0
25; 0
26; 0
27; 0
28; 0
29; 0
30; 8.16327e-05
31; 0.000163265
32; 4.08163e-05
33; 8.16327e-05
34; 0
35; 0
36; 0
37; 0
38; 0
39; 0
40; 0
41; 0
42; 0
43; 0
44; 0
45; 0
46; 0
47; 0
48; 0
49; 0
