### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 0, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; fitness; appearence
0.025; 0; 0
0.075; 0; 0.163265
0.125; 0; 0
0.175; 0; 0.161599
0.225; 0; 0
0.275; 0; 0
0.325; 0; 0.0807997
0.375; 0; 0.0807997
0.425; 0; 0
0.475; 0; 0.100791
0.525; 0.0204082; 0
0.575; 0.484794; 0
0.625; 0; 0.0803832
0.675; 0.494789; 0
0.725; 0; 0.000832986
0.775; 0; 0
0.825; 0; 0.331529
0.875; 0; 0
0.925; 0; 0
0.975; 0; 0
