### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

value; hdDist; param
0; 0; 1
1; 0.122449; 1
2; 1.5; 1
3; 4.06122; 1
4; 10.949; 1
5; 16.2347; 1
6; 20.398; 1
7; 18.6735; 1
8; 13.602; 1
9; 8.16327; 1
10; 4.04082; 1
11; 1.5102; 1
12; 0.5; 1
13; 0.153061; 1
14; 0.0612245; 1
15; 0.0204082; 1
16; 0.0102041; 1
17; 0; 1
18; 0; 1
19; 0; 1
20; 0; 1
21; 0; 1
22; 0; 1
23; 0; 1
24; 0; 1
25; 0; 1
26; 0; 1
27; 0; 1
28; 0; 1
29; 0; 1
30; 0; 1
31; 0; 1
32; 0; 1
33; 0; 1
34; 0; 1
35; 0; 1
36; 0; 1
37; 0; 1
38; 0; 1
39; 0; 1
40; 0; 1
41; 0; 1
42; 0; 1
43; 0; 1
44; 0; 1
45; 0; 1
46; 0; 1
47; 0; 1
48; 0; 1
0; 0; 3
1; 0.530612; 3
2; 1.85714; 3
3; 5.88776; 3
4; 11.7857; 3
5; 18.1531; 3
6; 19.7857; 3
7; 17.8776; 3
8; 12.3367; 3
9; 6.78572; 3
10; 3.19388; 3
11; 1.33673; 3
12; 0.346939; 3
13; 0.0816327; 3
14; 0.0408163; 3
15; 0; 3
16; 0; 3
17; 0; 3
18; 0; 3
19; 0; 3
20; 0; 3
21; 0; 3
22; 0; 3
23; 0; 3
24; 0; 3
25; 0; 3
26; 0; 3
27; 0; 3
28; 0; 3
29; 0; 3
30; 0; 3
31; 0; 3
32; 0; 3
33; 0; 3
34; 0; 3
35; 0; 3
36; 0; 3
37; 0; 3
38; 0; 3
39; 0; 3
40; 0; 3
41; 0; 3
42; 0; 3
43; 0; 3
44; 0; 3
45; 0; 3
46; 0; 3
47; 0; 3
48; 0; 3
0; 0; 5
1; 0.448979; 5
2; 2.03061; 5
3; 5.90817; 5
4; 13.1021; 5
5; 18.0204; 5
6; 19.9082; 5
7; 17.7143; 5
8; 11.3878; 5
9; 6.56123; 5
10; 3.06122; 5
11; 1.18367; 5
12; 0.530612; 5
13; 0.122449; 5
14; 0.0102041; 5
15; 0.0102041; 5
16; 0; 5
17; 0; 5
18; 0; 5
19; 0; 5
20; 0; 5
21; 0; 5
22; 0; 5
23; 0; 5
24; 0; 5
25; 0; 5
26; 0; 5
27; 0; 5
28; 0; 5
29; 0; 5
30; 0; 5
31; 0; 5
32; 0; 5
33; 0; 5
34; 0; 5
35; 0; 5
36; 0; 5
37; 0; 5
38; 0; 5
39; 0; 5
40; 0; 5
41; 0; 5
42; 0; 5
43; 0; 5
44; 0; 5
45; 0; 5
46; 0; 5
47; 0; 5
48; 0; 5
