### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

value; productivity; quality; param
0.025; 0.000208247; 0; 1
0.075; 0.0089546; 0.000208247; 1
0.125; 0.00645564; 0.000832986; 1
0.175; 0.00374844; 0.00145773; 1
0.225; 0.0668473; 0.0193669; 1
0.275; 0.403169; 0.0641399; 1
0.325; 0.690348; 0.179925; 1
0.375; 1.54312; 2.20013; 1
0.425; 2.37818; 12.3007; 1
0.475; 8.69103; 31.8799; 1
0.525; 16.0456; 32.57; 1
0.575; 22.8734; 16.4158; 1
0.625; 23.8134; 3.85089; 1
0.675; 19.2016; 0.431279; 1
0.725; 3.85695; 0.0406081; 1
0.775; 0.417948; 0.0389421; 1
0.825; 0; 0.00499792; 1
0.875; 0; 0; 1
0.925; 0; 0.000416493; 1
0.975; 0; 0; 1
0.025; 0.146814; 0; 3
0.075; 0.674301; 0.000208247; 3
0.125; 0.746562; 0.00062474; 3
0.175; 0.42045; 0.00166597; 3
0.225; 0.995835; 0.0381091; 3
0.275; 1.18992; 0.0922532; 3
0.325; 1.44169; 0.330696; 3
0.375; 2.40025; 2.21304; 3
0.425; 5.75759; 11.8159; 3
0.475; 9.94083; 29.6044; 3
0.525; 14.1766; 34.676; 3
0.575; 23.345; 17.2582; 3
0.625; 22.6932; 3.38317; 3
0.675; 12.506; 0.511246; 3
0.725; 2.92336; 0.0622657; 3
0.775; 0.628487; 0.00916285; 3
0.825; 0.0129113; 0.00249896; 3
0.875; 0; 0.000208247; 3
0.925; 0; 0; 3
0.975; 0; 0; 3
0.025; 0.748437; 0; 5
0.075; 0.390254; 0.000416493; 5
0.125; 0.458143; 0.0118701; 5
0.175; 0.758851; 0.0137443; 5
0.225; 1.05768; 0.013536; 5
0.275; 1.42753; 0.181591; 5
0.325; 2.30488; 0.350687; 5
0.375; 5.01957; 2.67847; 5
0.425; 6.65993; 12.8723; 5
0.475; 11.0504; 30.6264; 5
0.525; 16.0412; 32.1333; 5
0.575; 20.4102; 16.9398; 5
0.625; 18.5526; 3.48854; 5
0.675; 11.9881; 0.539776; 5
0.725; 2.87109; 0.101416; 5
0.775; 0.260933; 0.0360267; 5
0.825; 0; 0.0110371; 5
0.875; 0; 0.000416493; 5
0.925; 0; 0.000208247; 5
0.975; 0; 0; 5
