### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
0; 9.965; 4.09888; 0.450853; 0.202391; 0.248463; 0.119469; 0.895104; 0.990367; 0.337014; 0.222309; 0.903738; 1
30; 11.855; 4.64306; 0.535414; 0.22779; 0.307624; 0.205635; 0.882661; 0.766295; 0.457982; 0.312851; 0.765879; 1
60; 32.625; 5.27153; 0.546997; 0.235348; 0.311649; 0.154777; 0.917349; 0.81413; 0.428461; 0.281138; 0.76733; 1
90; 39.9; 5.61439; 0.554645; 0.24109; 0.313555; 0.12814; 0.929475; 0.833375; 0.411172; 0.264261; 0.770617; 1
120; 42.595; 5.78622; 0.560012; 0.245604; 0.314408; 0.118244; 0.934238; 0.844129; 0.405466; 0.257897; 0.770948; 1
150; 43; 5.86663; 0.565288; 0.250229; 0.315059; 0.119107; 0.93444; 0.848003; 0.404617; 0.256424; 0.770231; 1
180; 42.22; 5.93643; 0.569525; 0.253918; 0.315607; 0.11268; 0.936789; 0.855038; 0.400494; 0.252732; 0.772215; 1
210; 41.54; 6.01602; 0.572951; 0.257315; 0.315636; 0.113501; 0.936418; 0.856143; 0.395979; 0.24939; 0.774932; 1
240; 40.225; 6.00806; 0.575598; 0.260163; 0.315435; 0.112859; 0.935728; 0.856762; 0.394254; 0.24756; 0.776784; 1
270; 39.565; 6.04714; 0.578994; 0.263087; 0.315907; 0.111962; 0.934435; 0.85907; 0.394459; 0.247157; 0.777197; 1
300; 38.05; 6.08622; 0.581456; 0.265582; 0.315873; 0.114746; 0.932036; 0.857152; 0.391772; 0.245556; 0.778333; 1
330; 37.07; 6.06153; 0.584292; 0.268237; 0.316055; 0.11611; 0.930703; 0.856024; 0.394348; 0.247776; 0.778159; 1
360; 36.185; 6.07255; 0.586787; 0.270357; 0.316429; 0.114973; 0.931567; 0.860121; 0.391816; 0.246355; 0.780235; 1
390; 35.565; 6.1148; 0.588714; 0.27241; 0.316305; 0.115977; 0.930494; 0.860039; 0.392189; 0.245655; 0.780557; 1
420; 34.98; 6.09378; 0.591129; 0.274456; 0.316673; 0.114438; 0.930394; 0.862688; 0.391839; 0.245371; 0.781739; 1
450; 33.8; 6.13582; 0.593042; 0.276473; 0.316569; 0.117068; 0.926428; 0.861206; 0.391435; 0.245273; 0.781028; 1
480; 32.845; 6.11459; 0.594251; 0.277937; 0.316314; 0.118886; 0.925137; 0.863055; 0.391807; 0.24549; 0.782729; 1
510; 31.775; 6.13602; 0.595662; 0.279455; 0.316207; 0.11627; 0.924715; 0.863169; 0.388769; 0.243673; 0.783775; 1
540; 31.21; 6.1549; 0.596761; 0.280572; 0.316189; 0.116256; 0.925043; 0.867246; 0.388153; 0.242951; 0.783916; 1
570; 30.955; 6.14092; 0.597772; 0.281575; 0.316198; 0.115748; 0.924762; 0.867369; 0.388513; 0.243126; 0.784725; 1
600; 30.33; 6.1347; 0.59876; 0.282671; 0.316089; 0.115898; 0.925045; 0.868678; 0.386426; 0.242181; 0.787161; 1
630; 30.04; 6.14459; 0.600375; 0.283907; 0.316468; 0.11535; 0.92403; 0.867821; 0.3898; 0.244158; 0.78583; 1
660; 29.635; 6.19796; 0.60182; 0.285238; 0.316582; 0.114117; 0.924115; 0.869609; 0.385945; 0.241084; 0.787787; 1
690; 29.095; 6.18184; 0.602145; 0.285907; 0.316238; 0.114888; 0.923847; 0.867541; 0.386622; 0.241244; 0.787939; 1
720; 28.83; 6.1801; 0.602832; 0.286594; 0.316238; 0.115481; 0.923827; 0.869443; 0.387264; 0.241706; 0.785075; 1
750; 28.5; 6.18153; 0.60444; 0.287773; 0.316667; 0.114996; 0.924282; 0.872947; 0.385242; 0.240693; 0.788305; 1
780; 28.16; 6.18663; 0.604469; 0.288226; 0.316243; 0.115133; 0.923661; 0.872998; 0.386972; 0.241349; 0.786595; 1
810; 27.715; 6.19918; 0.604747; 0.288678; 0.316069; 0.113996; 0.924111; 0.87619; 0.386225; 0.240065; 0.786704; 1
840; 27.45; 6.20214; 0.606887; 0.290174; 0.316713; 0.115421; 0.923365; 0.873251; 0.385065; 0.240263; 0.788362; 1
