### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

value; varDist; param
2.04082; 10.0988; 1
4.08163; 5.70123; 1
6.12245; 3.98815; 1
8.16327; 2.78241; 1
10.2041; 2.83299; 1
12.2449; 2.31015; 1
14.2857; 2.55659; 1
16.3265; 2.73789; 1
18.3673; 2.42469; 1
20.4082; 2.82183; 1
22.449; 2.81848; 1
24.4898; 2.86099; 1
26.5306; 2.96397; 1
28.5714; 2.71698; 1
30.6122; 2.99989; 1
32.6531; 3.36053; 1
34.6939; 3.10859; 1
36.7347; 3.09228; 1
38.7755; 3.30054; 1
40.8163; 2.81891; 1
42.8571; 3.01391; 1
44.898; 3.03295; 1
46.9388; 2.81416; 1
48.9796; 2.56619; 1
51.0204; 2.25582; 1
53.0612; 2.02901; 1
55.102; 2.43483; 1
57.1429; 1.7767; 1
59.1837; 1.60157; 1
61.2245; 1.55483; 1
63.2653; 1.42961; 1
65.3061; 1.48844; 1
67.3469; 0.970376; 1
69.3878; 0.854743; 1
71.4286; 0.54449; 1
73.4694; 0.558028; 1
75.5102; 0.691731; 1
77.551; 0.335714; 1
79.5918; 0.370984; 1
81.6327; 0.237013; 1
83.6735; 0.156495; 1
85.7143; 0.2207; 1
87.7551; 0.238095; 1
89.7959; 0.0555556; 1
91.8367; 0.0555556; 1
93.8776; 0; 1
95.9184; 0; 1
97.9592; 0.0833333; 1
100; 0.333333; 1
2.04082; 11.5724; 3
4.08163; 7.72123; 3
6.12245; 5.46772; 3
8.16327; 4.90166; 3
10.2041; 4.73702; 3
12.2449; 4.01956; 3
14.2857; 4.08701; 3
16.3265; 3.9241; 3
18.3673; 3.41433; 3
20.4082; 3.63888; 3
22.449; 3.54051; 3
24.4898; 3.38148; 3
26.5306; 3.47763; 3
28.5714; 3.1197; 3
30.6122; 3.26604; 3
32.6531; 3.37407; 3
34.6939; 3.05426; 3
36.7347; 2.3468; 3
38.7755; 2.78108; 3
40.8163; 2.47846; 3
42.8571; 2.17934; 3
44.898; 2.31404; 3
46.9388; 1.77424; 3
48.9796; 1.61842; 3
51.0204; 1.40762; 3
53.0612; 1.19332; 3
55.102; 1.08129; 3
57.1429; 1.02874; 3
59.1837; 0.735061; 3
61.2245; 0.585401; 3
63.2653; 0.359378; 3
65.3061; 0.34853; 3
67.3469; 0.22488; 3
69.3878; 0.157686; 3
71.4286; 0.133153; 3
73.4694; 0.138967; 3
75.5102; 0.0470085; 3
77.551; 0.0441729; 3
79.5918; 0.151226; 3
81.6327; 0.041958; 3
83.6735; 0.0227273; 3
85.7143; 0.0227273; 3
87.7551; 0.0227273; 3
89.7959; 0.0277778; 3
91.8367; 0; 3
93.8776; 0; 3
95.9184; 0.0357143; 3
97.9592; 0; 3
100; 0; 3
2.04082; 12.8801; 5
4.08163; 7.35862; 5
6.12245; 5.79809; 5
8.16327; 5.44048; 5
10.2041; 4.85513; 5
12.2449; 3.85037; 5
14.2857; 4.26022; 5
16.3265; 4.22084; 5
18.3673; 4.23984; 5
20.4082; 4.29612; 5
22.449; 3.82244; 5
24.4898; 3.66695; 5
26.5306; 3.53477; 5
28.5714; 3.43354; 5
30.6122; 3.23858; 5
32.6531; 2.68414; 5
34.6939; 3.32454; 5
36.7347; 2.64917; 5
38.7755; 2.3725; 5
40.8163; 2.14642; 5
42.8571; 1.86035; 5
44.898; 1.76304; 5
46.9388; 1.28897; 5
48.9796; 1.158; 5
51.0204; 1.37336; 5
53.0612; 0.672611; 5
55.102; 0.724365; 5
57.1429; 0.6759; 5
59.1837; 0.672539; 5
61.2245; 0.495764; 5
63.2653; 0.319566; 5
65.3061; 0.213764; 5
67.3469; 0.304628; 5
69.3878; 0.154759; 5
71.4286; 0.0812187; 5
73.4694; 0.0849206; 5
75.5102; 0; 5
77.551; 0.03125; 5
79.5918; 0.0521638; 5
81.6327; 0; 5
83.6735; 0; 5
85.7143; 0; 5
87.7551; 0; 5
89.7959; 0; 5
91.8367; 0; 5
93.8776; 0; 5
95.9184; 0; 5
97.9592; 0; 5
100; 0; 5
