### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

quantity; frequency; param
0.0416493; 6.9536; 1
0.0660097; 2.49681; 1
0.104618; 1.06298; 1
0.165809; 2.31835; 1
0.262789; 2.15148; 1
0.416493; 2.78882; 1
0.660097; 4.64881; 1
1.04618; 5.55206; 1
1.65809; 10.0948; 1
2.62789; 16.3359; 1
4.16493; 20.5724; 1
6.60097; 18.1016; 1
10.4618; 5.63096; 1
16.5809; 0.958084; 1
26.2789; 0; 1
41.6493; 0.333333; 1
66.0097; 0; 1
0.0416493; 6.51452; 3
0.0660097; 2.60445; 3
0.104618; 1.00567; 3
0.165809; 2.88726; 3
0.262789; 3.31695; 3
0.416493; 3.36744; 3
0.660097; 7.34815; 3
1.04618; 9.52749; 3
1.65809; 14.2751; 3
2.62789; 16.9101; 3
4.16493; 19.2623; 3
6.60097; 10.7723; 3
10.4618; 1.86155; 3
16.5809; 0.283337; 3
26.2789; 0.0357143; 3
41.6493; 0.0277778; 3
66.0097; 0; 3
0.0416493; 5.95426; 5
0.0660097; 1.77751; 5
0.104618; 1.16225; 5
0.165809; 3.04869; 5
0.262789; 4.51552; 5
0.416493; 3.63931; 5
0.660097; 7.68079; 5
1.04618; 10.0589; 5
1.65809; 14.5203; 5
2.62789; 18.76; 5
4.16493; 18.6731; 5
6.60097; 8.86815; 5
10.4618; 1.27777; 5
16.5809; 0.0634451; 5
26.2789; 0; 5
41.6493; 0; 5
66.0097; 0; 5
