### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

value; hdDist; param
0; 0; 5
1; 0.673469; 5
2; 1.77551; 5
3; 4.77551; 5
4; 10.5714; 5
5; 16.2551; 5
6; 19.2041; 5
7; 18.9796; 5
8; 13.2551; 5
9; 8.00001; 5
10; 4.10204; 5
11; 1.57143; 5
12; 0.561224; 5
13; 0.204082; 5
14; 0.0612245; 5
15; 0.0102041; 5
16; 0; 5
17; 0; 5
18; 0; 5
19; 0; 5
20; 0; 5
21; 0; 5
22; 0; 5
23; 0; 5
24; 0; 5
25; 0; 5
26; 0; 5
27; 0; 5
28; 0; 5
29; 0; 5
30; 0; 5
31; 0; 5
32; 0; 5
33; 0; 5
34; 0; 5
35; 0; 5
36; 0; 5
37; 0; 5
38; 0; 5
39; 0; 5
40; 0; 5
41; 0; 5
42; 0; 5
43; 0; 5
44; 0; 5
45; 0; 5
46; 0; 5
47; 0; 5
48; 0; 5
0; 0; 10
1; 0.112245; 10
2; 1.58163; 10
3; 3.88775; 10
4; 9.4694; 10
5; 16.5102; 10
6; 20.1837; 10
7; 19.1531; 10
8; 14.1531; 10
9; 8.31633; 10
10; 4.4898; 10
11; 1.60204; 10
12; 0.408163; 10
13; 0.102041; 10
14; 0.0204082; 10
15; 0.0102041; 10
16; 0; 10
17; 0; 10
18; 0; 10
19; 0; 10
20; 0; 10
21; 0; 10
22; 0; 10
23; 0; 10
24; 0; 10
25; 0; 10
26; 0; 10
27; 0; 10
28; 0; 10
29; 0; 10
30; 0; 10
31; 0; 10
32; 0; 10
33; 0; 10
34; 0; 10
35; 0; 10
36; 0; 10
37; 0; 10
38; 0; 10
39; 0; 10
40; 0; 10
41; 0; 10
42; 0; 10
43; 0; 10
44; 0; 10
45; 0; 10
46; 0; 10
47; 0; 10
48; 0; 10
0; 0; 25
1; 0.295918; 25
2; 1.82653; 25
3; 4.82653; 25
4; 11.1735; 25
5; 16.8469; 25
6; 19.5306; 25
7; 17.7449; 25
8; 13.2347; 25
9; 7.9898; 25
10; 4; 25
11; 1.67347; 25
12; 0.561224; 25
13; 0.234694; 25
14; 0.0510204; 25
15; 0.0102041; 25
16; 0; 25
17; 0; 25
18; 0; 25
19; 0; 25
20; 0; 25
21; 0; 25
22; 0; 25
23; 0; 25
24; 0; 25
25; 0; 25
26; 0; 25
27; 0; 25
28; 0; 25
29; 0; 25
30; 0; 25
31; 0; 25
32; 0; 25
33; 0; 25
34; 0; 25
35; 0; 25
36; 0; 25
37; 0; 25
38; 0; 25
39; 0; 25
40; 0; 25
41; 0; 25
42; 0; 25
43; 0; 25
44; 0; 25
45; 0; 25
46; 0; 25
47; 0; 25
48; 0; 25
0; 0; 50
1; 0.22449; 50
2; 1.34694; 50
3; 4.64286; 50
4; 10.6531; 50
5; 17.7551; 50
6; 20.4388; 50
7; 18.3776; 50
8; 13.4184; 50
9; 7.48981; 50
10; 3.7551; 50
11; 1.31633; 50
12; 0.397959; 50
13; 0.142857; 50
14; 0.0408163; 50
15; 0; 50
16; 0; 50
17; 0; 50
18; 0; 50
19; 0; 50
20; 0; 50
21; 0; 50
22; 0; 50
23; 0; 50
24; 0; 50
25; 0; 50
26; 0; 50
27; 0; 50
28; 0; 50
29; 0; 50
30; 0; 50
31; 0; 50
32; 0; 50
33; 0; 50
34; 0; 50
35; 0; 50
36; 0; 50
37; 0; 50
38; 0; 50
39; 0; 50
40; 0; 50
41; 0; 50
42; 0; 50
43; 0; 50
44; 0; 50
45; 0; 50
46; 0; 50
47; 0; 50
48; 0; 50
0; 0; 100
1; 0.0510204; 100
2; 1.02041; 100
3; 4.28571; 100
4; 9.68368; 100
5; 16.5306; 100
6; 19.7755; 100
7; 19.4694; 100
8; 14.3776; 100
9; 8.44899; 100
10; 4.06122; 100
11; 1.62245; 100
12; 0.469388; 100
13; 0.173469; 100
14; 0.0204082; 100
15; 0; 100
16; 0.0102041; 100
17; 0; 100
18; 0; 100
19; 0; 100
20; 0; 100
21; 0; 100
22; 0; 100
23; 0; 100
24; 0; 100
25; 0; 100
26; 0; 100
27; 0; 100
28; 0; 100
29; 0; 100
30; 0; 100
31; 0; 100
32; 0; 100
33; 0; 100
34; 0; 100
35; 0; 100
36; 0; 100
37; 0; 100
38; 0; 100
39; 0; 100
40; 0; 100
41; 0; 100
42; 0; 100
43; 0; 100
44; 0; 100
45; 0; 100
46; 0; 100
47; 0; 100
48; 0; 100
