### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

value; productivity; quality; param
0.025; 0.15556; 0; 5
0.075; 0.186171; 0.000832986; 5
0.125; 0.972734; 0.00104123; 5
0.175; 0.121824; 0.00728863; 5
0.225; 1.46129; 0.00499792; 5
0.275; 0.69783; 0.0951687; 5
0.325; 2.66392; 0.342358; 5
0.375; 1.68973; 2.25865; 5
0.425; 1.80341; 12.5843; 5
0.475; 6.19372; 29.4773; 5
0.525; 13.7398; 31.6576; 5
0.575; 19.6839; 18.662; 5
0.625; 25.9603; 4.55497; 5
0.675; 19.176; 0.259892; 5
0.725; 5.31284; 0.0524781; 5
0.775; 0.182007; 0.0122865; 5
0.825; 0; 0.0189504; 5
0.875; 0; 0.00916285; 5
0.925; 0; 0.000208247; 5
0.975; 0; 0; 5
0.025; 0.221364; 0; 10
0.075; 0.280299; 0.000416493; 10
0.125; 0.00208247; 0.00062474; 10
0.175; 0.0351937; 0.00791337; 10
0.225; 0.0120783; 0.00770512; 10
0.275; 0.0508122; 0.0474802; 10
0.325; 0.645993; 0.223865; 10
0.375; 0.965647; 2.43899; 10
0.425; 2.85405; 11.582; 10
0.475; 4.0823; 28.9802; 10
0.525; 13.6074; 33.3788; 10
0.575; 25.3401; 18.6601; 10
0.625; 28.445; 3.94273; 10
0.675; 19.4092; 0.584757; 10
0.725; 3.8851; 0.109538; 10
0.775; 0.164515; 0.0293628; 10
0.825; 0; 0.00416493; 10
0.875; 0; 0.000208247; 10
0.925; 0; 0.00062474; 10
0.975; 0; 0; 10
0.025; 0.0324865; 0.000208247; 25
0.075; 0.203872; 0.00062474; 25
0.125; 0.354643; 0.00104123; 25
0.175; 0.532914; 0.00832986; 25
0.225; 0.344646; 0.0124948; 25
0.275; 0.833606; 0.0351937; 25
0.325; 2.4996; 0.288005; 25
0.375; 3.27449; 2.46647; 25
0.425; 4.89634; 13.8475; 25
0.475; 6.08879; 29.7012; 25
0.525; 10.4755; 32.1808; 25
0.575; 23.3753; 17.4302; 25
0.625; 25.8178; 3.28759; 25
0.675; 17.1374; 0.551854; 25
0.725; 4.06165; 0.139317; 25
0.775; 0.0718452; 0.0433153; 25
0.825; 0; 0.000832986; 25
0.875; 0; 0.00187422; 25
0.925; 0; 0.00229071; 25
0.975; 0; 0.000416493; 25
0.025; 0.510633; 0.00062474; 50
0.075; 0.0254061; 0.000208247; 50
0.125; 0.394423; 0.000832986; 50
0.175; 1.02354; 0.00437318; 50
0.225; 0.571846; 0.0229071; 50
0.275; 0.515205; 0.0705956; 50
0.325; 0.606416; 0.267805; 50
0.375; 1.29488; 2.23844; 50
0.425; 4.18162; 13.3958; 50
0.475; 9.26019; 31.2824; 50
0.525; 13.69; 32.8351; 50
0.575; 21.5694; 16.4514; 50
0.625; 22.5806; 3.03311; 50
0.675; 18.6955; 0.303832; 50
0.725; 4.94965; 0.0637235; 50
0.775; 0.131612; 0.0237401; 50
0.825; 0; 0.00291545; 50
0.875; 0; 0.00145773; 50
0.925; 0; 0.000208247; 50
0.975; 0; 0; 50
0.025; 0.000416493; 0; 100
0.075; 0.000832986; 0.000208247; 100
0.125; 0.00187422; 0.00124948; 100
0.175; 0.00437318; 0.00187422; 100
0.225; 0.00999583; 0.0062474; 100
0.275; 0.033736; 0.0716369; 100
0.325; 0.418574; 0.251562; 100
0.375; 1.61515; 2.21804; 100
0.425; 3.63912; 13.3794; 100
0.475; 4.67848; 29.8722; 100
0.525; 8.91405; 32.6446; 100
0.575; 23.0527; 17.3675; 100
0.625; 28.4447; 3.87318; 100
0.675; 23.282; 0.256143; 100
0.725; 5.41027; 0.0324865; 100
0.775; 0.452517; 0.0139525; 100
0.825; 0.0420659; 0.00728863; 100
0.875; 0; 0.00208247; 100
0.925; 0; 0; 100
0.975; 0; 0; 100
