### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
0; 4.995; 3.3598; 0.44951; 0.20359; 0.24592; 0.206112; 0.795549; 0.993552; 0.414607; 0.28241; 0.899433; 5
30; 6.805; 3.93367; 0.523348; 0.219321; 0.304028; 0.253449; 0.841888; 0.74246; 0.490271; 0.346733; 0.780995; 5
60; 23.14; 4.86245; 0.53336; 0.224557; 0.308803; 0.165783; 0.904786; 0.811982; 0.441312; 0.294276; 0.775774; 5
90; 32.155; 5.35694; 0.541313; 0.230593; 0.31072; 0.13595; 0.924026; 0.83387; 0.421972; 0.273864; 0.770586; 5
120; 38.185; 5.58194; 0.549216; 0.236565; 0.312651; 0.12688; 0.929114; 0.840085; 0.412436; 0.264891; 0.771973; 5
150; 40.83; 5.71092; 0.553998; 0.241061; 0.312937; 0.12399; 0.932039; 0.845738; 0.407087; 0.25964; 0.773073; 5
180; 41.875; 5.825; 0.55939; 0.245557; 0.313833; 0.118807; 0.934428; 0.851452; 0.404915; 0.256866; 0.7726; 5
210; 41.875; 5.92592; 0.563975; 0.249629; 0.314346; 0.115635; 0.935787; 0.854183; 0.401141; 0.25322; 0.772755; 5
240; 41.62; 5.96673; 0.567277; 0.252661; 0.314617; 0.114209; 0.936356; 0.855165; 0.396558; 0.249496; 0.775257; 5
270; 41.29; 6.00735; 0.57057; 0.255761; 0.314809; 0.113303; 0.936707; 0.857252; 0.397266; 0.24992; 0.774338; 5
