### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

value; varDist; param
2.04082; 11.4424; 5
4.08163; 4.95565; 5
6.12245; 3.70742; 5
8.16327; 3.32173; 5
10.2041; 2.7472; 5
12.2449; 3.16252; 5
14.2857; 2.59383; 5
16.3265; 2.94451; 5
18.3673; 2.48107; 5
20.4082; 2.69793; 5
22.449; 2.79637; 5
24.4898; 3.19547; 5
26.5306; 3.01599; 5
28.5714; 2.87475; 5
30.6122; 3.37735; 5
32.6531; 3.21013; 5
34.6939; 3.42991; 5
36.7347; 3.13921; 5
38.7755; 3.40347; 5
40.8163; 2.96711; 5
42.8571; 2.66228; 5
44.898; 2.90457; 5
46.9388; 2.56544; 5
48.9796; 2.6727; 5
51.0204; 2.25432; 5
53.0612; 2.24221; 5
55.102; 1.28192; 5
57.1429; 2.09546; 5
59.1837; 1.89681; 5
61.2245; 1.42835; 5
63.2653; 0.982908; 5
65.3061; 1.34728; 5
67.3469; 0.833188; 5
69.3878; 0.656848; 5
71.4286; 0.424611; 5
73.4694; 0.205683; 5
75.5102; 0.321869; 5
77.551; 0.526429; 5
79.5918; 0.183062; 5
81.6327; 0.0611888; 5
83.6735; 0.18386; 5
85.7143; 0.105072; 5
87.7551; 0; 5
89.7959; 0; 5
91.8367; 0; 5
93.8776; 0; 5
95.9184; 0; 5
97.9592; 0.2; 5
100; 0.5; 5
2.04082; 11.4697; 10
4.08163; 5.37262; 10
6.12245; 3.47242; 10
8.16327; 2.96454; 10
10.2041; 2.41764; 10
12.2449; 2.601; 10
14.2857; 2.25698; 10
16.3265; 3.00526; 10
18.3673; 2.14269; 10
20.4082; 3.11288; 10
22.449; 2.498; 10
24.4898; 2.91002; 10
26.5306; 2.91079; 10
28.5714; 3.32931; 10
30.6122; 3.02893; 10
32.6531; 3.16855; 10
34.6939; 3.33932; 10
36.7347; 3.59448; 10
38.7755; 2.93079; 10
40.8163; 3.20031; 10
42.8571; 2.89029; 10
44.898; 2.4581; 10
46.9388; 2.85413; 10
48.9796; 2.47018; 10
51.0204; 2.5131; 10
53.0612; 2.13431; 10
55.102; 2.43411; 10
57.1429; 2.30833; 10
59.1837; 1.76714; 10
61.2245; 1.92919; 10
63.2653; 1.16969; 10
65.3061; 1.0718; 10
67.3469; 0.989564; 10
69.3878; 0.747257; 10
71.4286; 0.708081; 10
73.4694; 0.408503; 10
75.5102; 0.318246; 10
77.551; 0.0416667; 10
79.5918; 0.241912; 10
81.6327; 0.0892857; 10
83.6735; 0.0954545; 10
85.7143; 0.0620301; 10
87.7551; 0; 10
89.7959; 0.0357143; 10
91.8367; 0; 10
93.8776; 0; 10
95.9184; 0.0357143; 10
97.9592; 0; 10
100; 0.5; 10
2.04082; 10.3568; 25
4.08163; 5.66977; 25
6.12245; 3.62151; 25
8.16327; 2.93607; 25
10.2041; 3.03766; 25
12.2449; 2.54863; 25
14.2857; 2.82829; 25
16.3265; 2.9082; 25
18.3673; 3.12351; 25
20.4082; 2.54374; 25
22.449; 2.35531; 25
24.4898; 3.13553; 25
26.5306; 2.82048; 25
28.5714; 2.92932; 25
30.6122; 2.68299; 25
32.6531; 3.12416; 25
34.6939; 3.30396; 25
36.7347; 3.7477; 25
38.7755; 3.56024; 25
40.8163; 2.96389; 25
42.8571; 3.17133; 25
44.898; 3.11481; 25
46.9388; 2.79204; 25
48.9796; 2.76393; 25
51.0204; 1.87134; 25
53.0612; 2.49857; 25
55.102; 2.52349; 25
57.1429; 1.88659; 25
59.1837; 1.90677; 25
61.2245; 1.32328; 25
63.2653; 1.42254; 25
65.3061; 0.937308; 25
67.3469; 0.966166; 25
69.3878; 0.659084; 25
71.4286; 0.469357; 25
73.4694; 0.232664; 25
75.5102; 0.463819; 25
77.551; 0.212027; 25
79.5918; 0.198856; 25
81.6327; 0.0807029; 25
83.6735; 0.0277778; 25
85.7143; 0; 25
87.7551; 0.0333333; 25
89.7959; 0.05; 25
91.8367; 0.0357143; 25
93.8776; 0; 25
95.9184; 0; 25
97.9592; 0.0357143; 25
100; 0.125; 25
2.04082; 10.1547; 50
4.08163; 5.06716; 50
6.12245; 3.30166; 50
8.16327; 2.88943; 50
10.2041; 2.31469; 50
12.2449; 2.35681; 50
14.2857; 2.04237; 50
16.3265; 2.56482; 50
18.3673; 3.04911; 50
20.4082; 2.6548; 50
22.449; 2.82551; 50
24.4898; 3.03222; 50
26.5306; 2.72218; 50
28.5714; 2.87676; 50
30.6122; 2.82674; 50
32.6531; 3.30405; 50
34.6939; 3.37324; 50
36.7347; 3.37245; 50
38.7755; 3.35394; 50
40.8163; 3.32631; 50
42.8571; 3.23326; 50
44.898; 2.74926; 50
46.9388; 2.5407; 50
48.9796; 2.92653; 50
51.0204; 2.85227; 50
53.0612; 2.56716; 50
55.102; 2.40421; 50
57.1429; 2.17019; 50
59.1837; 1.82897; 50
61.2245; 1.51142; 50
63.2653; 1.58705; 50
65.3061; 1.23214; 50
67.3469; 1.0969; 50
69.3878; 0.834556; 50
71.4286; 0.503395; 50
73.4694; 0.605644; 50
75.5102; 0.494379; 50
77.551; 0.445375; 50
79.5918; 0.251925; 50
81.6327; 0.223736; 50
83.6735; 0.166667; 50
85.7143; 0.191667; 50
87.7551; 0.0555556; 50
89.7959; 0.0555556; 50
91.8367; 0.0625; 50
93.8776; 0; 50
95.9184; 0; 50
97.9592; 0; 50
100; 0; 50
2.04082; 10.3003; 100
4.08163; 5.12691; 100
6.12245; 3.37286; 100
8.16327; 2.57323; 100
10.2041; 2.45459; 100
12.2449; 2.43552; 100
14.2857; 2.5078; 100
16.3265; 2.96709; 100
18.3673; 2.79081; 100
20.4082; 2.65768; 100
22.449; 3.15721; 100
24.4898; 2.82707; 100
26.5306; 2.70264; 100
28.5714; 2.85806; 100
30.6122; 2.93153; 100
32.6531; 3.30448; 100
34.6939; 3.68818; 100
36.7347; 3.13547; 100
38.7755; 3.80639; 100
40.8163; 2.68792; 100
42.8571; 2.73976; 100
44.898; 2.73794; 100
46.9388; 2.76649; 100
48.9796; 2.60698; 100
51.0204; 2.85055; 100
53.0612; 2.72688; 100
55.102; 2.16416; 100
57.1429; 2.2032; 100
59.1837; 1.7758; 100
61.2245; 1.80326; 100
63.2653; 1.30334; 100
65.3061; 1.19012; 100
67.3469; 0.929965; 100
69.3878; 0.94164; 100
71.4286; 0.784461; 100
73.4694; 0.214264; 100
75.5102; 0.305276; 100
77.551; 0.317838; 100
79.5918; 0.317146; 100
81.6327; 0.323586; 100
83.6735; 0.181731; 100
85.7143; 0.178913; 100
87.7551; 0.225962; 100
89.7959; 0; 100
91.8367; 0; 100
93.8776; 0.0416667; 100
95.9184; 0; 100
97.9592; 0.0833333; 100
100; 0; 100
