### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

quantity; frequency; param
0.0416493; 8.11995; 5
0.0660097; 1.80278; 5
0.104618; 1.02337; 5
0.165809; 1.88987; 5
0.262789; 1.95091; 5
0.416493; 2.8689; 5
0.660097; 4.59128; 5
1.04618; 6.53661; 5
1.65809; 10.3883; 5
2.62789; 16.4267; 5
4.16493; 21.1775; 5
6.60097; 17.9622; 5
10.4618; 4.15483; 5
16.5809; 0.406946; 5
26.2789; 0.1; 5
41.6493; 0.1; 5
66.0097; 0.5; 5
0.0416493; 7.91624; 10
0.0660097; 2.14641; 10
0.104618; 1.0918; 10
0.165809; 2.18983; 10
0.262789; 2.04936; 10
0.416493; 2.84665; 10
0.660097; 4.18107; 10
1.04618; 5.62657; 10
1.65809; 9.91736; 10
2.62789; 15.8831; 10
4.16493; 22.9127; 10
6.60097; 18.6755; 10
10.4618; 3.79351; 10
16.5809; 0.269888; 10
26.2789; 0; 10
41.6493; 0.5; 10
66.0097; 0; 10
0.0416493; 7.081; 25
0.0660097; 2.41232; 25
0.104618; 1.08791; 25
0.165809; 2.08229; 25
0.262789; 2.19174; 25
0.416493; 2.31003; 25
0.660097; 4.49389; 25
1.04618; 6.86262; 25
1.65809; 9.76681; 25
2.62789; 16.2473; 25
4.16493; 22.4402; 25
6.60097; 18.0889; 25
10.4618; 4.27126; 25
16.5809; 0.437901; 25
26.2789; 0.10084; 25
41.6493; 0.125; 25
66.0097; 0; 25
0.0416493; 7.40512; 50
0.0660097; 2.36867; 50
0.104618; 1.14348; 50
0.165809; 2.11297; 50
0.262789; 1.96282; 50
0.416493; 2.13172; 50
0.660097; 4.09616; 50
1.04618; 4.80946; 50
1.65809; 9.31353; 50
2.62789; 15.5198; 50
4.16493; 23.1008; 50
6.60097; 19.7604; 50
10.4618; 5.47459; 50
16.5809; 0.80049; 50
26.2789; 0; 50
41.6493; 0; 50
66.0097; 0; 50
0.0416493; 7.36119; 100
0.0660097; 2.51275; 100
0.104618; 1.22648; 100
0.165809; 1.85524; 100
0.262789; 2.02066; 100
0.416493; 2.14986; 100
0.660097; 4.37363; 100
1.04618; 5.73338; 100
1.65809; 9.43303; 100
2.62789; 16.4515; 100
4.16493; 22.2371; 100
6.60097; 19.2197; 100
10.4618; 4.3785; 100
16.5809; 0.963666; 100
26.2789; 0.0833333; 100
41.6493; 0; 100
66.0097; 0; 100
