### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

value; hdDist; param
0; 0; 0
1; 2.04082; 0
2; 16.3265; 0
3; 18.3673; 0
4; 28.5714; 0
5; 20.4082; 0
6; 10.2041; 0
7; 4.08163; 0
8; 0; 0
9; 0; 0
10; 0; 0
11; 0; 0
12; 0; 0
13; 0; 0
14; 0; 0
15; 0; 0
16; 0; 0
17; 0; 0
18; 0; 0
19; 0; 0
20; 0; 0
21; 0; 0
22; 0; 0
23; 0; 0
24; 0; 0
25; 0; 0
26; 0; 0
27; 0; 0
28; 0; 0
29; 0; 0
30; 0; 0
31; 0; 0
32; 0; 0
33; 0; 0
34; 0; 0
35; 0; 0
36; 0; 0
37; 0; 0
38; 0; 0
39; 0; 0
40; 0; 0
41; 0; 0
42; 0; 0
43; 0; 0
44; 0; 0
45; 0; 0
46; 0; 0
47; 0; 0
48; 0; 0
0; 0; 1
1; 0; 1
2; 2.04082; 1
3; 2.04082; 1
4; 12.2449; 1
5; 26.5306; 1
6; 10.2041; 1
7; 14.2857; 1
8; 18.3673; 1
9; 8.16327; 1
10; 6.12245; 1
11; 0; 1
12; 0; 1
13; 0; 1
14; 0; 1
15; 0; 1
16; 0; 1
17; 0; 1
18; 0; 1
19; 0; 1
20; 0; 1
21; 0; 1
22; 0; 1
23; 0; 1
24; 0; 1
25; 0; 1
26; 0; 1
27; 0; 1
28; 0; 1
29; 0; 1
30; 0; 1
31; 0; 1
32; 0; 1
33; 0; 1
34; 0; 1
35; 0; 1
36; 0; 1
37; 0; 1
38; 0; 1
39; 0; 1
40; 0; 1
41; 0; 1
42; 0; 1
43; 0; 1
44; 0; 1
45; 0; 1
46; 0; 1
