### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

value; productivity; quality; param
0.025; 0; 0; 0
0.075; 0; 0; 0
0.125; 2.20741; 0; 0
0.175; 17.2428; 2.20741; 0
0.225; 32.6528; 0; 0
0.275; 47.8963; 0; 0
0.325; 0; 0; 0
0.375; 0; 0; 0
0.425; 0; 13.4111; 0
0.475; 0; 18.2007; 0
0.525; 0; 14.8688; 0
0.575; 0; 27.4051; 0
0.625; 0; 23.9066; 0
0.675; 0; 0; 0
0.725; 0; 0; 0
0.775; 0; 0; 0
0.825; 0; 0; 0
0.875; 0; 0; 0
0.925; 0; 0; 0
0.975; 0; 0; 0
0.025; 0; 0; 1
0.075; 0; 0; 1
0.125; 0; 0; 1
0.175; 0; 0; 1
0.225; 0; 0.0416493; 1
0.275; 0.0416493; 0; 1
0.325; 0; 0.124948; 1
0.375; 0; 0; 1
0.425; 0.0832986; 0; 1
0.475; 0.0416493; 52.0196; 1
0.525; 0; 25.4059; 1
0.575; 0; 22.4072; 1
0.625; 0; 0; 1
0.675; 99.8358; 0; 1
0.725; 0; 0; 1
0.775; 0; 0; 1
0.825; 0; 0; 1
0.875; 0; 0; 1
0.925; 0; 0; 1
0.975; 0; 0; 1
0.025; 0; 0; 2
0.075; 0; 0; 2
0.125; 0; 0; 2
0.175; 0; 0; 2
0.225; 0; 0; 2
0.275; 0; 0; 2
0.325; 0; 0.0416493; 2
0.375; 0; 5.78927; 2
0.425; 0; 20.1582; 2
0.475; 0.0416493; 34.1522; 2
0.525; 0; 23.4485; 2
0.575; 0.0416493; 9.95421; 2
0.625; 55.6017; 6.41401; 2
0.675; 44.3145; 0; 2
0.725; 0; 0; 2
0.775; 0; 0.0416493; 2
0.825; 0; 0; 2
0.875; 0; 0; 2
0.925; 0; 0; 2
0.975; 0; 0; 2
0.025; 0; 0; 3
0.075; 0; 0; 3
0.125; 0; 0; 3
0.175; 0; 0; 3
0.225; 0; 0; 3
0.275; 0; 0; 3
0.325; 0; 0; 3
0.375; 0; 0.0416493; 3
0.425; 0; 33.9439; 3
0.475; 0.0832986; 42.0238; 3
0.525; 0.0416493; 16.1599; 3
0.575; 2.58226; 5.83091; 3
0.625; 75.3446; 1.62432; 3
0.675; 21.9491; 0.374844; 3
0.725; 0; 0; 3
0.775; 0; 0; 3
0.825; 0; 0; 3
0.875; 0; 0; 3
0.925; 0; 0; 3
0.975; 0; 0; 3
0.025; 0; 0; 4
0.075; 0; 0; 4
0.125; 0; 0; 4
0.175; 0; 0.0416493; 4
0.225; 0; 0; 4
0.275; 0; 0; 4
0.325; 0.0832986; 0; 4
0.375; 0; 5.78927; 4
0.425; 5.99751; 18.3257; 4
0.475; 34.9852; 30.6537; 4
0.525; 58.9338; 32.1114; 4
0.575; 0; 5.83091; 4
0.625; 0; 7.247; 4
0.675; 0; 0; 4
0.725; 0; 0; 4
0.775; 0; 0; 4
0.825; 0; 0; 4
0.875; 0; 0; 4
0.925; 0; 0; 4
0.975; 0; 0; 4
0.025; 0; 0; 5
0.075; 0; 0; 5
0.125; 0; 0; 5
0.175; 0; 0; 5
0.225; 0; 0; 5
0.275; 0.0416493; 0; 5
0.325; 0; 0.0416493; 5
0.375; 0.166597; 0; 5
0.425; 0; 1.87422; 5
0.475; 0; 25.3226; 5
0.525; 12.4115; 37.7756; 5
0.575; 64.4319; 34.9852; 5
0.625; 22.9487; 0; 5
0.675; 0; 0; 5
0.725; 0; 0; 5
0.775; 0; 0; 5
0.825; 0; 0; 5
0.875; 0; 0; 5
0.925; 0; 0; 5
0.975; 0; 0; 5
0.025; 0; 0; 6
0.075; 0; 0; 6
0.125; 0; 0; 6
0.175; 0; 0.124948; 6
0.225; 0; 0; 6
0.275; 0; 0; 6
0.325; 0; 0.749688; 6
0.375; 0; 5.20617; 6
0.425; 0; 20.4497; 6
0.475; 0; 26.7804; 6
0.525; 0.749688; 20.1999; 6
0.575; 0.333194; 26.4888; 6
0.625; 67.1392; 0; 6
0.675; 30.8203; 0; 6
0.725; 0.957934; 0; 6
0.775; 0; 0; 6
0.825; 0; 0; 6
0.875; 0; 0; 6
0.925; 0; 0; 6
0.975; 0; 0; 6
0.025; 0; 0; 7
0.075; 0; 0; 7
0.125; 0; 0; 7
0.175; 0; 0; 7
0.225; 0; 0; 7
0.275; 0; 0; 7
0.325; 0; 0.0416493; 7
0.375; 0; 0; 7
0.425; 0.0832986; 9.53772; 7
0.475; 0.0416493; 36.7761; 7
0.525; 0.0832986; 20.658; 7
0.575; 0.874635; 15.8267; 7
0.625; 15.6601; 17.1595; 7
0.675; 83.2584; 0; 7
0.725; 0; 0; 7
0.775; 0; 0; 7
0.825; 0; 0; 7
0.875; 0; 0; 7
0.925; 0; 0; 7
0.975; 0; 0; 7
0.025; 0; 0.0416493; 8
0.075; 0; 0; 8
0.125; 0; 0; 8
0.175; 0; 0; 8
0.225; 0; 0; 8
0.275; 0; 0; 8
0.325; 0; 0.0416493; 8
0.375; 0; 0; 8
0.425; 0; 16.9513; 8
0.475; 0.0416493; 28.363; 8
0.525; 0.124948; 27.2385; 8
0.575; 0.0416493; 20.6163; 8
0.625; 0; 6.7472; 8
0.675; 5.87256; 0; 8
0.725; 93.9213; 0; 8
0.775; 0; 0; 8
0.825; 0; 0; 8
0.875; 0; 0; 8
0.925; 0; 0; 8
0.975; 0; 0; 8
0.025; 0; 0; 9
0.075; 0; 0; 9
0.125; 0; 0; 9
0.175; 0; 0; 9
