### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
0; 10; 4; 0.276571; 0.0465285; 0.230043; 0.122449; 0.892392; 0.983416; 0.344023; 0.214766; 0.868025; 0
30; 12; 3.28571; 0.354295; 0.0560815; 0.298214; 0.221991; 0.877067; 0.734288; 0.507289; 0.352472; 0.803767; 0
60; 33; 3.4898; 0.361975; 0.0606072; 0.301367; 0.170762; 0.903285; 0.810988; 0.478134; 0.327678; 0.819313; 0
90; 33; 4; 0.364174; 0.0621309; 0.302043; 0.15202; 0.909319; 0.782908; 0.471054; 0.311129; 0.76458; 0
120; 38; 3.85714; 0.361089; 0.063297; 0.297792; 0.168263; 0.913019; 0.80509; 0.470221; 0.307414; 0.756041; 0
150; 40; 3.69388; 0.361472; 0.0637799; 0.297692; 0.154935; 0.925226; 0.827792; 0.485215; 0.322272; 0.787285; 0
180; 39; 3.91837; 0.367711; 0.0686858; 0.299026; 0.12703; 0.932137; 0.840613; 0.47272; 0.306224; 0.769766; 0
210; 41; 4.16327; 0.372053; 0.0785814; 0.293472; 0.143274; 0.92179; 0.822701; 0.438984; 0.283402; 0.767893; 0
240; 36; 3.87755; 0.390725; 0.0954408; 0.295284; 0.268222; 0.86001; 0.757003; 0.521449; 0.365341; 0.780415; 0
270; 30; 3.77551; 0.39177; 0.102467; 0.289303; 0.294461; 0.841867; 0.727751; 0.475219; 0.32155; 0.814725; 0
300; 30; 3.87755; 0.387951; 0.108149; 0.279803; 0.301958; 0.828842; 0.751077; 0.452312; 0.303658; 0.824535; 0
330; 23; 4.20408; 0.394262; 0.108543; 0.28572; 0.227405; 0.868134; 0.745621; 0.438984; 0.286505; 0.796232; 0
360; 28; 4.04082; 0.395912; 0.111982; 0.28393; 0.242815; 0.869791; 0.769441; 0.447314; 0.297852; 0.814391; 0
390; 26; 4.2449; 0.399815; 0.11422; 0.285595; 0.259892; 0.858453; 0.767175; 0.486047; 0.326242; 0.743373; 0
420; 23; 4.20408; 0.406011; 0.122034; 0.283977; 0.307788; 0.822135; 0.743987; 0.464806; 0.312242; 0.756588; 0
450; 19; 4.46939; 0.396984; 0.119486; 0.277498; 0.256143; 0.855636; 0.77809; 0.403998; 0.260844; 0.837584; 0
480; 21; 4.55102; 0.39818; 0.116307; 0.281873; 0.205331; 0.886955; 0.793539; 0.427322; 0.269913; 0.801111; 0
510; 25; 4.65306; 0.396379; 0.116831; 0.279547; 0.201583; 0.879889; 0.769157; 0.402749; 0.247669; 0.799658; 0
540; 25; 4.22449; 0.400028; 0.119441; 0.280587; 0.253644; 0.85955; 0.723559; 0.433569; 0.27803; 0.801072; 0
570; 31; 3.97959; 0.39549; 0.116421; 0.279068; 0.220325; 0.876296; 0.772683; 0.431903; 0.274375; 0.82188; 0
600; 24; 4.59184; 0.402743; 0.118492; 0.284251; 0.194086; 0.874295; 0.771408; 0.409829; 0.257189; 0.812105; 0
630; 25; 4.38776; 0.400291; 0.119209; 0.281082; 0.188671; 0.869768; 0.727884; 0.438567; 0.277537; 0.780836; 0
660; 28; 4.20408; 0.399169; 0.114783; 0.284386; 0.187838; 0.888493; 0.786619; 0.416493; 0.269641; 0.807099; 0
690; 23; 4.26531; 0.40315; 0.118897; 0.284253; 0.16035; 0.886347; 0.789537; 0.412745; 0.269097; 0.831972; 0
720; 23; 4.28571; 0.395472; 0.115452; 0.280021; 0.157851; 0.885029; 0.794887; 0.455227; 0.293483; 0.772824; 0
750; 21; 4.30612; 0.405753; 0.122142; 0.283612; 0.199917; 0.872604; 0.801853; 0.429404; 0.276636; 0.821988; 0
780; 18; 4.28571; 0.400004; 0.116541; 0.283463; 0.152853; 0.890175; 0.815563; 0.432736; 0.276041; 0.805574; 0
810; 20; 4.18367; 0.40639; 0.121752; 0.284638; 0.178259; 0.866084; 0.804774; 0.421075; 0.272344; 0.820991; 0
840; 17; 4.36735; 0.402171; 0.120851; 0.28132; 0.184923; 0.86934; 0.769407; 0.403582; 0.256713; 0.814942; 0
870; 20; 3.73469; 0.404249; 0.121231; 0.283018; 0.146189; 0.881152; 0.782503; 0.460225; 0.309973; 0.820458; 0
