### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

value; varDist; param
2.04082; 14.2857; 0
4.08163; 0; 0
6.12245; 0; 0
8.16327; 7.14286; 0
10.2041; 7.14286; 0
12.2449; 0; 0
14.2857; 0; 0
16.3265; 0; 0
18.3673; 0; 0
20.4082; 0; 0
22.449; 7.14286; 0
24.4898; 14.2857; 0
26.5306; 7.14286; 0
28.5714; 0; 0
30.6122; 0; 0
32.6531; 7.14286; 0
34.6939; 0; 0
36.7347; 0; 0
38.7755; 7.14286; 0
40.8163; 0; 0
42.8571; 7.14286; 0
44.898; 7.14286; 0
46.9388; 0; 0
48.9796; 0; 0
51.0204; 0; 0
53.0612; 0; 0
55.102; 0; 0
57.1429; 7.14286; 0
59.1837; 7.14286; 0
61.2245; 0; 0
63.2653; 0; 0
65.3061; 0; 0
67.3469; 0; 0
69.3878; 0; 0
71.4286; 0; 0
73.4694; 0; 0
75.5102; 0; 0
77.551; 0; 0
79.5918; 0; 0
81.6327; 0; 0
83.6735; 0; 0
85.7143; 0; 0
87.7551; 0; 0
89.7959; 0; 0
91.8367; 0; 0
93.8776; 0; 0
95.9184; 0; 0
97.9592; 0; 0
100; 0; 0
2.04082; 23.5294; 1
4.08163; 0; 1
6.12245; 0; 1
8.16327; 0; 1
10.2041; 0; 1
12.2449; 0; 1
14.2857; 0; 1
16.3265; 5.88235; 1
18.3673; 0; 1
20.4082; 5.88235; 1
22.449; 5.88235; 1
24.4898; 0; 1
26.5306; 0; 1
28.5714; 5.88235; 1
30.6122; 0; 1
32.6531; 0; 1
34.6939; 0; 1
36.7347; 5.88235; 1
38.7755; 0; 1
40.8163; 5.88235; 1
42.8571; 0; 1
44.898; 0; 1
46.9388; 0; 1
48.9796; 0; 1
51.0204; 0; 1
53.0612; 5.88235; 1
55.102; 5.88235; 1
57.1429; 0; 1
59.1837; 11.7647; 1
61.2245; 0; 1
63.2653; 0; 1
65.3061; 0; 1
67.3469; 0; 1
69.3878; 5.88235; 1
71.4286; 0; 1
73.4694; 0; 1
75.5102; 0; 1
77.551; 5.88235; 1
79.5918; 0; 1
81.6327; 0; 1
83.6735; 0; 1
85.7143; 0; 1
87.7551; 5.88235; 1
89.7959; 0; 1
91.8367; 0; 1
93.8776; 0; 1
95.9184; 0; 1
97.9592; 0; 1
100; 0; 1
2.04082; 11.1111; 2
4.08163; 0; 2
6.12245; 5.55556; 2
8.16327; 0; 2
10.2041; 0; 2
12.2449; 0; 2
14.2857; 0; 2
16.3265; 0; 2
18.3673; 5.55556; 2
20.4082; 0; 2
22.449; 0; 2
24.4898; 0; 2
26.5306; 0; 2
28.5714; 5.55556; 2
30.6122; 5.55556; 2
32.6531; 0; 2
34.6939; 0; 2
36.7347; 16.6667; 2
38.7755; 5.55556; 2
40.8163; 5.55556; 2
42.8571; 5.55556; 2
44.898; 0; 2
46.9388; 0; 2
48.9796; 5.55556; 2
51.0204; 0; 2
53.0612; 0; 2
55.102; 5.55556; 2
57.1429; 0; 2
59.1837; 5.55556; 2
61.2245; 0; 2
63.2653; 11.1111; 2
65.3061; 5.55556; 2
67.3469; 0; 2
69.3878; 0; 2
71.4286; 0; 2
73.4694; 0; 2
75.5102; 0; 2
77.551; 0; 2
79.5918; 0; 2
81.6327; 0; 2
83.6735; 0; 2
85.7143; 0; 2
87.7551; 0; 2
89.7959; 0; 2
91.8367; 0; 2
93.8776; 0; 2
95.9184; 0; 2
