### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

quantity; frequency; param
0.0416493; 0; 0
0.0660097; 0; 0
0.104618; 0; 0
0.165809; 0; 0
0.262789; 7.14286; 0
0.416493; 0; 0
0.660097; 7.14286; 0
1.04618; 7.14286; 0
1.65809; 0; 0
2.62789; 21.4286; 0
4.16493; 21.4286; 0
6.60097; 21.4286; 0
10.4618; 14.2857; 0
16.5809; 0; 0
26.2789; 0; 0
41.6493; 0; 0
66.0097; 0; 0
0.0416493; 23.5294; 1
0.0660097; 0; 1
0.104618; 0; 1
0.165809; 0; 1
0.262789; 0; 1
0.416493; 0; 1
0.660097; 0; 1
1.04618; 5.88235; 1
1.65809; 5.88235; 1
2.62789; 11.7647; 1
4.16493; 17.6471; 1
6.60097; 17.6471; 1
10.4618; 17.6471; 1
16.5809; 0; 1
26.2789; 0; 1
41.6493; 0; 1
66.0097; 0; 1
0.0416493; 11.1111; 2
0.0660097; 0; 2
0.104618; 0; 2
0.165809; 0; 2
0.262789; 0; 2
0.416493; 0; 2
0.660097; 0; 2
1.04618; 5.55556; 2
1.65809; 5.55556; 2
2.62789; 22.2222; 2
4.16493; 27.7778; 2
6.60097; 22.2222; 2
10.4618; 5.55556; 2
16.5809; 0; 2
26.2789; 0; 2
41.6493; 0; 2
66.0097; 0; 2
0.0416493; 4.16667; 3
0.0660097; 4.16667; 3
0.104618; 0; 3
0.165809; 4.16667; 3
0.262789; 4.16667; 3
0.416493; 4.16667; 3
0.660097; 8.33333; 3
1.04618; 8.33333; 3
1.65809; 4.16667; 3
2.62789; 8.33333; 3
4.16493; 33.3333; 3
6.60097; 16.6667; 3
10.4618; 0; 3
16.5809; 0; 3
26.2789; 0; 3
41.6493; 0; 3
66.0097; 0; 3
0.0416493; 4.16667; 4
0.0660097; 4.16667; 4
0.104618; 0; 4
0.165809; 0; 4
0.262789; 4.16667; 4
0.416493; 0; 4
0.660097; 8.33333; 4
1.04618; 4.16667; 4
1.65809; 12.5; 4
2.62789; 29.1667; 4
4.16493; 12.5; 4
6.60097; 20.8333; 4
10.4618; 0; 4
16.5809; 0; 4
26.2789; 0; 4
41.6493; 0; 4
66.0097; 0; 4
0.0416493; 5.26316; 5
0.0660097; 0; 5
0.104618; 5.26316; 5
0.165809; 5.26316; 5
0.262789; 5.26316; 5
0.416493; 5.26316; 5
0.660097; 5.26316; 5
1.04618; 0; 5
1.65809; 5.26316; 5
2.62789; 10.5263; 5
4.16493; 21.0526; 5
6.60097; 21.0526; 5
10.4618; 10.5263; 5
16.5809; 0; 5
26.2789; 0; 5
41.6493; 0; 5
66.0097; 0; 5
0.0416493; 3.22581; 6
0.0660097; 0; 6
0.104618; 3.22581; 6
0.165809; 3.22581; 6
0.262789; 0; 6
0.416493; 3.22581; 6
0.660097; 3.22581; 6
1.04618; 12.9032; 6
1.65809; 19.3548; 6
2.62789; 25.8064; 6
4.16493; 22.5806; 6
6.60097; 3.22581; 6
10.4618; 0; 6
16.5809; 0; 6
26.2789; 0; 6
41.6493; 0; 6
66.0097; 0; 6
0.0416493; 16.6667; 7
0.0660097; 0; 7
0.104618; 0; 7
0.165809; 0; 7
0.262789; 3.33333; 7
0.416493; 6.66667; 7
0.660097; 0; 7
1.04618; 3.33333; 7
1.65809; 13.3333; 7
2.62789; 20; 7
4.16493; 30; 7
6.60097; 6.66667; 7
10.4618; 0; 7
16.5809; 0; 7
26.2789; 0; 7
41.6493; 0; 7
66.0097; 0; 7
0.0416493; 6.45161; 8
0.0660097; 3.22581; 8
0.104618; 0; 8
0.165809; 0; 8
0.262789; 0; 8
0.416493; 3.22581; 8
0.660097; 6.45161; 8
1.04618; 12.9032; 8
1.65809; 16.129; 8
2.62789; 29.0323; 8
4.16493; 19.3548; 8
6.60097; 3.22581; 8
10.4618; 0; 8
16.5809; 0; 8
26.2789; 0; 8
41.6493; 0; 8
66.0097; 0; 8
0.0416493; 14.2857; 9
0.0660097; 0; 9
0.104618; 0; 9
0.165809; 0; 9
0.262789; 0; 9
0.416493; 0; 9
0.660097; 0; 9
1.04618; 0; 9
1.65809; 7.14286; 9
2.62789; 14.2857; 9
4.16493; 0; 9
6.60097; 50; 9
10.4618; 14.2857; 9
16.5809; 0; 9
26.2789; 0; 9
41.6493; 0; 9
66.0097; 0; 9
0.0416493; 16; 10
0.0660097; 12; 10
0.104618; 0; 10
0.165809; 0; 10
0.262789; 4; 10
0.416493; 0; 10
0.660097; 4; 10
1.04618; 0; 10
1.65809; 4; 10
2.62789; 12; 10
4.16493; 32; 10
6.60097; 16; 10
10.4618; 0; 10
16.5809; 0; 10
26.2789; 0; 10
41.6493; 0; 10
66.0097; 0; 10
0.0416493; 0; 11
0.0660097; 11.1111; 11
0.104618; 3.7037; 11
0.165809; 0; 11
0.262789; 0; 11
0.416493; 3.7037; 11
0.660097; 7.40741; 11
1.04618; 14.8148; 11
1.65809; 25.9259; 11
2.62789; 7.40741; 11
4.16493; 3.7037; 11
6.60097; 18.5185; 11
10.4618; 3.7037; 11
16.5809; 0; 11
26.2789; 0; 11
41.6493; 0; 11
66.0097; 0; 11
0.0416493; 7.69231; 12
0.0660097; 7.69231; 12
0.104618; 3.84615; 12
0.165809; 0; 12
0.262789; 0; 12
0.416493; 0; 12
0.660097; 0; 12
1.04618; 7.69231; 12
1.65809; 19.2308; 12
2.62789; 15.3846; 12
4.16493; 23.0769; 12
6.60097; 15.3846; 12
10.4618; 0; 12
16.5809; 0; 12
26.2789; 0; 12
41.6493; 0; 12
66.0097; 0; 12
0.0416493; 5; 13
0.0660097; 0; 13
0.104618; 0; 13
0.165809; 5; 13
0.262789; 0; 13
0.416493; 10; 13
0.660097; 5; 13
1.04618; 0; 13
1.65809; 10; 13
2.62789; 10; 13
4.16493; 30; 13
6.60097; 20; 13
10.4618; 5; 13
16.5809; 0; 13
26.2789; 0; 13
41.6493; 0; 13
66.0097; 0; 13
0.0416493; 16; 14
0.0660097; 0; 14
0.104618; 0; 14
0.165809; 0; 14
0.262789; 4; 14
0.416493; 4; 14
0.660097; 8; 14
1.04618; 8; 14
1.65809; 4; 14
2.62789; 16; 14
4.16493; 24; 14
6.60097; 12; 14
10.4618; 4; 14
16.5809; 0; 14
26.2789; 0; 14
41.6493; 0; 14
66.0097; 0; 14
0.0416493; 5.26316; 15
0.0660097; 0; 15
0.104618; 0; 15
0.165809; 10.5263; 15
0.262789; 0; 15
0.416493; 0; 15
0.660097; 5.26316; 15
1.04618; 10.5263; 15
1.65809; 5.26316; 15
2.62789; 15.7895; 15
4.16493; 15.7895; 15
6.60097; 31.5789; 15
10.4618; 0; 15
16.5809; 0; 15
26.2789; 0; 15
41.6493; 0; 15
66.0097; 0; 15
0.0416493; 6.89655; 16
0.0660097; 3.44828; 16
0.104618; 3.44828; 16
0.165809; 3.44828; 16
