### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

value; hdDist
0; 0
1; 0.0612245
2; 1.02041
3; 4.4898
4; 9.93878
5; 16
6; 19.7143
7; 19.2041
8; 14.4898
9; 8.79593
10; 4.0102
11; 1.56122
12; 0.489796
13; 0.183673
14; 0.0204082
15; 0.0204082
16; 0
17; 0
18; 0
19; 0
20; 0
21; 0
22; 0
23; 0
24; 0
25; 0
26; 0
27; 0
28; 0
29; 0
30; 0
31; 0
32; 0
33; 0
34; 0
35; 0
36; 0
37; 0
38; 0
39; 0
40; 0
41; 0
42; 0
43; 0
44; 0
45; 0
46; 0
47; 0
48; 0
