### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

value; productivity; quality
0.025; 0.00104123; 0.000208247
0.075; 0.0955849; 0
0.125; 0.185338; 0.000416493
0.175; 0.268428; 0.00229071
0.225; 0.629537; 0.00374844
0.275; 0.566849; 0.0639317
0.325; 1.28135; 0.220742
0.375; 1.12079; 2.31966
0.425; 2.53478; 12.0141
0.475; 6.14039; 30.4784
0.525; 11.4397; 33.818
0.575; 24.9266; 17.2575
0.625; 29.6599; 3.35131
0.675; 17.5466; 0.347564
0.725; 3.40485; 0.0787173
0.775; 0.199291; 0.0293628
0.825; 0; 0.0120783
0.875; 0; 0.00062474
0.925; 0; 0.00062474
0.975; 0; 0.000208247
