### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD
0; 9.97; 4.08714; 0.452514; 0.205486; 0.247027; 0.116774; 0.895544; 0.991068; 0.340127; 0.224935; 0.903829
30; 11.845; 4.67378; 0.537917; 0.229623; 0.308294; 0.205927; 0.884463; 0.767323; 0.45581; 0.310453; 0.765795
60; 33.295; 5.32602; 0.548234; 0.236233; 0.312002; 0.154929; 0.919184; 0.814379; 0.427636; 0.279183; 0.764688
90; 40.595; 5.6401; 0.555407; 0.241544; 0.313864; 0.127632; 0.933112; 0.83937; 0.411785; 0.264109; 0.769787
120; 42.605; 5.80857; 0.561863; 0.246505; 0.315359; 0.117114; 0.937006; 0.84888; 0.404998; 0.257487; 0.770557
150; 43.255; 5.92653; 0.566335; 0.250927; 0.315408; 0.115489; 0.938393; 0.852109; 0.398626; 0.251734; 0.772059
180; 43.035; 5.98653; 0.570904; 0.254963; 0.315941; 0.111243; 0.939351; 0.85779; 0.397972; 0.250586; 0.771538
210; 41.695; 6.02071; 0.573739; 0.258103; 0.315636; 0.108969; 0.938759; 0.859152; 0.394548; 0.246935; 0.772868
240; 40.415; 6.07929; 0.577409; 0.261417; 0.315993; 0.107953; 0.938648; 0.861235; 0.392624; 0.245818; 0.775416
270; 39.305; 6.11439; 0.580215; 0.264231; 0.315983; 0.113309; 0.936293; 0.859833; 0.391177; 0.244553; 0.776702
300; 38.37; 6.09561; 0.582862; 0.266811; 0.316051; 0.113013; 0.935693; 0.861155; 0.389904; 0.243756; 0.77812
