### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

value; varDist
2.04082; 10.538
4.08163; 5.17909
6.12245; 3.64831
8.16327; 2.90671
10.2041; 2.70475
12.2449; 2.44966
14.2857; 2.69822
16.3265; 2.8991
18.3673; 2.72703
20.4082; 2.77983
22.449; 2.91007
24.4898; 3.16073
26.5306; 2.95734
28.5714; 3.0207
30.6122; 3.10227
32.6531; 3.5173
34.6939; 3.47604
36.7347; 3.06706
38.7755; 2.98367
40.8163; 3.59108
42.8571; 3.34803
44.898; 2.96807
46.9388; 2.93208
48.9796; 2.426
51.0204; 2.41421
53.0612; 2.25107
55.102; 2.13385
57.1429; 1.64397
59.1837; 1.52413
61.2245; 1.52763
63.2653; 1.2093
65.3061; 1.29623
67.3469; 1.04791
69.3878; 0.386704
71.4286; 0.433438
73.4694; 0.265037
75.5102; 0.287484
77.551; 0.26885
79.5918; 0.335417
81.6327; 0.357906
83.6735; 0.191239
85.7143; 0.122024
87.7551; 0.0416667
89.7959; 0
91.8367; 0.0625
93.8776; 0.125
95.9184; 0
97.9592; 0
100; 0.0833333
