### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

quantity; frequency
0.0416493; 7.48361
0.0660097; 2.20612
0.104618; 1.06394
0.165809; 1.9383
0.262789; 1.95529
0.416493; 2.65812
0.660097; 5.15409
1.04618; 5.52432
1.65809; 10.0656
2.62789; 16.5296
4.16493; 22.8498
6.60097; 17.8622
10.4618; 3.66924
16.5809; 0.956387
26.2789; 0.0833333
41.6493; 0
66.0097; 0
