### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

value; hdDist; param
0; 0; 0
1; 0.693877; 0
2; 1.87755; 0
3; 3.61224; 0
4; 6.93878; 0
5; 10.9388; 0
6; 14.5102; 0
7; 16.3163; 0
8; 15.6123; 0
9; 12.2449; 0
10; 7.88776; 0
11; 5.15307; 0
12; 2.14286; 0
13; 1.21429; 0
14; 0.530612; 0
15; 0.234694; 0
16; 0.0714286; 0
17; 0.0204082; 0
18; 0; 0
19; 0; 0
20; 0; 0
21; 0; 0
22; 0; 0
23; 0; 0
24; 0; 0
25; 0; 0
26; 0; 0
27; 0; 0
28; 0; 0
29; 0; 0
30; 0; 0
31; 0; 0
32; 0; 0
33; 0; 0
34; 0; 0
35; 0; 0
36; 0; 0
37; 0; 0
38; 0; 0
39; 0; 0
40; 0; 0
41; 0; 0
42; 0; 0
43; 0; 0
44; 0; 0
45; 0; 0
46; 0; 0
47; 0; 0
48; 0; 0
0; 0; 0.3
1; 0.357143; 0.3
2; 1.81633; 0.3
3; 4.14286; 0.3
4; 8.37756; 0.3
5; 14.1837; 0.3
6; 16.2449; 0.3
7; 17.1429; 0.3
8; 15.5204; 0.3
9; 10.0612; 0.3
10; 6.43878; 0.3
11; 3.38775; 0.3
12; 1.42857; 0.3
13; 0.561224; 0.3
14; 0.234694; 0.3
15; 0.0918367; 0.3
16; 0; 0.3
17; 0.0102041; 0.3
18; 0; 0.3
19; 0; 0.3
20; 0; 0.3
21; 0; 0.3
22; 0; 0.3
23; 0; 0.3
24; 0; 0.3
25; 0; 0.3
26; 0; 0.3
27; 0; 0.3
28; 0; 0.3
29; 0; 0.3
30; 0; 0.3
31; 0; 0.3
32; 0; 0.3
33; 0; 0.3
34; 0; 0.3
35; 0; 0.3
36; 0; 0.3
37; 0; 0.3
38; 0; 0.3
39; 0; 0.3
40; 0; 0.3
41; 0; 0.3
42; 0; 0.3
43; 0; 0.3
44; 0; 0.3
45; 0; 0.3
46; 0; 0.3
47; 0; 0.3
48; 0; 0.3
0; 0; 0.6
1; 0.102041; 0.6
2; 1.16326; 0.6
3; 4.37755; 0.6
4; 9.62246; 0.6
5; 17.3571; 0.6
6; 19.6939; 0.6
7; 19.8878; 0.6
8; 13.8163; 0.6
9; 8.25511; 0.6
10; 3.70408; 0.6
11; 1.37755; 0.6
12; 0.448979; 0.6
13; 0.163265; 0.6
14; 0.0306122; 0.6
15; 0; 0.6
16; 0; 0.6
17; 0; 0.6
18; 0; 0.6
19; 0; 0.6
20; 0; 0.6
21; 0; 0.6
22; 0; 0.6
23; 0; 0.6
24; 0; 0.6
25; 0; 0.6
26; 0; 0.6
27; 0; 0.6
28; 0; 0.6
29; 0; 0.6
30; 0; 0.6
31; 0; 0.6
32; 0; 0.6
33; 0; 0.6
34; 0; 0.6
35; 0; 0.6
36; 0; 0.6
37; 0; 0.6
38; 0; 0.6
39; 0; 0.6
40; 0; 0.6
41; 0; 0.6
42; 0; 0.6
43; 0; 0.6
44; 0; 0.6
45; 0; 0.6
46; 0; 0.6
47; 0; 0.6
48; 0; 0.6
0; 0; 0.8
1; 0.612245; 0.8
2; 1.77551; 0.8
3; 5.68368; 0.8
4; 11.3163; 0.8
5; 17.1837; 0.8
6; 20.6225; 0.8
7; 19.0919; 0.8
8; 12.4592; 0.8
9; 6.65306; 0.8
10; 3.06122; 0.8
11; 1.20408; 0.8
12; 0.244898; 0.8
13; 0.0714286; 0.8
14; 0.0102041; 0.8
15; 0; 0.8
16; 0.0102041; 0.8
17; 0; 0.8
18; 0; 0.8
19; 0; 0.8
20; 0; 0.8
21; 0; 0.8
22; 0; 0.8
23; 0; 0.8
24; 0; 0.8
25; 0; 0.8
26; 0; 0.8
27; 0; 0.8
28; 0; 0.8
29; 0; 0.8
30; 0; 0.8
31; 0; 0.8
32; 0; 0.8
33; 0; 0.8
34; 0; 0.8
35; 0; 0.8
36; 0; 0.8
37; 0; 0.8
38; 0; 0.8
39; 0; 0.8
40; 0; 0.8
41; 0; 0.8
42; 0; 0.8
43; 0; 0.8
44; 0; 0.8
45; 0; 0.8
46; 0; 0.8
47; 0; 0.8
48; 0; 0.8
0; 0; 1
1; 0.979592; 1
2; 3; 1
3; 7.35715; 1
4; 14.449; 1
5; 19.5; 1
6; 18.8061; 1
7; 15.398; 1
8; 10.551; 1
9; 5.95919; 1
10; 2.82653; 1
11; 0.857143; 1
12; 0.214286; 1
13; 0.102041; 1
14; 0; 1
15; 0; 1
16; 0; 1
17; 0; 1
18; 0; 1
19; 0; 1
20; 0; 1
21; 0; 1
22; 0; 1
23; 0; 1
24; 0; 1
25; 0; 1
26; 0; 1
27; 0; 1
28; 0; 1
29; 0; 1
30; 0; 1
31; 0; 1
32; 0; 1
33; 0; 1
34; 0; 1
35; 0; 1
36; 0; 1
37; 0; 1
38; 0; 1
39; 0; 1
40; 0; 1
41; 0; 1
42; 0; 1
43; 0; 1
44; 0; 1
45; 0; 1
46; 0; 1
47; 0; 1
48; 0; 1
