### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

value; productivity; quality; param
0.025; 2.33574; 0; 0
0.075; 1.03229; 0; 0
0.125; 2.24846; 0.00187422; 0
0.175; 2.35652; 0.00395668; 0
0.225; 3.71138; 0.0678884; 0
0.275; 4.60974; 0.325282; 0
0.325; 5.45916; 1.21408; 0
0.375; 9.08577; 5.07622; 0
0.425; 12.3233; 18.1095; 0
0.475; 15.946; 24.4297; 0
0.525; 19.5505; 22.9861; 0
0.575; 14.6976; 18.9489; 0
0.625; 5.81861; 6.90401; 0
0.675; 0.772801; 1.36693; 0
0.725; 0.0518534; 0.329238; 0
0.775; 0; 0.191587; 0
0.825; 0; 0.0431071; 0
0.875; 0; 0.000832986; 0
0.925; 0; 0; 0
0.975; 0; 0.000416493; 0
0.025; 2.04626; 0.000208247; 0.3
0.075; 1.00707; 0.00062474; 0.3
0.125; 1.01228; 0; 0.3
0.175; 1.0254; 0.0239484; 0.3
0.225; 0.717823; 0.0730945; 0.3
0.275; 0.871927; 0.306539; 0.3
0.325; 2.19201; 1.06956; 0.3
0.375; 3.39734; 4.92816; 0.3
0.425; 5.17784; 16.8488; 0.3
0.475; 8.13266; 26.0559; 0.3
0.525; 17.1835; 24.6912; 0.3
0.575; 25.9726; 19.0576; 0.3
0.625; 23.9293; 5.37755; 0.3
0.675; 7.06519; 1.1237; 0.3
0.725; 0.269055; 0.307789; 0.3
0.775; 0; 0.110162; 0.3
0.825; 0; 0.0220741; 0.3
0.875; 0; 0.00208247; 0.3
0.925; 0; 0.00062474; 0.3
0.975; 0; 0; 0.3
0.025; 0.0256144; 0.00104123; 0.6
0.075; 0.228861; 0.000208247; 0.6
0.125; 0.24677; 0.00229071; 0.6
0.175; 0.0264473; 0.0166597; 0.6
0.225; 0.386927; 0.0185339; 0.6
0.275; 0.172428; 0.031237; 0.6
0.325; 0.472729; 0.353811; 0.6
0.375; 1.96504; 2.41608; 0.6
0.425; 3.2245; 12.3494; 0.6
0.475; 5.81116; 31.6277; 0.6
0.525; 14.694; 32.9559; 0.6
0.575; 20.7484; 16.5926; 0.6
0.625; 27.7954; 3.13536; 0.6
0.675; 18.3276; 0.416494; 0.6
0.725; 5.45027; 0.0666389; 0.6
0.775; 0.424822; 0.0108288; 0.6
0.825; 0; 0.00270721; 0.6
0.875; 0; 0.00208247; 0.6
0.925; 0; 0; 0.6
0.975; 0; 0; 0.6
0.025; 0.50147; 0.000416493; 0.8
0.075; 0.000832986; 0.000416493; 0.8
0.125; 0.348186; 0.00104123; 0.8
0.175; 0.502286; 0.00124948; 0.8
0.225; 0.356724; 0.0106206; 0.8
0.275; 0.809675; 0.029571; 0.8
0.325; 0.521253; 0.293836; 0.8
0.375; 1.18265; 3.45772; 0.8
0.425; 2.33113; 13.6224; 0.8
0.475; 5.87266; 30.5434; 0.8
0.525; 4.39012; 31.9638; 0.8
0.575; 15.1252; 14.5489; 0.8
0.625; 30.5761; 3.71761; 0.8
0.675; 28.7391; 1.63434; 0.8
0.725; 8.06632; 0.118492; 0.8
0.775; 0.677839; 0.0533112; 0.8
0.825; 0; 0.00145773; 0.8
0.875; 0; 0.000208247; 0.8
0.925; 0; 0.000416493; 0.8
0.975; 0; 0.000416493; 0.8
0.025; 0.50022; 0; 1
0.075; 0.000832986; 0.000208247; 1
0.125; 0.00291545; 0.051437; 1
0.175; 0.00124948; 0.460431; 1
0.225; 0.00749688; 1.91712; 1
0.275; 0.422538; 4.17867; 1
0.325; 1.07978; 6.12286; 1
0.375; 0.0366514; 8.00956; 1
0.425; 2.12041; 11.789; 1
0.475; 6.39787; 15.0249; 1
0.525; 8.9889; 16.3675; 1
0.575; 16.424; 15.2925; 1
0.625; 24.7739; 10.7372; 1
0.675; 25.5919; 4.87691; 1
0.725; 11.1249; 3.09433; 1
0.775; 2.05583; 1.58454; 1
0.825; 0.472304; 0.346315; 1
0.875; 0; 0.145981; 1
0.925; 0; 0.000208247; 1
0.975; 0; 0; 1
