### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

time; nVar; meanHD; totalPunctuation; productivityPunctuation; qualityPunctuation; bergerCommunity; simpsonCommunity; shannonCommunity; bergerHD; simpsonHD; shannonHD; param
0; 9.95; 4.07888; 0.619439; 0; 0.619439; 0.118678; 0.895077; 0.990652; 0.340462; 0.225074; 0.902797; 0
30; 11.915; 5.34857; 0.789211; 0; 0.789211; 0.130419; 0.922589; 0.822274; 0.441162; 0.291114; 0.737842; 0
60; 34.62; 6.34337; 0.794868; 0; 0.794868; 0.085808; 0.952988; 0.874853; 0.405514; 0.253679; 0.740044; 0
90; 46.825; 6.76163; 0.799871; 0; 0.799871; 0.0683944; 0.96386; 0.897295; 0.395491; 0.242725; 0.739772; 0
120; 54.7; 6.96878; 0.80006; 0; 0.80006; 0.0606393; 0.968229; 0.907639; 0.389236; 0.235991; 0.740057; 0
150; 59.04; 7.05643; 0.800166; 0; 0.800166; 0.0560308; 0.970564; 0.913556; 0.386391; 0.232863; 0.740061; 0
180; 61.875; 7.11959; 0.800846; 0; 0.800846; 0.053536; 0.97157; 0.915555; 0.386858; 0.232797; 0.741079; 0
210; 63.11; 7.1598; 0.801679; 0; 0.801679; 0.0531987; 0.972392; 0.917114; 0.385787; 0.232304; 0.740028; 0
240; 64.38; 7.1452; 0.803061; 0; 0.803061; 0.05288; 0.972757; 0.918527; 0.387445; 0.233246; 0.740743; 0
270; 64.845; 7.17153; 0.801933; 0; 0.801933; 0.0512765; 0.973141; 0.921044; 0.386926; 0.232606; 0.73919; 0
300; 64.425; 7.15928; 0.802279; 0; 0.802279; 0.0509288; 0.972979; 0.920253; 0.386649; 0.232682; 0.741625; 0
330; 64.345; 7.17031; 0.803292; 0; 0.803292; 0.0523303; 0.972905; 0.920964; 0.386591; 0.232519; 0.740722; 0
