### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

value; varDist; param
2.04082; 14.505; 0
4.08163; 11.4797; 0
6.12245; 10.2245; 0
8.16327; 9.06574; 0
10.2041; 7.63677; 0
12.2449; 6.93114; 0
14.2857; 6.12604; 0
16.3265; 5.33752; 0
18.3673; 5.18655; 0
20.4082; 4.20512; 0
22.449; 3.42414; 0
24.4898; 3.03381; 0
26.5306; 2.63096; 0
28.5714; 2.09994; 0
30.6122; 1.8295; 0
32.6531; 1.61675; 0
34.6939; 1.11289; 0
36.7347; 0.996619; 0
38.7755; 0.807005; 0
40.8163; 0.65705; 0
42.8571; 0.38001; 0
44.898; 0.250849; 0
46.9388; 0.134922; 0
48.9796; 0.111406; 0
51.0204; 0.0948308; 0
53.0612; 0.0518508; 0
55.102; 0.0104167; 0
57.1429; 0.0277963; 0
59.1837; 0.00943396; 0
61.2245; 0; 0
63.2653; 0.0111111; 0
65.3061; 0; 0
67.3469; 0.0106383; 0
69.3878; 0; 0
71.4286; 0; 0
73.4694; 0; 0
75.5102; 0; 0
77.551; 0; 0
79.5918; 0; 0
81.6327; 0; 0
83.6735; 0; 0
85.7143; 0; 0
87.7551; 0; 0
89.7959; 0; 0
91.8367; 0; 0
93.8776; 0; 0
95.9184; 0; 0
97.9592; 0; 0
100; 0; 0
2.04082; 12.8498; 0.3
4.08163; 9.67525; 0.3
6.12245; 7.23843; 0.3
8.16327; 5.84519; 0.3
10.2041; 5.25773; 0.3
12.2449; 4.96411; 0.3
14.2857; 4.58986; 0.3
16.3265; 4.38886; 0.3
18.3673; 3.97378; 0.3
20.4082; 4.11201; 0.3
22.449; 3.77194; 0.3
24.4898; 3.71428; 0.3
26.5306; 3.2668; 0.3
28.5714; 3.03843; 0.3
30.6122; 3.08772; 0.3
32.6531; 3.01619; 0.3
34.6939; 2.68523; 0.3
36.7347; 2.77522; 0.3
38.7755; 2.22345; 0.3
40.8163; 1.97136; 0.3
42.8571; 1.4376; 0.3
44.898; 1.24976; 0.3
46.9388; 1.05705; 0.3
48.9796; 0.867607; 0.3
51.0204; 0.914737; 0.3
