### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 200 ###

quantity; frequency; param
0.0416493; 4.14636; 0
0.0660097; 1.85544; 0
0.104618; 1.43057; 0
0.165809; 5.59841; 0
0.262789; 7.26336; 0
0.416493; 8.51132; 0
0.660097; 15.0205; 0
1.04618; 17.0033; 0
1.65809; 19.9529; 0
2.62789; 14.1992; 0
4.16493; 4.70781; 0
6.60097; 0.3109; 0
10.4618; 0; 0
16.5809; 0; 0
26.2789; 0; 0
41.6493; 0; 0
66.0097; 0; 0
0.0416493; 4.7765; 0.3
0.0660097; 1.91832; 0.3
0.104618; 1.09563; 0.3
0.165809; 3.90907; 0.3
0.262789; 5.1953; 0.3
0.416493; 5.65253; 0.3
0.660097; 10.7728; 0.3
1.04618; 12.0466; 0.3
1.65809; 16.7825; 0.3
2.62789; 18.157; 0.3
4.16493; 15.5694; 0.3
6.60097; 3.96703; 0.3
10.4618; 0.142669; 0.3
16.5809; 0.0147059; 0.3
26.2789; 0; 0.3
41.6493; 0; 0.3
66.0097; 0; 0.3
0.0416493; 7.73063; 0.6
0.0660097; 2.15072; 0.6
0.104618; 0.982598; 0.6
0.165809; 2.41539; 0.6
0.262789; 1.87431; 0.6
0.416493; 2.50812; 0.6
0.660097; 4.3336; 0.6
1.04618; 6.14507; 0.6
1.65809; 10.8575; 0.6
2.62789; 15.7036; 0.6
4.16493; 21.895; 0.6
6.60097; 17.1655; 0.6
10.4618; 5.34921; 0.6
16.5809; 0.766005; 0.6
26.2789; 0.122727; 0.6
41.6493; 0; 0.6
66.0097; 0; 0.6
0.0416493; 10.6076; 0.8
0.0660097; 2.73233; 0.8
0.104618; 1.49565; 0.8
0.165809; 1.08377; 0.8
0.262789; 0.957206; 0.8
0.416493; 1.42; 0.8
0.660097; 2.29577; 0.8
1.04618; 3.80493; 0.8
1.65809; 5.44207; 0.8
2.62789; 10.7827; 0.8
4.16493; 17.6294; 0.8
6.60097; 23.4569; 0.8
10.4618; 13.8711; 0.8
16.5809; 2.98157; 0.8
26.2789; 0.716667; 0.8
41.6493; 0.222222; 0.8
66.0097; 0.5; 0.8
0.0416493; 11.3693; 1
0.0660097; 3.1802; 1
0.104618; 1.09098; 1
0.165809; 1.22657; 1
0.262789; 0.790905; 1
0.416493; 1.06242; 1
0.660097; 1.50247; 1
1.04618; 2.01471; 1
1.65809; 4.40626; 1
2.62789; 7.07213; 1
4.16493; 15.7917; 1
6.60097; 23.9005; 1
10.4618; 17.6058; 1
16.5809; 6.39298; 1
26.2789; 1.42641; 1
41.6493; 0.416667; 1
66.0097; 0.75; 1
