### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; varDist; param
1; 0.725469; 1
2; 0.238653; 1
3; 0.0200817; 1
4; 0.00897959; 1
5; 0.00359184; 1
6; 0.00163265; 1
7; 0.000530612; 1
8; 0.000530612; 1
9; 0.000244898; 1
10; 8.16327e-05; 1
11; 4.08163e-05; 1
12; 8.16327e-05; 1
13; 4.08163e-05; 1
14; 0; 1
15; 0; 1
16; 0; 1
17; 0; 1
18; 4.08163e-05; 1
19; 0; 1
20; 0; 1
21; 0; 1
22; 0; 1
23; 0; 1
24; 0; 1
25; 0; 1
26; 0; 1
27; 0; 1
28; 0; 1
29; 0; 1
30; 0; 1
31; 0; 1
32; 0; 1
33; 0; 1
34; 0; 1
35; 0; 1
36; 0; 1
37; 0; 1
38; 0; 1
39; 0; 1
40; 0; 1
41; 0; 1
42; 0; 1
43; 0; 1
44; 0; 1
45; 0; 1
46; 0; 1
47; 0; 1
48; 0; 1
49; 0; 1
1; 0.656; 7
2; 0.288408; 7
3; 0.0238776; 7
4; 0.0111429; 7
5; 0.00693877; 7
6; 0.004; 7
7; 0.00228571; 7
8; 0.00130612; 7
9; 0.0015102; 7
10; 0.000612245; 7
11; 0.000571429; 7
12; 0.000571429; 7
13; 0.000612245; 7
14; 0.000285714; 7
15; 0.000285714; 7
16; 0.000244898; 7
17; 0.00044898; 7
18; 0.000204082; 7
19; 0.000122449; 7
20; 0.000285714; 7
21; 0; 7
22; 0.000122449; 7
23; 0; 7
24; 0; 7
25; 8.16327e-05; 7
26; 0; 7
27; 4.08163e-05; 7
28; 0; 7
29; 4.08163e-05; 7
30; 0; 7
31; 0; 7
32; 0; 7
33; 0; 7
34; 0; 7
35; 0; 7
36; 0; 7
37; 0; 7
38; 0; 7
39; 0; 7
40; 0; 7
41; 0; 7
42; 0; 7
43; 0; 7
44; 0; 7
45; 0; 7
46; 0; 7
47; 0; 7
48; 0; 7
49; 0; 7
1; 0.135918; 49
2; 0.128776; 49
3; 0.100612; 49
4; 0.0856736; 49
5; 0.0745716; 49
6; 0.0690206; 49
7; 0.0625716; 49
8; 0.056041; 49
9; 0.0485716; 49
10; 0.0387756; 49
11; 0.0365307; 49
12; 0.0320817; 49
13; 0.0284082; 49
14; 0.0222858; 49
15; 0.0186939; 49
16; 0.0147347; 49
17; 0.0139184; 49
18; 0.0104082; 49
19; 0.00636734; 49
20; 0.00534694; 49
21; 0.00383673; 49
22; 0.00310204; 49
23; 0.0017551; 49
24; 0.000816326; 49
25; 0.000489796; 49
26; 0.00044898; 49
27; 0.000122449; 49
28; 4.08163e-05; 49
29; 8.16327e-05; 49
30; 0; 49
31; 0; 49
32; 0; 49
33; 0; 49
34; 0; 49
35; 0; 49
36; 0; 49
37; 0; 49
38; 0; 49
39; 0; 49
40; 0; 49
41; 0; 49
42; 0; 49
43; 0; 49
44; 0; 49
45; 0; 49
46; 0; 49
47; 0; 49
48; 0; 49
49; 0; 49
1; 0.0632655; 2401
2; 0.0813063; 2401
3; 0.104857; 2401
4; 0.109429; 2401
5; 0.104123; 2401
6; 0.0955921; 2401
7; 0.0857553; 2401
8; 0.0749798; 2401
9; 0.0632247; 2401
10; 0.0498369; 2401
11; 0.0417552; 2401
12; 0.0326532; 2401
13; 0.0260001; 2401
14; 0.0196327; 2401
15; 0.0152653; 2401
16; 0.0115102; 2401
17; 0.00718367; 2401
18; 0.00493877; 2401
19; 0.00359184; 2401
20; 0.00228571; 2401
21; 0.00155102; 2401
22; 0.000571429; 2401
23; 0.00044898; 2401
24; 4.08163e-05; 2401
25; 4.08163e-05; 2401
26; 0.000163265; 2401
27; 0; 2401
28; 0; 2401
29; 0; 2401
30; 0; 2401
31; 0; 2401
32; 0; 2401
33; 0; 2401
34; 0; 2401
35; 0; 2401
36; 0; 2401
37; 0; 2401
38; 0; 2401
39; 0; 2401
40; 0; 2401
41; 0; 2401
42; 0; 2401
43; 0; 2401
44; 0; 2401
45; 0; 2401
46; 0; 2401
47; 0; 2401
48; 0; 2401
49; 0; 2401
