### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

time; nVar; meanDU; param
0; 10; 9.94306; 10
5; 10.002; 9.43168; 10
10; 10.014; 8.66702; 10
15; 10.026; 7.92485; 10
20; 10.046; 7.20874; 10
25; 10.058; 6.51813; 10
30; 10.07; 5.87314; 10
35; 10.076; 5.25837; 10
40; 10.078; 4.68694; 10
45; 10.068; 4.14657; 10
50; 10.034; 3.64147; 10
55; 9.94; 3.17188; 10
60; 9.812; 2.75282; 10
65; 9.596; 2.3978; 10
70; 9.282; 2.122; 10
75; 8.948; 1.89482; 10
80; 8.564; 1.73437; 10
85; 8.244; 1.59959; 10
90; 7.94; 1.52229; 10
95; 7.696; 1.46082; 10
100; 7.51; 1.43098; 10
105; 7.346; 1.40025; 10
110; 7.248; 1.39049; 10
115; 7.17; 1.37327; 10
120; 7.134; 1.37147; 10
125; 7.114; 1.36204; 10
130; 7.094; 1.36596; 10
135; 7.088; 1.35906; 10
140; 7.08; 1.36359; 10
145; 7.084; 1.35755; 10
150; 7.074; 1.36249; 10
155; 7.094; 1.35686; 10
160; 7.074; 1.36167; 10
165; 7.074; 1.35625; 10
170; 7.068; 1.36139; 10
175; 7.072; 1.35588; 10
180; 7.076; 1.36102; 10
185; 7.078; 1.3558; 10
190; 7.078; 1.36098; 10
195; 7.08; 1.35584; 10
0; 25; 21.6147; 25
5; 25.006; 20.1062; 25
10; 25.032; 18.4541; 25
15; 25.046; 16.8242; 25
20; 25.058; 15.2327; 25
25; 25.062; 13.686; 25
30; 25.08; 12.1653; 25
35; 25.088; 10.6836; 25
40; 25.086; 9.23208; 25
45; 25.024; 7.81281; 25
50; 24.832; 6.44232; 25
55; 24.312; 5.13502; 25
60; 23.072; 3.98086; 25
65; 21.21; 3.09179; 25
70; 19.094; 2.51612; 25
75; 17.18; 2.14143; 25
80; 15.616; 1.92155; 25
85; 14.47; 1.75902; 25
90; 13.634; 1.65804; 25
95; 12.976; 1.57086; 25
100; 12.544; 1.52086; 25
105; 12.108; 1.47249; 25
110; 11.768; 1.44751; 25
115; 11.51; 1.42024; 25
120; 11.306; 1.41012; 25
125; 11.172; 1.396; 25
130; 11.074; 1.39331; 25
135; 10.998; 1.38404; 25
140; 10.954; 1.38425; 25
145; 10.912; 1.37735; 25
150; 10.88; 1.3802; 25
155; 10.866; 1.3738; 25
160; 10.844; 1.37743; 25
165; 10.832; 1.37151; 25
170; 10.816; 1.37563; 25
175; 10.82; 1.37057; 25
180; 10.822; 1.37522; 25
185; 10.826; 1.37065; 25
190; 10.822; 1.37482; 25
195; 10.816; 1.37004; 25
0; 50; 31.3939; 50
5; 50.002; 29.1565; 50
10; 50.036; 26.8023; 50
15; 50.062; 24.4714; 50
20; 50.08; 22.1857; 50
25; 50.088; 19.9416; 50
30; 50.088; 17.7353; 50
35; 50.082; 15.5568; 50
40; 50.064; 13.3937; 50
45; 49.954; 11.2233; 50
50; 49.414; 9.04967; 50
55; 47.794; 6.91453; 50
60; 44.104; 4.97114; 50
65; 37.956; 3.48171; 50
70; 31.218; 2.58686; 50
75; 25.682; 2.11841; 50
80; 22.386; 1.8871; 50
85; 20.308; 1.75208; 50
90; 19.052; 1.67343; 50
95; 18.178; 1.60784; 50
100; 17.41; 1.56837; 50
105; 16.796; 1.52567; 50
110; 16.188; 1.49159; 50
115; 15.624; 1.45249; 50
120; 15.138; 1.42776; 50
125; 14.802; 1.40878; 50
130; 14.546; 1.4002; 50
135; 14.414; 1.39241; 50
140; 14.336; 1.3871; 50
145; 14.234; 1.3811; 50
150; 14.132; 1.37531; 50
155; 14.036; 1.3689; 50
160; 13.96; 1.36367; 50
165; 13.888; 1.35886; 50
170; 13.816; 1.35645; 50
175; 13.792; 1.3551; 50
180; 13.782; 1.35506; 50
185; 13.764; 1.35412; 50
190; 13.754; 1.35412; 50
195; 13.744; 1.35335; 50
0; 75; 36.1456; 75
5; 75.004; 33.5625; 75
10; 75.028; 30.8603; 75
15; 75.038; 28.2142; 75
20; 75.058; 25.6121; 75
25; 75.066; 23.0591; 75
30; 75.08; 20.5422; 75
35; 75.064; 18.0422; 75
40; 75; 15.5356; 75
45; 74.68; 13.018; 75
50; 73.586; 10.4763; 75
55; 70.422; 7.9251; 75
60; 63.496; 5.53004; 75
65; 52.478; 3.6489; 75
70; 40.334; 2.52171; 75
75; 30.984; 2.00771; 75
80; 25.642; 1.79298; 75
85; 22.894; 1.69306; 75
90; 21.558; 1.63731; 75
95; 20.688; 1.59943; 75
100; 20.074; 1.57286; 75
105; 19.548; 1.54665; 75
110; 19.062; 1.51702; 75
115; 18.462; 1.4729; 75
120; 17.752; 1.44; 75
125; 17.252; 1.41808; 75
130; 16.942; 1.40829; 75
135; 16.728; 1.39706; 75
140; 16.59; 1.39392; 75
145; 16.468; 1.38567; 75
150; 16.384; 1.38163; 75
155; 16.268; 1.37282; 75
160; 16.152; 1.36682; 75
165; 16; 1.35624; 75
170; 15.89; 1.35326; 75
175; 15.818; 1.3498; 75
180; 15.776; 1.35061; 75
185; 15.768; 1.34845; 75
190; 15.764; 1.35004; 75
195; 15.764; 1.34825; 75
0; 100; 38.9121; 100
5; 100.006; 36.1422; 100
10; 100.034; 33.2631; 100
15; 100.052; 30.4367; 100
20; 100.056; 27.6663; 100
25; 100.066; 24.9556; 100
30; 100.084; 22.2832; 100
35; 100.046; 19.6165; 100
40; 99.874; 16.9301; 100
45; 99.314; 14.2228; 100
50; 97.502; 11.4758; 100
55; 93.13; 8.70615; 100
60; 83.346; 6.04449; 100
65; 67.38; 3.86351; 100
70; 48.926; 2.5611; 100
75; 35.026; 1.98261; 100
80; 27.842; 1.76355; 100
85; 24.7; 1.67041; 100
90; 23.194; 1.62735; 100
95; 22.34; 1.5989; 100
100; 21.842; 1.58302; 100
105; 21.42; 1.56245; 100
110; 20.988; 1.53453; 100
115; 20.288; 1.48041; 100
120; 19.388; 1.43992; 100
125; 18.688; 1.40877; 100
130; 18.21; 1.39829; 100
135; 17.972; 1.38935; 100
140; 17.866; 1.38633; 100
145; 17.746; 1.37861; 100
150; 17.656; 1.37469; 100
155; 17.508; 1.36208; 100
160; 17.34; 1.35118; 100
165; 17.064; 1.33718; 100
170; 16.876; 1.33437; 100
175; 16.792; 1.32739; 100
180; 16.744; 1.3298; 100
185; 16.738; 1.32535; 100
190; 16.726; 1.32914; 100
195; 16.72; 1.32477; 100
