### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; varDist; param
1; 0.71; 10
2; 0.25253; 10
3; 0.022; 10
4; 0.0082449; 10
5; 0.00412245; 10
6; 0.0017551; 10
7; 0.000857143; 10
8; 0.000204082; 10
9; 4.08163e-05; 10
10; 0.000244898; 10
11; 0; 10
12; 0; 10
13; 0; 10
14; 0; 10
15; 0; 10
16; 0; 10
17; 0; 10
18; 0; 10
19; 0; 10
20; 0; 10
21; 0; 10
22; 0; 10
23; 0; 10
24; 0; 10
25; 0; 10
26; 0; 10
27; 0; 10
28; 0; 10
29; 0; 10
30; 0; 10
31; 0; 10
32; 0; 10
33; 0; 10
34; 0; 10
35; 0; 10
36; 0; 10
37; 0; 10
38; 0; 10
39; 0; 10
40; 0; 10
41; 0; 10
42; 0; 10
43; 0; 10
44; 0; 10
45; 0; 10
46; 0; 10
47; 0; 10
48; 0; 10
49; 0; 10
1; 0.711959; 25
2; 0.246449; 25
3; 0.0211021; 25
4; 0.00979591; 25
5; 0.00563265; 25
6; 0.00265306; 25
7; 0.00155102; 25
8; 0.00044898; 25
9; 0.000163265; 25
10; 8.16327e-05; 25
11; 8.16327e-05; 25
12; 0; 25
13; 4.08163e-05; 25
14; 4.08163e-05; 25
15; 0; 25
16; 0; 25
17; 0; 25
18; 0; 25
19; 0; 25
20; 0; 25
21; 0; 25
22; 0; 25
23; 0; 25
24; 0; 25
25; 0; 25
26; 0; 25
27; 0; 25
28; 0; 25
29; 0; 25
30; 0; 25
31; 0; 25
32; 0; 25
33; 0; 25
34; 0; 25
35; 0; 25
36; 0; 25
37; 0; 25
38; 0; 25
39; 0; 25
40; 0; 25
41; 0; 25
42; 0; 25
43; 0; 25
44; 0; 25
45; 0; 25
46; 0; 25
47; 0; 25
48; 0; 25
49; 0; 25
1; 0.718163; 50
2; 0.244449; 50
3; 0.0209388; 50
4; 0.00889796; 50
5; 0.00342857; 50
6; 0.00155102; 50
7; 0.00110204; 50
8; 0.000734694; 50
9; 0.000285714; 50
10; 0.000244898; 50
11; 8.16327e-05; 50
12; 4.08163e-05; 50
13; 4.08163e-05; 50
14; 0; 50
15; 4.08163e-05; 50
16; 0; 50
17; 0; 50
18; 0; 50
19; 0; 50
20; 0; 50
21; 0; 50
22; 0; 50
23; 0; 50
24; 0; 50
25; 0; 50
26; 0; 50
27; 0; 50
28; 0; 50
29; 0; 50
30; 0; 50
31; 0; 50
32; 0; 50
33; 0; 50
34; 0; 50
35; 0; 50
36; 0; 50
37; 0; 50
38; 0; 50
39; 0; 50
40; 0; 50
41; 0; 50
42; 0; 50
43; 0; 50
44; 0; 50
45; 0; 50
46; 0; 50
47; 0; 50
48; 0; 50
49; 0; 50
1; 0.720326; 75
2; 0.243959; 75
3; 0.019347; 75
4; 0.00853061; 75
5; 0.00395918; 75
6; 0.00208163; 75
7; 0.000734694; 75
8; 0.000489796; 75
9; 0.000163265; 75
10; 0.000122449; 75
11; 8.16327e-05; 75
12; 4.08163e-05; 75
13; 8.16327e-05; 75
14; 4.08163e-05; 75
15; 0; 75
16; 0; 75
17; 0; 75
18; 4.08163e-05; 75
19; 0; 75
20; 0; 75
21; 0; 75
22; 0; 75
23; 0; 75
24; 0; 75
25; 0; 75
26; 0; 75
27; 0; 75
28; 0; 75
29; 0; 75
30; 0; 75
31; 0; 75
32; 0; 75
33; 0; 75
34; 0; 75
35; 0; 75
36; 0; 75
37; 0; 75
38; 0; 75
39; 0; 75
40; 0; 75
41; 0; 75
42; 0; 75
43; 0; 75
44; 0; 75
45; 0; 75
46; 0; 75
47; 0; 75
48; 0; 75
49; 0; 75
1; 0.730081; 100
2; 0.24053; 100
3; 0.0167347; 100
4; 0.00677551; 100
5; 0.00314286; 100
6; 0.00126531; 100
7; 0.000653061; 100
8; 0.000408163; 100
9; 8.16327e-05; 100
10; 4.08163e-05; 100
11; 4.08163e-05; 100
12; 8.16327e-05; 100
13; 8.16327e-05; 100
14; 0; 100
15; 4.08163e-05; 100
16; 0; 100
17; 4.08163e-05; 100
18; 0; 100
19; 0; 100
20; 0; 100
21; 0; 100
22; 0; 100
23; 0; 100
24; 0; 100
25; 0; 100
26; 0; 100
27; 0; 100
28; 0; 100
29; 0; 100
30; 0; 100
31; 0; 100
32; 0; 100
33; 0; 100
34; 0; 100
35; 0; 100
36; 0; 100
37; 0; 100
38; 0; 100
39; 0; 100
40; 0; 100
41; 0; 100
42; 0; 100
43; 0; 100
44; 0; 100
45; 0; 100
46; 0; 100
47; 0; 100
48; 0; 100
49; 0; 100
