### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; varDist; param
1; 0.706204; 0
2; 0.275388; 0
3; 0.0095102; 0
4; 0.00367347; 0
5; 0.00142857; 0
6; 0.00106122; 0
7; 0.000979592; 0
8; 0.000367347; 0
9; 0.000285714; 0
10; 8.16327e-05; 0
11; 8.16327e-05; 0
12; 8.16327e-05; 0
13; 0.000122449; 0
14; 8.16327e-05; 0
15; 4.08163e-05; 0
16; 4.08163e-05; 0
17; 0; 0
18; 0; 0
19; 0; 0
20; 0; 0
21; 0; 0
22; 0; 0
23; 0; 0
24; 0; 0
25; 0; 0
26; 0; 0
27; 0; 0
28; 0; 0
29; 8.16327e-05; 0
30; 4.08163e-05; 0
31; 0.000122449; 0
32; 0; 0
33; 0.000163265; 0
34; 4.08163e-05; 0
35; 8.16327e-05; 0
36; 4.08163e-05; 0
37; 0; 0
38; 0; 0
39; 0; 0
40; 0; 0
41; 0; 0
42; 0; 0
43; 0; 0
44; 0; 0
45; 0; 0
46; 0; 0
47; 0; 0
48; 0; 0
49; 0; 0
1; 0.713795; 1
2; 0.249796; 1
3; 0.0197959; 1
4; 0.0092653; 1
5; 0.00338775; 1
6; 0.00191837; 1
7; 0.000938775; 1
8; 0.000326531; 1
9; 0.000367347; 1
10; 0.000163265; 1
11; 4.08163e-05; 1
12; 8.16327e-05; 1
13; 4.08163e-05; 1
14; 0; 1
15; 8.16327e-05; 1
16; 0; 1
17; 0; 1
18; 0; 1
19; 0; 1
20; 0; 1
21; 0; 1
22; 0; 1
23; 0; 1
24; 0; 1
25; 0; 1
26; 0; 1
27; 0; 1
28; 0; 1
29; 0; 1
30; 0; 1
31; 0; 1
32; 0; 1
33; 0; 1
34; 0; 1
35; 0; 1
36; 0; 1
37; 0; 1
38; 0; 1
39; 0; 1
40; 0; 1
41; 0; 1
42; 0; 1
43; 0; 1
44; 0; 1
45; 0; 1
46; 0; 1
47; 0; 1
48; 0; 1
49; 0; 1
1; 0.676204; 2
2; 0.261632; 2
3; 0.0276736; 2
4; 0.0146939; 2
5; 0.00848979; 2
6; 0.0042449; 2
7; 0.00232653; 2
8; 0.00146939; 2
9; 0.000897959; 2
10; 0.000897959; 2
11; 0.000571429; 2
12; 0.000326531; 2
13; 0.000367347; 2
14; 8.16327e-05; 2
15; 8.16327e-05; 2
16; 4.08163e-05; 2
17; 0; 2
18; 0; 2
19; 0; 2
20; 0; 2
21; 0; 2
22; 0; 2
23; 0; 2
24; 0; 2
25; 0; 2
26; 0; 2
27; 0; 2
28; 0; 2
29; 0; 2
30; 0; 2
31; 0; 2
32; 0; 2
33; 0; 2
34; 0; 2
35; 0; 2
36; 0; 2
37; 0; 2
38; 0; 2
39; 0; 2
40; 0; 2
41; 0; 2
42; 0; 2
43; 0; 2
44; 0; 2
45; 0; 2
46; 0; 2
47; 0; 2
48; 0; 2
49; 0; 2
