### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

value; varDist; param
1; 0.719265; 2.5e-05
2; 0.244204; 2.5e-05
3; 0.0195919; 2.5e-05
4; 0.00832653; 2.5e-05
5; 0.004; 2.5e-05
6; 0.00204082; 2.5e-05
7; 0.00138775; 2.5e-05
8; 0.00044898; 2.5e-05
9; 0.000244898; 2.5e-05
10; 0.000163265; 2.5e-05
11; 0.000163265; 2.5e-05
12; 0.000122449; 2.5e-05
13; 4.08163e-05; 2.5e-05
14; 0; 2.5e-05
15; 0; 2.5e-05
16; 0; 2.5e-05
17; 0; 2.5e-05
18; 0; 2.5e-05
19; 0; 2.5e-05
20; 0; 2.5e-05
21; 0; 2.5e-05
22; 0; 2.5e-05
23; 0; 2.5e-05
24; 0; 2.5e-05
25; 0; 2.5e-05
26; 0; 2.5e-05
27; 0; 2.5e-05
28; 0; 2.5e-05
29; 0; 2.5e-05
30; 0; 2.5e-05
31; 0; 2.5e-05
32; 0; 2.5e-05
33; 0; 2.5e-05
34; 0; 2.5e-05
35; 0; 2.5e-05
36; 0; 2.5e-05
37; 0; 2.5e-05
38; 0; 2.5e-05
39; 0; 2.5e-05
40; 0; 2.5e-05
41; 0; 2.5e-05
42; 0; 2.5e-05
43; 0; 2.5e-05
44; 0; 2.5e-05
45; 0; 2.5e-05
46; 0; 2.5e-05
47; 0; 2.5e-05
48; 0; 2.5e-05
49; 0; 2.5e-05
1; 0.718939; 5e-05
2; 0.245592; 5e-05
3; 0.0197551; 5e-05
4; 0.00791836; 5e-05
5; 0.00383673; 5e-05
6; 0.00212245; 5e-05
7; 0.000653061; 5e-05
8; 0.000408163; 5e-05
9; 0.000244898; 5e-05
10; 0.000163265; 5e-05
11; 0.000204082; 5e-05
12; 8.16327e-05; 5e-05
13; 4.08163e-05; 5e-05
14; 0; 5e-05
15; 0; 5e-05
16; 4.08163e-05; 5e-05
17; 0; 5e-05
18; 0; 5e-05
19; 0; 5e-05
20; 0; 5e-05
21; 0; 5e-05
22; 0; 5e-05
23; 0; 5e-05
24; 0; 5e-05
25; 0; 5e-05
26; 0; 5e-05
27; 0; 5e-05
28; 0; 5e-05
29; 0; 5e-05
30; 0; 5e-05
31; 0; 5e-05
32; 0; 5e-05
33; 0; 5e-05
34; 0; 5e-05
35; 0; 5e-05
36; 0; 5e-05
37; 0; 5e-05
38; 0; 5e-05
39; 0; 5e-05
40; 0; 5e-05
41; 0; 5e-05
42; 0; 5e-05
43; 0; 5e-05
44; 0; 5e-05
45; 0; 5e-05
46; 0; 5e-05
47; 0; 5e-05
48; 0; 5e-05
49; 0; 5e-05
1; 0.722571; 0.0001
2; 0.242408; 0.0001
3; 0.0203266; 0.0001
4; 0.00738775; 0.0001
5; 0.00395918; 0.0001
6; 0.00183673; 0.0001
7; 0.00106122; 0.0001
8; 0.000163265; 0.0001
9; 8.16327e-05; 0.0001
10; 8.16327e-05; 0.0001
11; 4.08163e-05; 0.0001
12; 0; 0.0001
13; 0; 0.0001
14; 0; 0.0001
15; 4.08163e-05; 0.0001
16; 0; 0.0001
17; 4.08163e-05; 0.0001
18; 0; 0.0001
19; 0; 0.0001
20; 0; 0.0001
21; 0; 0.0001
22; 0; 0.0001
23; 0; 0.0001
24; 0; 0.0001
25; 0; 0.0001
26; 0; 0.0001
27; 0; 0.0001
28; 0; 0.0001
29; 0; 0.0001
30; 0; 0.0001
31; 0; 0.0001
32; 0; 0.0001
33; 0; 0.0001
34; 0; 0.0001
35; 0; 0.0001
36; 0; 0.0001
37; 0; 0.0001
38; 0; 0.0001
39; 0; 0.0001
40; 0; 0.0001
41; 0; 0.0001
42; 0; 0.0001
43; 0; 0.0001
44; 0; 0.0001
45; 0; 0.0001
46; 0; 0.0001
47; 0; 0.0001
48; 0; 0.0001
49; 0; 0.0001
1; 0.715224; 0.0002
2; 0.245143; 0.0002
3; 0.0225715; 0.0002
4; 0.00938775; 0.0002
5; 0.00391837; 0.0002
6; 0.0017551; 0.0002
7; 0.000897959; 0.0002
8; 0.000530612; 0.0002
9; 0.000163265; 0.0002
10; 0.000285714; 0.0002
11; 8.16327e-05; 0.0002
12; 0; 0.0002
13; 0; 0.0002
14; 4.08163e-05; 0.0002
15; 0; 0.0002
16; 0; 0.0002
17; 0; 0.0002
18; 0; 0.0002
19; 0; 0.0002
20; 0; 0.0002
21; 0; 0.0002
22; 0; 0.0002
23; 0; 0.0002
24; 0; 0.0002
25; 0; 0.0002
26; 0; 0.0002
27; 0; 0.0002
28; 0; 0.0002
29; 0; 0.0002
30; 0; 0.0002
31; 0; 0.0002
32; 0; 0.0002
33; 0; 0.0002
34; 0; 0.0002
35; 0; 0.0002
36; 0; 0.0002
37; 0; 0.0002
38; 0; 0.0002
39; 0; 0.0002
40; 0; 0.0002
41; 0; 0.0002
42; 0; 0.0002
43; 0; 0.0002
44; 0; 0.0002
45; 0; 0.0002
46; 0; 0.0002
47; 0; 0.0002
48; 0; 0.0002
49; 0; 0.0002
1; 0.716367; 0.0005
2; 0.247143; 0.0005
3; 0.0209388; 0.0005
4; 0.00893877; 0.0005
5; 0.00420408; 0.0005
6; 0.00114286; 0.0005
7; 0.000530612; 0.0005
8; 0.000285714; 0.0005
9; 0.000204082; 0.0005
10; 8.16327e-05; 0.0005
11; 8.16327e-05; 0.0005
12; 4.08163e-05; 0.0005
13; 4.08163e-05; 0.0005
14; 0; 0.0005
15; 0; 0.0005
16; 0; 0.0005
17; 0; 0.0005
18; 0; 0.0005
19; 0; 0.0005
20; 0; 0.0005
21; 0; 0.0005
22; 0; 0.0005
23; 0; 0.0005
24; 0; 0.0005
25; 0; 0.0005
26; 0; 0.0005
27; 0; 0.0005
28; 0; 0.0005
29; 0; 0.0005
30; 0; 0.0005
31; 0; 0.0005
32; 0; 0.0005
33; 0; 0.0005
34; 0; 0.0005
35; 0; 0.0005
36; 0; 0.0005
37; 0; 0.0005
38; 0; 0.0005
39; 0; 0.0005
40; 0; 0.0005
41; 0; 0.0005
42; 0; 0.0005
43; 0; 0.0005
44; 0; 0.0005
45; 0; 0.0005
46; 0; 0.0005
47; 0; 0.0005
48; 0; 0.0005
49; 0; 0.0005
1; 0.707918; 0.001
2; 0.256285; 0.001
3; 0.0198776; 0.001
4; 0.00840816; 0.001
5; 0.00359184; 0.001
6; 0.00212245; 0.001
7; 0.00106122; 0.001
8; 0.000326531; 0.001
9; 0.000244898; 0.001
10; 0; 0.001
11; 0; 0.001
12; 4.08163e-05; 0.001
13; 8.16327e-05; 0.001
14; 4.08163e-05; 0.001
15; 0; 0.001
16; 0; 0.001
17; 0; 0.001
18; 0; 0.001
19; 0; 0.001
20; 0; 0.001
21; 0; 0.001
22; 0; 0.001
23; 0; 0.001
24; 0; 0.001
25; 0; 0.001
26; 0; 0.001
27; 0; 0.001
28; 0; 0.001
29; 0; 0.001
30; 0; 0.001
31; 0; 0.001
32; 0; 0.001
33; 0; 0.001
34; 0; 0.001
35; 0; 0.001
36; 0; 0.001
37; 0; 0.001
38; 0; 0.001
39; 0; 0.001
40; 0; 0.001
41; 0; 0.001
42; 0; 0.001
43; 0; 0.001
44; 0; 0.001
45; 0; 0.001
46; 0; 0.001
47; 0; 0.001
48; 0; 0.001
49; 0; 0.001
