### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

param; nVar; meanDU
5; 4.644; 1.30682
10; 6.906; 1.34788
15; 8.462; 1.35322
20; 9.536; 1.36751
25; 10.49; 1.37061
30; 11.104; 1.35963
35; 12.034; 1.36584
40; 12.564; 1.36408
45; 12.896; 1.35188
50; 13.39; 1.34012
55; 14.352; 1.34788
60; 14.306; 1.33837
65; 15.28; 1.34498
70; 15.68; 1.34592
75; 16.222; 1.3418
80; 15.966; 1.33841
85; 16.494; 1.33433
90; 17.034; 1.33784
95; 16.826; 1.33339
100; 17.668; 1.33539
