### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

param; nVar; meanDU
0.001; 15.012; 1.59061
0.005; 14.038; 1.48429
0.01; 13.802; 1.43025
0.015; 13.324; 1.38135
0.02; 13.452; 1.35543
0.025; 13.922; 1.34159
0.03; 14.106; 1.29951
0.035; 13.854; 1.28767
0.04; 14.046; 1.27445
0.045; 14.72; 1.26429
0.05; 15.006; 1.25645
0.075; 15.816; 1.21135
0.1; 16.068; 1.19686
0.25; 16.402; 1.18971
0.5; 16.226; 1.19196
