### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 0, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.02, INSIDETRADELIMIT = 0.001, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 200, TIMEINTERVAL = 5, NRUN = 500 ###

time; nVar; meanDU
0; 50; 31.4176
5; 50.008; 28.9661
10; 50.018; 26.2605
15; 50.038; 23.5822
20; 50.046; 20.9526
25; 50.046; 18.4057
30; 50.05; 15.9353
35; 50.038; 13.5216
40; 49.85; 11.168
45; 49.062; 8.89204
50; 46.786; 6.71775
55; 42.388; 4.88045
60; 36.382; 3.62665
65; 30.83; 2.91486
70; 26.462; 2.526
75; 23.646; 2.27469
80; 21.614; 2.10269
85; 20.092; 1.96008
90; 18.876; 1.86
95; 17.808; 1.76094
100; 16.972; 1.69261
105; 16.07; 1.6069
110; 15.25; 1.55633
115; 14.49; 1.4978
120; 13.93; 1.47514
125; 13.476; 1.436
130; 13.114; 1.42469
135; 12.85; 1.396
140; 12.588; 1.39429
145; 12.388; 1.37049
150; 12.208; 1.37212
155; 12.072; 1.35608
160; 12.004; 1.36318
165; 11.95; 1.35118
170; 11.926; 1.35996
175; 11.926; 1.34943
180; 11.902; 1.35796
185; 11.896; 1.34771
190; 11.886; 1.35674
195; 11.874; 1.34698
