### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 500, TIMEINTERVAL = 5, NRUN = 500 ###

Type;Source;Target;Time
0;5;4;0
0;29;28;0
0;9;11;0
0;17;15;0
1;24;24;0
0;34;35;0
1;17;17;0
1;36;36;0
1;26;26;0
0;47;48;0
0;34;33;0
0;37;39;0
0;17;19;0
1;2;2;0
1;47;47;0
0;42;41;0
1;25;25;0
0;17;18;0
0;34;32;0
0;42;40;0
1;5;5;0
1;21;21;0
0;5;7;0
0;13;12;0
0;13;14;0
1;42;42;0
1;27;27;0
0;5;6;0
0;47;45;0
1;44;44;0
0;29;30;0
0;37;38;0
1;13;13;0
1;37;37;0
0;5;3;0
0;17;16;0
1;29;29;0
0;44;43;0
1;9;9;0
1;22;22;0
0;9;8;0
0;21;23;0
0;21;20;0
1;34;34;0
1;1;1;0
1;10;10;0
0;29;31;0
0;47;0;0
1;46;46;0
1;26;26;1
0;5;6;1
1;17;17;1
1;39;39;1
0;9;11;1
1;10;10;1
0;17;19;1
0;5;3;1
0;42;41;1
1;13;13;1
0;29;27;1
0;29;31;1
0;21;23;1
0;47;0;1
1;29;29;1
1;44;44;1
1;1;1;1
1;36;36;1
1;37;37;1
1;5;5;1
0;34;32;1
1;46;46;1
0;5;7;1
0;17;15;1
0;47;45;1
0;13;14;1
1;42;42;1
0;10;12;1
0;44;43;1
0;29;28;1
1;21;21;1
1;22;22;1
1;24;24;1
0;29;30;1
0;17;18;1
0;17;16;1
1;9;9;1
0;21;20;1
1;34;34;1
0;37;38;1
0;34;35;1
1;2;2;1
1;25;25;1
0;47;48;1
0;34;33;1
0;42;40;1
0;5;4;1
0;9;8;1
1;47;47;1
0;29;28;2
0;9;8;2
0;47;45;2
0;34;35;2
0;21;23;2
0;9;11;2
0;17;19;2
1;17;17;2
1;22;22;2
0;5;3;2
1;9;9;2
0;44;43;2
1;34;34;2
0;21;20;2
0;1;0;2
1;37;37;2
0;5;6;2
0;29;31;2
0;1;48;2
1;24;24;2
1;47;47;2
1;10;10;2
0;42;41;2
0;17;18;2
1;2;2;2
0;17;15;2
1;39;39;2
0;42;40;2
1;42;42;2
1;44;44;2
0;17;16;2
1;21;21;2
1;46;46;2
1;26;26;2
1;25;25;2
0;29;27;2
0;10;12;2
0;34;33;2
