### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 500, TIMEINTERVAL = 5, NRUN = 500 ###

DU;Type;difference;Time
4;0;0.00726247;0
4;1;0.272778;0
28;0;0.0280316;0
28;1;0.288314;0
11;0;-0.00368828;0
11;1;0.242045;0
15;0;0.0157268;0
15;1;0.23847;0
24;0;0.00265282;0
24;1;0.270517;0
35;0;0.00998646;0
35;1;0.292287;0
17;0;0.0128265;0
17;1;0.284342;0
36;0;-0.00472927;0
36;1;0.221194;0
26;0;0.0333081;0
26;1;0.252527;0
48;0;0.00221723;0
48;1;0.237431;0
33;0;0.00819272;0
33;1;0.264452;0
39;0;0.00268304;0
39;1;0.231729;0
19;0;0.00733936;0
19;1;0.252173;0
2;0;0.00874656;0
2;1;0.287862;0
47;0;0.0137637;0
47;1;0.270687;0
41;0;-0.00268304;0
41;1;0.269763;0
25;0;0.0201735;0
25;1;0.265636;0
18;0;0.00162965;0
18;1;0.234764;0
32;0;0.00914425;0
32;1;0.270687;0
40;0;0.00981951;0
40;1;0.235065;0
5;0;0.00681978;0
5;1;0.238534;0
21;0;0.0187292;0
21;1;0.227018;0
7;0;0.00765294;0
7;1;0.284788;0
12;0;0.0284266;0
12;1;0.287862;0
14;0;-0.0157268;0
14;1;0.239848;0
42;0;0.00402713;0
42;1;0.291792;0
27;0;-0.0141828;0
27;1;0.26007;0
6;0;-0.00534236;0
6;1;0.266958;0
45;0;-0.00298047;0
45;1;0.218619;0
44;0;0.00298047;0
44;1;0.235949;0
30;0;-0.000906646;0
30;1;0.272055;0
38;0;0.0299565;0
38;1;0.222379;0
13;0;0.0217047;0
13;1;0.284164;0
37;0;0.0054307;0
37;1;0.274249;0
3;0;-0.00681978;0
3;1;0.254107;0
16;0;0.0175526;0
16;1;0.274259;0
29;0;0.0141828;0
29;1;0.237877;0
43;0;0.0112832;0
43;1;0.284099;0
9;0;0.0053094;0
9;1;0.233717;0
22;0;0.0133603;0
22;1;0.279058;0
8;0;0.00819427;0
8;1;0.235788;0
23;0;-0.00265282;0
23;1;0.266471;0
20;0;-0.00162965;0
20;1;0.291146;0
34;0;0.00474906;0
34;1;0.278332;0
1;0;0.0277326;0
1;1;0.282809;0
10;0;0.0108829;0
10;1;0.234042;0
31;0;0.0118199;0
31;1;0.238991;0
0;0;0.00909501;0
0;1;0.269418;0
46;0;0.00898218;0
46;1;0.221534;0
26;0;0.0383433;1
26;1;0.252527;1
6;0;-0.00320262;1
6;1;0.266958;1
17;0;0.00547767;1
17;1;0.274544;1
39;0;0.00327301;1
39;1;0.216961;1
11;0;-0.00392187;1
11;1;0.215256;1
10;0;0.0124817;1
10;1;0.22571;1
19;0;0.00733936;1
19;1;0.252173;1
3;0;-0.00882858;1
3;1;0.244309;1
41;0;-0.00327301;1
41;1;0.264119;1
13;0;0.0174191;1
13;1;0.282692;1
27;0;-0.0155565;1
27;1;0.268554;1
31;0;0.0103328;1
31;1;0.22006;1
23;0;-0.00405395;1
23;1;0.261004;1
0;0;0.00910294;1
0;1;0.267306;1
29;0;0.0155565;1
29;1;0.237069;1
44;0;0.00228995;1
44;1;0.215582;1
1;0;0.0282117;1
1;1;0.274273;1
36;0;-0.00418741;1
36;1;0.21413;1
37;0;0.00520867;1
37;1;0.272778;1
5;0;0.010794;1
5;1;0.238534;1
32;0;0.00513124;1
32;1;0.268575;1
46;0;0.00886387;1
46;1;0.22006;1
7;0;0.00320262;1
7;1;0.263477;1
15;0;0.0122887;1
15;1;0.212558;1
45;0;-0.00228995;1
45;1;0.206265;1
14;0;-0.0122887;1
14;1;0.239848;1
42;0;0.00870001;1
42;1;0.291792;1
12;0;0.0237947;1
12;1;0.278064;1
43;0;0.01105;1
43;1;0.262788;1
28;0;0.0330667;1
28;1;0.288314;1
21;0;0.0115851;1
21;1;0.181245;1
22;0;0.0133603;1
22;1;0.279058;1
24;0;0.00698751;1
24;1;0.270517;1
30;0;0.00275475;1
30;1;0.272055;1
18;0;0.00162965;1
18;1;0.234764;1
16;0;0.0130243;1
16;1;0.265933;1
9;0;0.00608832;1
