### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0970814; 0; 0
0.075; 0.0823301; 2.49896e-06; 0
0.125; 0.0845355; 0.000212411; 0
0.175; 0.076679; 0.00157851; 0
0.225; 0.0844222; 0.0052928; 0
0.275; 0.0954348; 0.0164698; 0
0.325; 0.0895565; 0.0420242; 0
0.375; 0.098657; 0.0888464; 0
0.425; 0.0896797; 0.153788; 0
0.475; 0.0825671; 0.185315; 0
0.525; 0.0637423; 0.189719; 0
0.575; 0.039451; 0.151148; 0
0.625; 0.0143173; 0.0936801; 0
0.675; 0.00154769; 0.0443166; 0
0.725; 0; 0.018943; 0
0.775; 0; 0.00664807; 0
0.825; 0; 0.0018359; 0
0.875; 0; 9.57934e-05; 0
0.925; 0; 8.24656e-05; 0
0.975; 0; 0; 0
0.025; 0.0511013; 3.99833e-05; 0.25
0.075; 0.0797735; 4.16493e-05; 0.25
0.125; 0.0678044; 0.000296543; 0.25
0.175; 0.0837426; 0.00144523; 0.25
0.225; 0.0968753; 0.00749355; 0.25
0.275; 0.087171; 0.0168122; 0.25
0.325; 0.0905913; 0.0488356; 0.25
0.375; 0.0987068; 0.0847256; 0.25
0.425; 0.108138; 0.147932; 0.25
0.475; 0.0893576; 0.189728; 0.25
0.525; 0.0757966; 0.190658; 0.25
0.575; 0.044827; 0.146723; 0.25
0.625; 0.0203598; 0.0943332; 0.25
0.675; 0.00575506; 0.0454778; 0.25
0.725; 0; 0.018823; 0.25
0.775; 0; 0.00473636; 0.25
0.825; 0; 0.00155185; 0.25
0.875; 0; 0.000305706; 0.25
0.925; 0; 3.58184e-05; 0.25
0.975; 0; 3.33195e-06; 0.25
0.025; 0.059464; 8.32986e-05; 0.5
0.075; 0.0520872; 0.000143274; 0.5
0.125; 0.0640163; 0.000683049; 0.5
0.175; 0.0516869; 0.00170013; 0.5
0.225; 0.0543859; 0.00832903; 0.5
0.275; 0.0608155; 0.0206531; 0.5
0.325; 0.0979438; 0.0454836; 0.5
0.375; 0.103859; 0.0840074; 0.5
0.425; 0.0821143; 0.155576; 0.5
0.475; 0.0940451; 0.185407; 0.5
0.525; 0.112175; 0.1856; 0.5
0.575; 0.106355; 0.141614; 0.5
0.625; 0.05053; 0.0918924; 0.5
0.675; 0.0105281; 0.0470438; 0.5
0.725; 0; 0.021177; 0.5
0.775; 0; 0.00774345; 0.5
0.825; 0; 0.00210996; 0.5
0.875; 0; 0.000666389; 0.5
0.925; 0; 4.83132e-05; 0.5
0.975; 0; 3.74844e-05; 0.5
0.025; 0.0506699; 0.00107038; 0.75
0.075; 0.0469301; 0.00105456; 0.75
0.125; 0.0518096; 0.00311537; 0.75
0.175; 0.0515007; 0.0157519; 0.75
0.225; 0.069387; 0.0241917; 0.75
0.275; 0.0801608; 0.0406665; 0.75
0.325; 0.0929057; 0.057218; 0.75
0.375; 0.0859085; 0.0850382; 0.75
0.425; 0.100589; 0.133676; 0.75
0.475; 0.110604; 0.139086; 0.75
0.525; 0.101454; 0.141356; 0.75
0.575; 0.0829965; 0.117571; 0.75
0.625; 0.0626106; 0.0917946; 0.75
0.675; 0.0124858; 0.0623594; 0.75
0.725; 0; 0.037552; 0.75
0.775; 0; 0.0248731; 0.75
0.825; 0; 0.0134803; 0.75
0.875; 0; 0.00357184; 0.75
0.925; 0; 0.00349026; 0.75
0.975; 0; 0.00308626; 0.75
0.025; 0.058431; 0.0498831; 1
0.075; 0.0365834; 0.0436381; 1
0.125; 0.0453022; 0.0543247; 1
0.175; 0.0746074; 0.05796; 1
0.225; 0.0727433; 0.0455257; 1
0.275; 0.0506889; 0.0525354; 1
0.325; 0.0862092; 0.0375646; 1
0.375; 0.0611582; 0.0583373; 1
0.425; 0.0919352; 0.0502355; 1
0.475; 0.0960077; 0.0521673; 1
0.525; 0.11091; 0.0467428; 1
0.575; 0.104976; 0.0434082; 1
0.625; 0.0726661; 0.0456506; 1
0.675; 0.0357999; 0.0444637; 1
0.725; 0.00199922; 0.0627779; 1
0.775; 0; 0.0471542; 1
0.825; 0; 0.0507596; 1
0.875; 0; 0.0409992; 1
0.925; 0; 0.0498074; 1
0.975; 0; 0.0660768; 1
